Acquisition,SemesterEffective,FormerUHCourseNumber,FormerUHCourseTitle,ReplacementUHCourseNumber,ReplacementUHCourseTitle,Reference
Manual,202103,CHEM 3221,Fundamentals of Organic Chemistry Laboratory I,CHEM 2123,Organic Chemistry Lab I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,CHEM 3222,Fundamentals of Organic Chemistry Laboratory II,CHEM 2125,Organic Chemistry Lab II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,CHEM 3331,Fundamentals of Organic Chemistry I,CHEM 2323,Organic Chemistry I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,CHEM 3332 ,Fundamentals of Organic Chemistry II,CHEM 2325,Organic Chemistry II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,CHNS 2301,Intermediate Chinese I,CHIN 2311,Intermediate Chinese I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,CHNS 2302,Intermediate Chinese II,CHIN 2312,Intermediate Chinese II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,CIVE 2330,Mechanics I,ENGR 2301,Mechanics I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,COMM 1301,Media and Society,COMM 1307,Media and Society,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,COMM 1333,Interpersonal Communication,SPCH 1318,Interpersonal Communication,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,COMM 2310,Writing for Print and Digital Media,COMM 2311,Writing for Print and Digital Media,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,COSC 1306,Computer Science and Programming,COSC 1336,Computer Science and Programming,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,COSC 1430,Introduction to Programming,COSC 1437,Introduction to Programming,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,COSC 2430,Programming and Data Structures,COSC 2436,Programming and Data Structures,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,COSC 2440,Computer Organization and Architecture,COSC 2425,Computer Organization and Architecture,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,CUIN 2320,Mathematics for Elementary and Middle School Teachers,CUIN 1350,Mathematics for Teachers 1 (TCCNS MATH 1350),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,DAN 1201,Beginning Ballet,DANC 1241,Beginning Ballet,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,DAN 1210,Jazz I,DANC 1247,Jazz I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,DAN 1211,Modern Dance I Part I,DANC 1245,Modern Dance I Part I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,DAN 1212,Modern Dance I Part II,DANC 1246,Modern Dance I Part II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,DAN 2300,Dance Improvisation,DANC 1301,Dance Improvisation,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,DAN 2303,Dance Production,DANC 1309,Dance Production,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,DAN 2307,Introduction to Dance,DANC 2303,Introduction to Dance,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ECON 2304,Microeconomics Principles,ECON 2302,Principles of Microeconomics,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ECON 2305,Macroeconomics Principles,ECON 2301,Principles of Macroeconomics,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,EDUC 3301,Introduction to Teaching,EDUC 1301,Introduction to the Teaching Profession,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
