TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Fall 2015",ACCT,4105,1,"PPA Colloquium 1",Newman,"Michael Ray",,,,,,,
"Fall 2015",ACCT,4106,1,"PPA Colloquium 2",Newman,"Michael Ray",,,,,,,
"Fall 2015",ACCT,4107,1,"Oil and Gas Acct Colloquium",Newman,"Michael Ray",,,,,,,
"Fall 2015",ACCT,4396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Fall 2015",ACCT,7105,1,"MS/Accountancy Colloquium",Newman,"Michael Ray",,,,,,,
"Fall 2015",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Fall 2015",ACCT,8699,3,"Doctoral Dissertation",Lu,Tong,,,,,,,
"Fall 2015",ACCT,8999,2,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Fall 2015",ACCT,8999,3,"Doctoral Dissertation",Gamble,"George O",,,,,,,
"Fall 2015",ACCT,8999,4,"Doctoral Dissertation",Lu,Tong,,,,,,,
"Fall 2015",ACCT,8999,5,"Doctoral Dissertation",Khumawala,"Saleha B",,,,,,,
"Fall 2015",ACCT,8999,7,"Doctoral Dissertation",Newberry,"Kaye J",,,,,,,
"Fall 2015",ACCT,8999,8,"Doctoral Dissertation",Muslu,Volkan,,,,,,,
"Fall 2015",ANTH,6399,4,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Fall 2015",ANTH,6399,5,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Fall 2015",ANTH,7399,2,"Masters Thesis",Storey,Rebecca,,,,,,,
"Fall 2015",ANTH,7399,3,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Fall 2015",ANTH,7399,5,"Masters Thesis",Hutchinson,"Janice Faye",,,,,,,
"Fall 2015",ANTH,7399,6,"Masters Thesis",Gordon,"Andrew J",,,,,,,
"Fall 2015",ANTH,7399,7,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Fall 2015",BCHS,4398,1,"Independent Study",Shevkoplyas,Sergey,,,,,,,
"Fall 2015",BCHS,6113,1,"Graduate Biochemistry Seminar",Fox,"Robert O",,,,,,,
"Fall 2015",BCHS,6198,1,"Special Problems",Gao,Xiaolian,,,,,,,
"Fall 2015",BCHS,6298,11,"Special Problems",Willson,Richard,,,,,,,
"Fall 2015",BCHS,6398,10,"Special Problems",Gao,Xiaolian,,,,,,,
"Fall 2015",BCHS,6498,10,"Special Problems",Willson,Richard,,,,,,,
"Fall 2015",BCHS,6498,20,"Special Problems",Schwartz,"Robert J",,,,,,,
"Fall 2015",BCHS,6498,23,"Special Problems",Bark,Steven,,,,,,,
"Fall 2015",BCHS,6498,24,"Special Problems",Liu,Yu,,,,,,,
"Fall 2015",BCHS,6498,4,"Special Problems",Fujita,Masaya,,,,,,,
"Fall 2015",BCHS,6498,8,"Special Problems",Gustafsson,Jan-Ake,,,,,,,
"Fall 2015",BCHS,8198,14,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Fall 2015",BCHS,8298,10,"Doctoral Research",Briggs,"James M",,,,,,,
"Fall 2015",BCHS,8298,21,"Doctoral Research",Wang,Yuhong,,,,,,,
"Fall 2015",BCHS,8298,22,"Doctoral Research",Bark,Steven,,,,,,,
"Fall 2015",BCHS,8298,23,"Doctoral Research",Fox,"Robert O",,,,,,,
"Fall 2015",BCHS,8298,5,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Fall 2015",BCHS,8398,4,"Doctoral Research",Briggs,"James M",,,,,,,
"Fall 2015",BCHS,8398,2,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Fall 2015",BCHS,8398,20,"Doctoral Research",Weihua,Zhang,,,,,,,
"Fall 2015",BCHS,8398,22,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Fall 2015",BCHS,8399,8,"Doctoral Dissertation",Fox,"George Edward",,,,,,,
"Fall 2015",BCHS,8498,9,"Doctoral Research",Briggs,"James M",,,,,,,
"Fall 2015",BCHS,8498,16,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Fall 2015",BCHS,8498,17,"Doctoral Research",Bark,Steven,,,,,,,
"Fall 2015",BCHS,8498,18,"Doctoral Research",Gao,Xiaolian,,,,,,,
"Fall 2015",BCHS,8598,16,"Doctoral Research",Weihua,Zhang,,,,,,,
"Fall 2015",BCHS,8698,4,"Doctoral Research",Fujita,Masaya,,,,,,,
"Fall 2015",BCHS,8698,5,"Doctoral Research",Briggs,"James M",,,,,,,
"Fall 2015",BCHS,8698,14,"Doctoral Research",Willson,Richard,,,,,,,
"Fall 2015",BCHS,8698,2,"Doctoral Research",Wang,Yuhong,,,,,,,
"Fall 2015",BCHS,8698,20,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Fall 2015",BCHS,8698,21,"Doctoral Research",Fox,"Robert O",,,,,,,
"Fall 2015",BCHS,8698,7,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Fall 2015",BCHS,8998,10,"Doctoral Research",Fox,"George Edward",,,,,,,
"Fall 2015",BCHS,8998,18,"Doctoral Research",Fujita,Masaya,,,,,,,
"Fall 2015",BCHS,8998,2,"Doctoral Research",Williams,"Cecilia Marie",,,,,,,
"Fall 2015",BCHS,8998,22,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Fall 2015",BIOE,1100,1,"Intro To Biomed Engineering","Akay PhD",Metin,,,,,,,
"Fall 2015",BIOE,1100,1,"Intro To Biomed Engineering",Chen,Ting,,,,,,,
"Fall 2015",BIOE,6121,1,"Graduate Bioengr Seminar","Akay PhD",Metin,,,,,,,
"Fall 2015",BIOE,6198,2,Research,Larin,Kirill,,,,,,,
"Fall 2015",BIOE,6298,10,Research,Mohan,Chandra,,,,,,,
"Fall 2015",BIOE,6298,11,Research,Omurtag,Ahmet,,,,,,,
"Fall 2015",BIOE,6398,2,Research,"Akay PhD",Metin,,,,,,,
"Fall 2015",BIOE,6398,13,Research,Mohan,Chandra,,,,,,,
"Fall 2015",BIOE,6598,2,Research,Larin,Kirill,,,,,,,
"Fall 2015",BIOE,7399,4,"Masters Thesis",Ince,"Nuri Firat",,,,,,,
"Fall 2015",BIOE,8198,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Fall 2015",BIOE,8198,5,"Doctoral Research",Omurtag,Ahmet,,,,,,,
"Fall 2015",BIOE,8198,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Fall 2015",BIOE,8198,9,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Fall 2015",BIOE,8198,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Fall 2015",BIOE,8298,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Fall 2015",BIOE,8298,4,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Fall 2015",BIOE,8298,5,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Fall 2015",BIOE,8298,12,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Fall 2015",BIOE,8298,13,"Doctoral Research",Wu,Tianfu,,,,,,,
"Fall 2015",BIOE,8298,17,"Doctoral Research",Merchant,"Fatima Aziz",,,,,,,
"Fall 2015",BIOE,8398,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Fall 2015",BIOE,8398,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Fall 2015",BIOE,8398,3,"Doctoral Research",Birla,"Ravi K",,,,,,,
"Fall 2015",BIOE,8398,7,"Doctoral Research",Gifford,Howard,,,,,,,
"Fall 2015",BIOE,8398,8,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Fall 2015",BIOE,8398,9,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Fall 2015",BIOE,8398,10,"Doctoral Research",Mohan,Chandra,,,,,,,
"Fall 2015",BIOE,8398,11,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Fall 2015",BIOE,8398,12,"Doctoral Research",Wu,Tianfu,,,,,,,
"Fall 2015",BIOE,8398,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Fall 2015",BIOE,8398,16,"Doctoral Research",Willson,Richard,,,,,,,
"Fall 2015",BIOE,8398,18,"Doctoral Research",Porter,Jason,,,,,,,
"Fall 2015",BIOE,8399,2,"Doctoral Dissertation",Larin,Kirill,,,,,,,
"Fall 2015",BIOE,8399,5,"Doctoral Dissertation",Omurtag,Ahmet,,,,,,,
"Fall 2015",BIOE,8399,11,"Doctoral Dissertation",Zhang,Yingchun,,,,,,,
