TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Fall 2017",ACCT,4105,1,"PPA Colloquium 1",Newman,"Michael Ray",,,,,,,
"Fall 2017",ACCT,4106,1,"PPA Colloquium 2",Newman,"Michael Ray",,,,,,,
"Fall 2017",ACCT,4107,1,"Oil and Gas Acct Colloquium",Newman,"Michael Ray",,,,,,,
"Fall 2017",ACCT,7105,1,"MS/Accountancy Colloquium",Newman,"Michael Ray",,,,,,,
"Fall 2017",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Fall 2017",ACCT,8333,2,"Capital Market Research",Lobo,Gerald,,,,,,,
"Fall 2017",ACCT,8999,1,"Doctoral Dissertation",Meade,Janet,,,,,,,
"Fall 2017",ACCT,8999,2,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Fall 2017",ACCT,8999,7,"Doctoral Dissertation",Newberry,"Kaye J",,,,,,,
"Fall 2017",ACCT,8999,8,"Doctoral Dissertation",Muslu,Volkan,,,,,,,
"Fall 2017",ACCT,8999,10,"Doctoral Dissertation",Sun,Xue,,,,,,,
"Fall 2017",ANTH,6399,2,"Masters Thesis",Widmer,"Randolph J",,,,,,,
"Fall 2017",ANTH,6399,3,"Masters Thesis",Gordon,"Andrew J",,,,,,,
"Fall 2017",ANTH,6399,4,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Fall 2017",ANTH,6399,5,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Fall 2017",ANTH,6399,6,"Masters Thesis",Storey,Rebecca,,,,,,,
"Fall 2017",ANTH,7399,3,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Fall 2017",ANTH,7399,4,"Masters Thesis",Widmer,"Randolph J",,,,,,,
"Fall 2017",ANTH,7399,6,"Masters Thesis",Gordon,"Andrew J",,,,,,,
"Fall 2017",ARTH,3399,1,"Senior Honors Thesis",Koontz,"Rex A",,,,,,,
"Fall 2017",ARTH,6399,1,"Master's Thesis",Koontz,"Rex A",,,,,,,
"Fall 2017",BCHS,6113,1,"Graduate Biochemistry Seminar",Fox,"Robert O",,,,,,,
"Fall 2017",BCHS,6198,12,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Fall 2017",BCHS,6198,14,"Special Problems",Sen,Mehmet,,,,,,,
"Fall 2017",BCHS,6298,10,"Special Problems",Widger,"William R",,,,,,,
"Fall 2017",BCHS,6398,2,"Special Problems",Willson,Richard,,,,,,,
"Fall 2017",BCHS,6398,16,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Fall 2017",BCHS,6398,19,"Special Problems",Sen,Mehmet,,,,,,,
"Fall 2017",BCHS,6498,12,"Special Problems",Widger,"William R",,,,,,,
"Fall 2017",BCHS,6498,18,"Special Problems",Yeo,Hye-Jeong,,,,,,,
"Fall 2017",BCHS,6498,25,"Special Problems",Umetani,Michihisa,,,,,,,
"Fall 2017",BCHS,6498,3,"Special Problems",Wang,Yuhong,,,,,,,
"Fall 2017",BCHS,6498,4,"Special Problems",Fujita,Masaya,,,,,,,
"Fall 2017",BCHS,8298,7,"Doctoral Research",Willson,Richard,,,,,,,
