TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA
Spring 2021,PHAR,5330,4,28683,Integrated CV II Module,Wanat,Matthew A,29,9,1,0,0,0,3.718
Spring 2021,DIGM,1376,30,27563,User Experience (UX)Principles,Rodwell,Elizabeth Ann,24,16,2,0,0,0,2.914
Spring 2021,BZAN,6355,1,23605,Adv Programming-Big Data Anlyt,Ma,Xiao,19,7,0,0,0,0,2.863
Spring 2021,COMD,7392,8,14321,Adv Pract Sp & Lang Dis,Thiessen,Amber L,5,0,0,0,0,0,3.934
Spring 2021,ENGL,2306,2,17971,Intro To Poetry,Quinones,Paige V,11,2,0,0,0,1,2.741
Spring 2021,CIS,3347,4,28593,IS Infrastructure and Networks,Viseh,Mehran,17,16,1,0,0,3,2.295
Spring 2021,TLIM,4342,30,24391,Quality Improvement Methods,Golecha,Devshree,23,6,3,0,0,2,2.892
Spring 2021,ASLI,2302,2,17928,Interm. American Sign Lang II,Gietz,Merrilee Ruth,5,3,3,0,0,0,2.355
Spring 2021,ARCH,3198,1,29420,Independent Study,Jackson,Megan H,19,1,0,0,0,0,3.917
Spring 2021,CNST,2345,2,28783,Contract Doc Capital Projects,Beadle,Dwight D,10,5,0,0,0,0,2.895
Spring 2021,GEOL,6399,2,30135,Masters Thesis,Mann,Paul,0,0,0,0,0,0,0
Spring 2021,INDE,4372,1,14900,Operation Control,Sitton,Randal W.,25,4,0,0,0,0,3.722
Spring 2021,SPEC,4365,1,23500,Data-Based Indiv Instruct,Kent,Shawn Christopher,18,2,0,0,0,0,3.651
Spring 2021,MUSI,2171,4,21541,Aural Skills IV,Snyder,John L,5,4,0,0,0,0,2.133
Spring 2021,THEA,1331,1,21255,Introduction To Theatre,Young,Courtney Leigh,49,1,1,0,0,0,3.334
Spring 2021,COMM,4397,3,28493,Selected Topics Communication,Trupiano,Jerome,10,0,1,0,0,1,3.848
Spring 2021,COMM,1302,1,14325,Intro To Comm Theory,Lee,Jaesub,6,14,0,0,0,2,2.055
Spring 2021,SUBS,6380,1,20474,Subsea Systems,Skeels,Harold Brian,0,5,0,0,0,0,2.868
Spring 2021,PSYC,6398,1,21778,Independent Studies,Spitzmuller,Christiane,6,0,0,0,0,0,4
Spring 2021,BTEC,4301,31,28735,Principles of Bioprocessing,Iken,Brian N,13,1,0,0,0,1,3.881
Spring 2021,ACCT,2302,16,28772,Prin of Managerial Accounting,Newman,Michael Ray,11,1,0,0,0,0,3.615
Spring 2021,ELET,6312,1,27792,Network Management,Lent,Marino Ricardo,2,2,0,0,0,0,2.734
Spring 2021,PHLS,8307,1,23568,Health Disparities,Carmack,Chakema,5,0,0,0,0,0,4
Spring 2021,POLS,1336,10,19801,US and Texas Const/Politics,McDonald,John Terrence George,35,33,5,0,0,6,1.857
Spring 2021,ECE,3317,1,24839,Applied Electromagnetic Waves,Chen,Ji,17,27,5,0,0,0,1.947
Spring 2021,INDE,6333,1,21146,Probability Stat For Engineers,Sitton,Randal W.,45,3,0,0,0,0,3.924
Spring 2021,EDRS,8380,2,28382,Rsch Mthds in Educ,Freelon,Rhoda,8,0,0,0,0,0,4
Spring 2021,BIOL,3332,1,18237,Elementary Microbiology,Knapp,Richard D,73,79,13,1,0,10,1.917
Spring 2021,CNST,3185,2,20540,Construction Experience,Stayshich,David A,29,7,0,0,0,1,3.703
Spring 2021,ENGL,4371,1,19872,Literature and Medicine,Liddell,Robert B,12,5,3,0,0,0,2.813
Spring 2021,LAW,6347,1,22296,Secured Financing,Dole,Richard F,3,3,0,0,0,0,2.034
Spring 2021,BIOL,4374,3,18631,Cell Biology,Leming,Jenifer Beth,28,35,7,0,0,0,2.237
Spring 2021,HON,2341,2,27538,Classics of Modernity,LeVeaux,Christine,140,52,1,0,0,3,3.141
Spring 2021,ART,7398,1,30708,Independent Graduate Study,Montoya,Delilah,3,0,0,0,0,0,4
Spring 2021,PHCA,8198,4,30837,Doctoral Dissertation Research,Abughosh,Susan M,1,0,0,0,0,0,4
Spring 2021,PHYS,1101,8,16163,General Physics Laboratory I,Maric,Sladjana,5,6,0,0,0,0,1.609
Spring 2021,ARCH,1501,7,13735,Arc/Int Arc Design Studio II,Chapman,Sharon,2,13,0,0,0,2,2.666
Spring 2021,SPAN,2302,9,16083,Intermediate Spanish II,Naranjo,Carlos Raidel,21,3,1,0,0,0,3.393
Spring 2021,POLS,8999,17,21989,Doctoral Dissertation,Zhu,Ling,0,0,0,0,0,0,0
Spring 2021,SCM,4330,2,18219,Bus Modeling and Dec Analysis,Cossick,Kathy L,19,10,0,0,0,2,2
Spring 2021,PHLS,8339,1,23521,Sem in Career Coun,Allan,Blake A,11,0,0,0,0,0,4
Spring 2021,BUSI,1301,6,28386,Business Principles,Thompson,Joseph Lee,211,13,0,0,0,3,3.427
Spring 2021,DAN,3103,1,28964,Junior Seminar in Somatics,Chapman,Teresa Lynn,15,2,0,0,0,0,3.882
Spring 2021,MIS,3360,3,19752,Systems Analysis and Design,Skinner,Richard James,25,11,0,0,0,0,2.111
Spring 2021,ECON,6345,1,17868,Energy Economics,Kelly,Robert C,7,2,0,0,0,0,3.334
Spring 2021,BCHS,3304,1,13790,General Biochemistry I,Frankino,William A,35,25,1,0,0,1,2.823
Spring 2021,GRET,6335,2,19887,Regional Retail Markets,Ortiz,Jaime,2,8,0,0,0,0,2.612
Spring 2021,LAW,5386,1,14993,Trial Advocacy,Kasprzak,Daniel,9,11,0,0,0,0,3.106
Spring 2021,PHAR,5368,1,27085,Integrated Psychiatric Module,De La Cruz,Austin Isaac,6,15,1,0,0,0,3.227
Spring 2021,ENGL,1304,134,17524,First Year Writing II,Guinn,Christina,13,3,2,0,0,0,3.142
Spring 2021,GEOL,1102,4,23290,Intro to Climate Change Lab,Wang,Yuxuan,19,1,0,0,0,0,3.501
Spring 2021,ARCH,3397,7,27235,Selected Topics,Noldt,Peter,14,4,0,0,0,0,3.175
Spring 2021,GEOL,1130,10,16347,Physical Geology Lab,Sisson,Virginia B,6,2,0,0,0,0,2.697
Spring 2021,PHAR,5330,1,24834,Integrated CV II Module,Wanat,Matthew A,17,4,1,0,0,0,3.727
Spring 2021,LAW,5386,1,14993,Trial Advocacy,Briones,Lesley,9,11,0,0,0,0,3.106
Spring 2021,COMM,4368,2,19703,Public Relations Campaigns,Paisley,Kimberly A,6,2,0,0,0,1,3.26
Spring 2021,PHYS,1102,15,20504,General Physics Laboratory II,Maric,Sladjana,2,10,1,0,0,1,2
Spring 2021,PHYS,1102,21,24953,General Physics Laboratory II,Maric,Sladjana,3,13,0,0,0,1,2.146
Spring 2021,ENGI,1331,25,27797,Computing for Engineers,Aksu,Gulin Tulunay,12,8,4,0,0,6,1.099
Spring 2021,PETR,4312,1,20532,Petroleum Capstone Project II,Soliman,Mohamed Yousef,21,0,0,0,0,0,3.953
Spring 2021,COMM,4378,1,20926,Social Impact of Info Tech,Gonzalez,David De Jesus,47,0,0,0,0,1,4
Spring 2021,CLAS,3381,1,24339,From Homer To Hollywood,Kidder,Kathleen,20,4,1,0,0,0,3.133
Spring 2021,ARCH,   6A51,2,29543,Construction Technology 4,Wilkerson,Steven M,8,1,0,0,0,0,3.889
Spring 2021,EDUC,4317,1,14586,Student Tch Art Sec,Culpepper,Shea Mosley,4,0,0,0,0,0,3.918
Spring 2021,CIVE,6382,1,29752,Lidar Systems and Applications,Glennie,Craig Len,1,3,0,0,0,3,2.167
Spring 2021,CHNS,3350,1,24336,Chinese Culture Through Films,McArthur,Charles M,11,9,0,0,0,1,2.617
Spring 2021,PSYC,3325,2,19724,Psychology of Personality,Inman,Tonya N,36,16,1,0,0,0,2.676
Spring 2021,PSYC,8399,7,22219,Doctoral Dissertation,Medina PhD,Luis Daniel,0,0,0,0,0,0,0
Spring 2021,ENGL,1304,154,21736,First Year Writing II,Burns,William,15,1,0,0,0,1,3.609
Spring 2021,PHYS,1102,5,16175,General Physics Laboratory II,Wood,Lowell T,3,11,2,0,0,0,2.257
Spring 2021,ACCT,4331,3,20523,Federal Income Tax-Individual,Small,R. Christopher,10,11,0,0,0,0,2.433
Spring 2021,KIN,4398,4,25916,Independent Study,Cottingham,Michael,4,0,0,0,0,0,4
Spring 2021,PHYS,1301,4,19074,Intro General Physics I,Gunaratne,Gemunu,14,17,4,0,0,8,2.049
Spring 2021,LAW,5283,1,19853,Mediation Externship,Willis,Tasha L,0,0,0,0,0,0,0
Spring 2021,HRD,6352,30,23453,Inst Design for Training Envir,Waight,Consuelo L,8,0,0,0,0,0,3.959
Spring 2021,ACCT,7397,4,28705,Selected Topics in Accounting,Crawford,Steven,9,3,0,0,0,0,3.778
Spring 2021,CHEE,8399,9,14018,Doctoral Dissertation,Karim,Alamgir,11,0,0,0,0,0,4
Spring 2021,MUSA,6310,5,29898,Applied Piano,Staupe,Andrew Paul,2,0,0,0,0,0,4
