TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA
Spring 2021,LAW,5136,1,16227,Interscholastic Moot Ct Retro,Lawrence,Jim E,0,0,0,0,0,0,0
Spring 2021,BIOL,6315,2,27362,Neuroscience,Ziburkus,Jokubas,10,0,0,0,0,0,3.967
Spring 2021,PHYS,8399,29,15931,Doctoral Dissertation,Ren,Zhifeng,0,0,0,0,0,0,0
Spring 2021,MANA,4347,2,24479,Ethics and Corp Soc Respon.,Im,Taehoon,26,16,1,0,0,0,3.188
Spring 2021,ECON,4373,1,24259,Economics of Financial Crises,Paluszynski,Radoslaw,8,6,2,0,0,1,1.227
Spring 2021,CIVE,3434,3,20513,Fluid Mech and Hydraulic Engr,Momen,Mostafa,19,24,1,0,0,0,2.643
Spring 2021,MATH,6321,1,15137,Func Real Variable,Blecher,David P,6,4,0,0,0,0,3.243
Spring 2021,OPTO,5298,1,30074,Spec Prob Phys Optics,Quintero,Sam,0,0,0,0,0,0,0
Spring 2021,HON,2101,23,21648,The Human Situation:Modernity,LeVeaux,Christine,13,4,0,0,0,0,3.386
Spring 2021,ENGI,2304,12,20082,Technical Communications,Contos,Ashlie Meghan,17,7,0,0,0,1,2.515
Spring 2021,SPAN,3305,1,16178,Spanish Grammar Review,Gutierrez,Manuel J,4,7,0,0,0,0,2.037
Spring 2021,PHAR,5368,3,28700,Integrated Psychiatric Module,De La Cruz,Austin Isaac,17,15,3,0,0,0,3.4
Spring 2021,ENGL,6316,1,27922,American Folklore,Lindahl,Carl R,6,0,0,0,0,0,3.945
Spring 2021,MARK,4374,1,15055,Sales Management,Webb,James R,32,3,0,0,0,0,3.605
Spring 2021,ELCS,8335,1,28832,Seminar in Adult Education,Bell,D'Jalon Jackson,12,2,0,0,0,0,3.857
Spring 2021,CIVE,2330,1,19905,Mechanics I (Statics),Krakowiak,Konrad,16,7,0,0,0,2,1.308
Spring 2021,IDNS,3132,7,28559,Organic Chem II SEP Workshop,Pattison,Donna,15,6,0,0,0,0,2.344
Spring 2021,MATH,2131,1,20904,Linear Alg Labs w/MATLAB,Duvall,Jason R.,42,5,0,0,0,7,3.121
Spring 2021,PSYC,6306,1,28235,Fndatns-Cogntve Psy,Yoshida,Hanako,8,1,0,0,0,0,3.889
Spring 2021,CHEM,3132,1,18756,Problem Solving in Org Chem II,Lee,T Randall,0,0,0,0,0,0,0
Spring 2021,SPAN,2610,1,20250,Intensive Intermediate Spanish,Patterson,Haley F,3,6,0,0,0,2,1.289
Spring 2021,MUSI,4114,2,31408,Chamber Music - Brass,Pradervand,Dana S,1,0,0,0,0,0,4
Spring 2021,PHIL,1305,2,25436,Intro To Ethics,Sommers,Tamler S,46,23,5,0,0,4,2.279
Spring 2021,GRET,6333,2,19888,Retail Mgmt Cross-Cultural,Norwood,Marcella L,8,6,0,0,0,0,3.267
Spring 2021,MUSA,4189,3,29549,Senior Recital,Griffin,Randall S,2,0,0,0,0,0,4
Spring 2021,ENGL,2307,1,19226,Intro To Drama,Stephens,Brendan C,8,4,1,0,0,0,2.3
Spring 2021,BIOL,6330,1,23427,Molec Basis Infect Diseases,Colbert,Anne D,9,5,0,0,0,0,3.378
Spring 2021,LAW,6207,12,19691,Lawyering Skills & Strategy II,Swift,Kenneth Richard,4,9,1,0,0,1,3.332
Spring 2021,ENTR,3312,1,14689,Corporate Entrepreneurship,Karonika,John R,32,10,2,0,0,2,3.32
Spring 2021,POLC,6317,1,24343,Public Policy Capstone,Wong,Man Chiu,20,0,0,0,0,0,4
Spring 2021,BIOL,4103,2,18375,Integration Biol Knowledge,Wayne,Chad M,102,8,0,0,0,0,3.889
Spring 2021,HDCS,4374,1,16510,Entrepreneurial E-Tailing,Johnson,Olivia,2,8,0,0,0,1,1.391
Spring 2021,BTEC,6303,30,22616,Protein Engineering Technology,Flavier,Albert B,0,3,0,0,0,0,1.144
Spring 2021,BIOL,3132,10,19731,Elementary Microbiology Lab,Knapp,Richard D,10,7,0,0,0,1,2.623
Spring 2021,CHEM,1111,7,14054,Fundamentals of Chm Lab,Zaitsev,Vladimir G,1,12,0,0,0,1,2.036
Spring 2021,MATH,1312,5,27980,Intro to Math Reasoning,Watkins,Katie Nicole,44,22,1,0,0,9,1.431
Spring 2021,PHIL,3344,1,27427,Philosophy of Science,Weisberg,Joshua,7,12,0,0,0,0,2.086
Spring 2021,COMM,2310,15,28546,Writing for Print and Digital,Crixell,Charles A,3,6,5,1,0,0,2.733
Spring 2021,HON,2341,1,27537,Classics of Modernity,Liddell,Robert B,131,60,0,0,0,0,3.079
Spring 2021,ARCH,6357,1,24312,Contemporary Theory,Kubo,Michael,17,0,0,0,0,1,3.845
Spring 2021,ANTH,3381,1,27404,Global Hinduism,Menon-Chembottil,Sarath Kumar,27,0,0,0,0,0,3.578
Spring 2021,SOCW,7325,5,21135,Assessment in SW Practice,Borja,Sharon G,22,0,0,0,0,0,3.812
Spring 2021,COMM,4398,5,31082,Independent Study,Fix,Julie B,3,2,0,0,0,0,3.402
Spring 2021,THEA,3376,1,31311,Advanced Drafting,Kearns,Casey,2,0,0,0,0,1,3.67
Spring 2021,DAN,4308,1,21250,Teaching Dance Skills,Chapman,Teresa Lynn,8,1,0,0,0,0,2.834
Spring 2021,COMM,3377,2,22486,Strategic PR Planning,Tinsley,Priscilla T,19,2,0,0,0,0,3.393
Spring 2021,ELCS,6370,1,22590,Research for Educatnal Leaders,Stephens,Adam Joshua,9,0,0,0,0,0,3.6
Spring 2021,ACCT,2302,17,28819,Prin of Managerial Accounting,Serrato,Darlene Marie  Bohac,29,22,6,0,0,1,2.321
Spring 2021,CHEM,1111,28,20122,Fundamentals of Chm Lab,Zaitsev,Vladimir G,8,3,0,0,0,1,2.259
Spring 2021,BIOL,1197,1,27080,Selected Topics in Biology,Ogletree-Hughes,Monique L,39,6,1,0,0,1,3.278
Spring 2021,AAS,3354,1,23650,AF Nation'st Thought Ethics/US,Conyers,James L,20,0,0,0,0,0,4
Spring 2021,ECE,6323,1,18264,Optical Fiber Communications,Le,Han Quang,11,0,0,0,0,0,4
Spring 2021,ENGL,1304,18,23607,First Year Writing II,Estillore,Abigail C.,8,1,0,0,1,1,1.853
Spring 2021,ENGL,1304,35,20155,First Year Writing II,Moore,Kelly L,10,2,1,0,0,0,2.384
Spring 2021,GEOL,1130,12,18251,Physical Geology Lab,Sisson,Virginia B,18,2,0,0,0,0,3.884
Spring 2021,PSYC,7342,1,28237,Bio Bases of Behav,Leasure,Jennifer Leigh,11,0,0,0,0,0,3.97
Spring 2021,MUSI,6200,2,25841,Accompanying Seminar,Suits,Brian J,2,0,0,0,0,0,4
Spring 2021,SCLT,3340,30,19804,Geography for GSC,Blount,James,26,9,1,0,0,0,2.64
Spring 2021,MECE,2334,1,20458,Thermodynamics,Love,Holley Carole,11,66,3,0,0,2,1.566
Spring 2021,MATH,4323,1,24854,Data Science and Stats Learn,Wang,Wenshuang,43,15,3,0,0,0,2.939
Spring 2021,THEA,4380,1,21294,Voice for the Actor IV,Johnson,James B,5,3,0,0,0,0,2.966
Spring 2021,MECE,8598,35,30312,Doctoral Research,Yu,Cunjiang,0,0,0,0,0,0,0
Spring 2021,MANA,   6A25,2,21216,Ethical Leadrshp & Crit Reason,Carlin,Barbara A,16,14,0,0,0,0,3.118
Spring 2021,BCHS,3201,8,16263,Biochemistry I Laboratory,Pattison,Donna,15,3,0,0,0,0,2.861
Spring 2021,ARCH,3342,1,17791,Shape of the City,Turner,Drexel,11,0,0,0,0,0,3.667
Spring 2021,HIST,1378,13,28954,The U S Since 1877,Quevillon,Timothy R,40,11,3,0,0,7,2.129
Spring 2021,MUED,2342,3,24909,Music for Children,Langley,Anna C,9,6,0,0,0,0,2.618
Spring 2021,PSYC,7397,3,28269,Selected Topics in Psychology,Fletcher,Jack M,0,0,0,0,0,0,0
Spring 2021,ENGL,2305,2,19227,Intro To Fiction,Backus,Margot Gayle,4,4,0,0,0,1,3.459
Spring 2021,JPNS,2302,1,20906,Intermediate Japanese II,Suzuki,Mamiko,22,4,1,0,0,1,3.28
Spring 2021,TEPM,6303,1,24917,Risk Assessment in Project Mgm,Carden,Lila L,4,1,0,0,0,0,3.734
Spring 2021,GEOL,6344,1,27541,Isotope Geochemistry,Fu,Qi,5,2,0,0,0,0,3.667
Spring 2021,THEA,7314,1,21319,Graduate Movement IV,Noble,Adam S,6,1,0,0,0,0,3.857
Spring 2021,HDCS,4380,2,14813,Merchandising,Jacobs,Karen S,7,3,0,0,0,0,2.445
Spring 2021,LAW,6318,1,15017,Houston Business/Tax Journal,Wells,Douglas,0,0,0,0,0,0,0
Spring 2021,ACCT,5379,1,28825,Enterprise Risk Management,Bennett,Michael Lee,1,0,0,0,0,0,4
Spring 2021,ECON,3332,3,18617,Intermediate Microeconomics,Craig,Steven G,13,6,1,0,0,3,1.651
Spring 2021,NURS,6333,1,30860,Population Health,McWilliams,Lenora A,8,2,0,0,0,0,3.8
Spring 2021,ART,6310,1,22712,Printmaking Studio,Masterson,Patrick D,1,0,0,0,0,0,4
Spring 2021,CIVE,8498,4,16448,Doctoral Research,Li,Hongyi,0,0,0,0,0,0,0
Spring 2021,ANTH,3399,1,13683,Senior Honors Thesis,Storey,Rebecca,0,0,0,0,0,0,0
Spring 2021,DAN,2204,1,21241,Ballet II Part II,Ozsoy,Firat Kazbek,2,0,0,0,0,0,2.557
Spring 2021,COMM,2328,1,14329,Broadcast Writing Basics,Griffin,Veronica R,11,2,2,0,0,0,2.908
Spring 2021,DIGM,4397,30,27560,Selected Tops in Digital Media,Alters,Monika Joanna,8,4,0,0,0,0,3.072
Spring 2021,PHLS,8393,4,29758,Doctoral Practicum in Psy,Gonzalez,Jorge E,0,0,0,0,0,0,0
Spring 2021,HON,4398,1,14865,Independent Study,LeVeaux,Christine,1,0,0,0,0,0,4
Spring 2021,SCLT,6314,2,21196,Measurement and Evaluation,Bian,Zheyong,8,0,0,0,0,0,3.556
Spring 2021,GEOL,7398,1,30138,Masters Research,Mann,Paul,0,0,0,0,0,0,0
Spring 2021,MUSI,4198,20,31402,Reed Making,Wagner,Elise L,2,0,0,0,0,0,4
Spring 2021,BIOE,8399,1,18295,Doctoral Dissertation,Akay PhD,Metin,0,0,0,0,0,0,0
Spring 2021,DAN,3306,1,23620,Dance Composition III,Stokes,Karen E,3,0,0,0,0,0,4
Spring 2021,PCOL,6198,7,30449,Special Problems,Zhang,Yang,0,0,0,0,0,0,0
Spring 2021,FINA,8999,2,14713,Doctoral Dissertation,George,Thomas J,0,0,0,0,0,0,0
Spring 2021,GEOL,8398,18,31425,Doctoral Research,Zheng,Yingcai,0,0,0,0,0,0,0
Spring 2021,ENGL,8399,13,21847,Doctoral Dissertation,Turchi,Peter D,1,0,0,0,0,0,4
Spring 2021,PHAR,5672,1,18210,Clinical Pharmaceutical Resch,Tolleson,Shane Russell,1,0,0,0,0,0,4
Spring 2021,ENGL,8399,16,21853,Doctoral Dissertation,Divakaruni,Chitra B,2,0,0,0,0,0,4
Spring 2021,MUSI,6328,1,30492,Collab Skills for Organists II,Robinson,Daryl Allen,3,0,0,0,0,0,4
Spring 2021,CHEM,6322,1,19067,Statistcl Thermodynamcs,Lubchenko,Vassiliy,5,0,0,0,0,0,4
Spring 2021,ENGL,8699,5,21755,Doctoral Dissertation,Shepley,Nathan,0,0,0,0,0,0,0
Spring 2021,WCL,6356,1,22415,World Film and Film Theory,Carrera,Alessandro,3,0,0,0,0,0,3.89
Spring 2021,HON,3360,2,27353,Global Engagement,Myrick,Keri D,4,0,1,0,0,0,3.666
Spring 2021,MUSA,4400,2,21483,Applied Voice,Clayton Vasquez,Cynthia L,1,0,0,0,0,0,4
Spring 2021,ARCH,5593,11,27513,Thesis Project,Rogers,Susan,1,0,0,0,0,0,3.67
Spring 2021,ECON,7390,5,31330,Research & Readings - Economic,Kohlhase,Janet E,0,1,0,0,0,0,3
Spring 2021,PCOL,8998,2,22890,Doctoral Research,McConnell,Bradley K,0,0,0,0,0,0,0
Spring 2021,MSCI,3320,1,15480,Applied Leadership,Ta,Hung,0,1,0,0,0,0,3
Spring 2021,CIVE,8198,2,16378,Doctoral Research,Louie,Stacey M,0,0,0,0,0,0,0
Spring 2021,ECE,8398,22,16952,Doctoral Research,Reddy,Rohith Krishna,0,0,0,0,0,0,0
Spring 2021,PCOL,6498,3,30855,Special Problems,Das,Joydip,1,0,0,0,0,0,4
Spring 2021,PEP,8699,8,23103,Doctoral Dissertation,Lee,Dong Hun,1,0,0,0,0,0,4
Spring 2021,PCEU,8399,1,15557,Doctoral Dissertation,Tam,Vincent H,1,0,0,0,0,0,4
Spring 2021,MECE,8298,43,31013,Doctoral Research,Ghasemi,Hadi,0,0,0,0,0,0,0
Spring 2021,ENGL,8399,8,21762,Doctoral Dissertation,Hogue,W Lawrence,1,0,0,0,0,0,4
Spring 2021,CHEM,1112,20,14078,Fundamentals of Chm Lab,Zaitsev,Vladimir G,7,5,0,0,0,3,2.667
Spring 2021,CHEM,1112,8,14066,Fundamentals of Chm Lab,Zaitsev,Vladimir G,5,7,0,0,0,2,2.259
Spring 2021,ART,1330,2,21343,Fundamentals of Graphic Design,Bootwala,Jennifer Elizabeth,7,7,0,0,0,1,2.197
Spring 2021,IDNS,1142,8,28576,Chemistry II SEP Workshop,Pattison,Donna,11,1,2,0,0,0,2.815
Spring 2021,MUSI,1102,2,21505,Wind Ensemble,Pradervand,Dana S,46,1,0,0,0,0,3.896
Spring 2021,ACCT,2301,2,13639,Prin of Financial Accounting,Serrato,Darlene Marie  Bohac,15,11,1,0,0,6,2.014
Spring 2021,CHEM,1112,50,19860,Fundamentals of Chm Lab,Zaitsev,Vladimir G,5,8,0,0,0,2,2.444
Spring 2021,PHCA,6181,1,17972,Seminar,Chen,Hua,10,0,0,0,0,0,4
Spring 2021,MATH,2311,6,17617,Intro To Prob & Statistics,Caputo,Matthew G,12,11,2,0,0,3,1.533
Spring 2021,PSYC,6332,1,20930,CDLNeuropsych: Assess/App I,Woods,Steven Paul,4,0,0,0,0,0,4
Spring 2021,COMD,7391,7,14316,Clinic in Speech Lang Disorder,Schaff,Carrie Allyson,1,0,0,0,0,0,4
Spring 2021,IDNS,3132,3,28555,Organic Chem II SEP Workshop,Pattison,Donna,14,4,3,0,0,1,2.586
Spring 2021,NUTR,6308,1,25639,Clinical Nutrition Practice I,Haubrick,Kevin,0,0,0,0,0,0,0
Spring 2021,COSC,4398,8,31536,Independent Study,Rizk,Nouhad J,0,0,0,0,0,0,0
Spring 2021,GEOL,1330,6,29545,Physical Geology,Curry,Magdalena Alyssa Ellis,6,9,3,0,0,1,1.931
Spring 2021,HDFS,3320,1,23563,Careers in HDFS,Jordan,Erica F,15,10,1,0,0,0,2.591
Spring 2021,ART,1330,3,22730,Fundamentals of Graphic Design,Williams,Celeste,8,3,0,0,0,1,3.027
Spring 2021,DIGM,3374,30,21162,Video Production 2,Snyder,Philip Charles,12,7,1,0,0,0,3.517
Spring 2021,HIST,3394,6,28828,Sel Tops-Us History,Pegoda,Andrew Joseph,5,0,0,0,0,1,2
Spring 2021,MECT,4372,1,16668,Materials Technology,Robles Hernandez,Francisco C,10,16,5,0,0,0,2.256
Spring 2021,GEOL,6393,2,28197,Seismic Amplitude Interpretatn,Van Nieuwenhuise,Donald S,7,0,0,0,0,0,3.717
Spring 2021,COSC,4368,1,18654,Artificial Intelligence,Eick,Christoph F,23,27,2,0,0,6,2.133
Spring 2021,MANA,3335,15,28223,Intro Org Behavior and Mgmt,Currie,Daniel David,165,3,1,0,0,0,3.961
Spring 2021,ARCH,1210,1,24524,Hist & Theory of Design Media,Kudless,Andrew Justin,96,57,2,0,1,8,2.771
Spring 2021,CIS,3343,2,18712,Info Systems Analysis & Design,Brown,Houghton Gregory,0,19,1,0,0,1,1.289
Spring 2021,BIOL,4103,1,17638,Integration Biol Knowledge,Wayne,Chad M,97,15,0,0,0,1,3.73
Spring 2021,OPTO,5112,4,15498,Optics Lab II,Cheng,Han,22,2,0,0,0,0,3.917
Spring 2021,MUSA,8243,1,21426,Doctoral Lecture Recital,Vassallo,Jim Cates,0,0,0,0,0,0,0
Spring 2021,ENTR,3310,4,17639,Entrepreneurship,Ortega,Carlos Alberto,93,39,4,0,0,2,2.854
Spring 2021,ENGL,1303,23,22602,First Year Writing I,Cedilnik,Laurie Ann,5,1,0,0,0,0,3.286
Spring 2021,OPTO,6174,5,15525,Contact Lens Lab,Giannoni,Amber Gaume,18,6,0,0,0,0,3.75
Spring 2021,ELCS,6370,3,29571,Research for Educatnal Leaders,Johnson PhD,Detra DeVerne,11,0,0,0,0,0,4
Spring 2021,COMD,1333,3,29491,Intro To Communicatn Disorders,Ross,Byron L,9,8,1,0,0,1,2.818
Spring 2021,NURS,4213,1,25043,Mental Health Clinical,McManaman-Bridges,Tracy L,24,1,0,0,1,1,3.808
Spring 2021,ARTH,3333,1,21565,Issues in Contemporary Design,Orto,Luisa,24,1,0,0,0,0,3.489
Spring 2021,PHAR,5368,3,28700,Integrated Psychiatric Module,Tejada-Simon,Maria Victoria,17,15,3,0,0,0,3.4
Spring 2021,EDUC,4314,2,18518,Student Teaching Sec,Evans,Paige K,42,2,0,0,0,1,3.808
Spring 2021,ENGL,1304,42,28465,First Year Writing II,Swensen,Russel,10,5,1,0,0,1,2.983
Spring 2021,HISP,2375,1,22411,US Hispanic Culture & Civ,Ventura,Gabriela Baeza,17,3,0,0,0,1,3.167
Spring 2021,BIOL,3301,6,21226,Genetics,Lekven,Arne,45,71,15,0,0,4,2.026
Spring 2021,THEA,1112,3,31159,Production,Bush,Rachel R,6,0,0,0,0,0,4
Spring 2021,THEA,1331,9,22804,Introduction To Theatre,Hinkel,Heidi Anne,52,0,0,0,0,0,3.417
Spring 2021,ACCT,4375,1,28822,Internal Audit Entity Environ,Leavins,Johnny R,8,8,1,0,0,0,2.479
Spring 2021,BIOL,1162,34,18415,Intro To Biol Science Lab 2,Medrano,Ana I,18,2,0,0,0,1,3.575
Spring 2021,HIST,2363,5,28931,Study of Modern Civilizations,Pasley,Victoria,7,16,0,0,0,0,2.181
Spring 2021,BIOL,1162,40,18423,Intro To Biol Science Lab 2,Medrano,Ana I,16,6,0,0,0,0,3.417
Spring 2021,PHOP,6160,2,28148,Gen Sem Visual Sciences,Coates,Daniel R,21,0,0,0,0,0,4
Spring 2021,DIGM,4375,30,21164,Package Design,De Vega,Jaime M,18,0,0,0,0,0,3.72
Spring 2021,PHYS,1102,15,20504,General Physics Laboratory II,Wood,Lowell T,2,10,1,0,0,1,2
Spring 2021,MANA,4330,3,23376,Intro to Strategic HR Mgt,Sebastijanovic,Marina,19,18,2,0,0,0,2.64
Spring 2021,MECE,3369,1,23531,Solid Mechanics,Kulkarni,Yashashree,15,7,0,0,0,0,3.174
Spring 2021,ENGI,1331,23,27795,Computing for Engineers,Luna Singh,Jennifer Austin,8,7,2,0,0,6,0.967
Spring 2021,LAW,6321,2,24726,Professional Responsibility,Duncan,Meredith J,14,21,4,0,0,0,3.265
Spring 2021,ECE,6357,1,23561,Introduction to Cybersecurity,Pan,Miao,16,3,0,0,0,0,3.842
Spring 2021,ARCH,3397,13,27375,Selected Topics,Kubo,Michael,7,0,0,0,0,0,3.906
Spring 2021,SCLT,4389,30,19923,Practicum in Supply Chain,Velarde,Jose Manuel,14,6,0,0,0,0,3.189
Spring 2021,COMM,4372,1,28490,"Media, Power, and Society",Archer,Allison Michelle Nam,14,12,1,0,0,0,3.078
Spring 2021,HDCS,3304,1,14809,Visual Merchandising,Stewart,Barbara L,9,16,2,0,0,0,2.871
Spring 2021,MUSI,6114,2,31416,Chamber Music - Brass,Dinitz,Adam L,1,0,0,0,0,0,4
Spring 2021,PHAR,5219,1,29369,Epidemiology & Evidence Med,Sherer,Jeffrey T,16,1,0,0,0,0,3.941
Spring 2021,ENGL,7323,1,19760,Advncd Fiction Workshop,Nelson,Antonya,6,0,0,0,0,0,4
Spring 2021,FREN,1502,5,14724,Elementary French II,WILSON,Celine Madeleine Alice,5,7,3,0,0,0,1.867
Spring 2021,MIS,4374,4,24159,Info Technology Project Mgmt,Campbell,Phillip James,22,6,0,2,1,0,2.767
Spring 2021,COMM,3369,2,14343,Strategic Comm. Writing,Taylor,Kris A,3,2,3,0,0,0,1.37
Spring 2021,PSYC,1300,5,19060,Intro To Psychology,Capuozzo,Kristen Irene,7,2,0,0,0,0,2.806
Spring 2021,ENGL,1304,57,14648,First Year Writing II,Nelms,Jodi Lynn,8,4,0,0,0,0,2.184
Spring 2021,ECE,8398,6,16936,Doctoral Research,Brankovic,Stanko R,0,0,0,0,0,0,0
Spring 2021,ACCT,6331,6,28839,Financial Accounting,Li,Bin,6,0,0,0,0,0,3.89
Spring 2021,MARK,7397,1,27934,Selected Topics in Marketing,Hess,James D,14,1,0,0,0,1,3.889
Spring 2021,MUSA,3434,4,30699,Applied Clarinet,Nuccio,Mark E,1,0,0,0,0,0,4
Spring 2021,IDNS,1132,4,28565,Calculus II SEP Workshop,Pattison,Donna,0,0,0,0,0,1,0
Spring 2021,ECE,4335,2,19182,Electrical Comp Engr Design I,Phillips,Desiree Lyn,40,1,0,0,0,0,3.737
Spring 2021,PETR,5302,1,27343,Reservoir Engineering II,Hatzignatiou,Dimitrios Georgios,2,0,0,0,0,0,2.447
Spring 2021,MUSA,3430,3,29264,Applied Flute,Suhr,Melissa D,1,0,0,0,0,0,4
Spring 2021,ENGL,7396,2,27954,Topics in Language & Literatre,Colombe,Audrey A,6,0,0,0,0,0,4
Spring 2021,MECE,8598,43,30964,Doctoral Research,Baxevanis,Theocharis,0,0,0,0,0,0,0
Spring 2021,COMD,7391,11,14320,Clinic in Speech Lang Disorder,Merrifield,Kate Elizabeth,2,0,0,0,0,0,4
Spring 2021,ARCH,6397,11,27256,Sel Tpcs-Arc/Urbn Desgn,Noldt,Peter,1,0,0,0,0,0,3.67
Spring 2021,MATH,5330,1,16204,Abstract Algebra,Kaiser,Klaus H,7,0,0,0,0,0,3.953
Spring 2021,PUBL,6325,1,18235,Capstone Problem Project,Thurmond,James H,2,0,0,0,0,0,3.835
Spring 2021,MARK,8999,2,30355,Doctoral Dissertation,Gelb,Betsy L,1,0,0,0,0,0,4
Spring 2021,BCHS,8898,11,30357,Doctoral Research,Gunaratne,Preethi H,0,0,0,0,0,0,0
Spring 2021,PETR,8198,3,20975,Doctoral Research,Myers,Michael Tolbert,0,0,0,0,0,0,0
Spring 2021,PHYS,8998,17,28865,Doctoral Research,Koerner,Lisa Whitehead,0,0,0,0,0,0,0
Spring 2021,HRMA,6364,1,17941,Hosp. Managerial Accounting,Ramirez,Arlene D,1,0,0,0,0,0,3.67
Spring 2021,GEOL,8698,4,30082,Doctoral Research,Jiang,Xun,0,0,0,0,0,0,0
Spring 2021,PHYS,8998,29,28998,Doctoral Research,Timmins,Anthony Robert,0,0,0,0,0,0,0
Spring 2021,COSC,8398,106,25067,Doctoral Research,Deng,Zhigang,0,0,0,0,0,0,0
Spring 2021,LAW,7331,1,29148,WRC: Written Advocacy,Hoffman,Lonny,3,9,0,0,0,0,3.36
Spring 2021,GEOL,8999,3,30257,Doctoral Dissertation,Wu,Jonathan En Lin,1,0,0,0,0,0,4
Spring 2021,PSYC,6359,3,24100,Directed Rsch in Clinical Psyc,Woods,Steven Paul,1,0,0,0,0,0,4
Spring 2021,PEP,8999,2,25543,Doctoral Dissertation,Hawkins,Billy J,1,0,0,0,0,0,4
Spring 2021,MECE,8198,26,31363,Doctoral Research,Yu,Cunjiang,0,0,0,0,0,0,0
Spring 2021,PHIL,3399,1,30387,Senior Honors Thesis,Sommers,Tamler S,0,0,0,0,0,0,0
Spring 2021,PSYC,7399,6,22125,Masters Thesis,Grigorenko,Elena L,0,0,0,0,0,0,0
Spring 2021,GEOL,8698,8,30458,Doctoral Research,Chesnokov,Evgeni M,0,0,0,0,0,0,0
Spring 2021,MUSA,6143,2,21238,Graduate Recital IV,Hester,Timothy E,1,0,0,0,0,0,4
Spring 2021,MUSA,8241,11,24139,Doctoral Recital II,Morgulis,Tali,1,0,0,0,0,0,4
Spring 2021,SOCW,7397,14,31098,Selected Topics in Social Work,Dettlaff,Alan J,1,0,0,0,0,0,4
Spring 2021,MUSA,2334,3,29231,Applied Clarinet,Rowell,Chester D,1,1,0,0,0,0,3.665
Spring 2021,HON,3302,1,24441,Readings in Public Health,Lunstroth,John,2,0,0,0,0,0,4
Spring 2021,SOCW,7397,13,31097,Selected Topics in Social Work,Dettlaff,Alan J,1,0,0,0,0,0,4
Spring 2021,MUSA,8243,3,25628,Doctoral Lecture Recital,Hester,Timothy E,1,0,0,0,0,0,4
Spring 2021,MUSA,4189,17,31328,Senior Recital,Kitai,Anthony T,0,0,0,0,0,0,0
Spring 2021,MUSI,8106,6,29612,Doctoral Large Ensemble,Marmolejo,Noe J,1,0,0,0,0,0,4
Spring 2021,ECE,8399,24,14489,Doctoral Dissertation,Prasad,Saurabh,0,0,0,0,0,0,0
Spring 2021,ANTH,6343,1,27339,Anthropology of Wine,Widmer,Randolph J,1,0,0,0,0,0,4
Spring 2021,HRD,3310,2,27832,Talent Management,Shakir,Khalimah,20,13,1,0,0,1,2.289
Spring 2021,PHYS,1101,7,16162,General Physics Laboratory I,Wood,Lowell T,4,7,1,0,0,3,1.967
Spring 2021,MIS,4477,1,19201,Network & Security Infrastruct,Messinger,Jacob Nelson,19,9,1,0,0,0,2.962
Spring 2021,BIOE,4336,1,19719,Capstone Design II,Schultz,Jerome S,44,1,0,0,0,0,3.605
Spring 2021,POLS,3315,1,22460,International Organization,Sisman,Ozlem,3,15,0,0,0,1,1.25
Spring 2021,AAS,2320,1,13635,Intro To African American Stdy,Smith,Marlon Antoine,12,6,2,0,0,1,2.02
Spring 2021,TLIM,3363,6,24373,Technical Communications,Tangeman,Anthony C,16,18,1,0,0,3,2.602
Spring 2021,HON,2101,12,14860,The Human Situation:Modernity,Vollrath,Lesli A,12,5,0,0,0,0,3.117
Spring 2021,MUSI,4120,2,21555,Percussion Ensemble,Warren,Paul Alexander,9,0,0,0,0,0,4
Spring 2021,MUED,2342,5,24911,Music for Children,Bigwood,Cora Morgan,15,2,1,0,0,0,3.384
Spring 2021,PHYS,1302,2,15665,Intro General Physics II,Forrest,Rebecca L,17,20,13,0,1,11,0.857
Spring 2021,HDCS,1300,3,19779,Human Ecosystems & Tech Change,Rifai,Rana Ihsan,27,7,1,0,0,2,2.202
Spring 2021,FINA,4397,5,28174,Selected Topics in Finance,Hargrove,Carey David,4,5,1,0,0,1,2.488
Spring 2021,COMM,3319,1,17902,Preproduction Management,Hamzah,Sahar Riyad,24,0,1,0,0,0,3.642
Spring 2021,TLIM,3345,1,24362,Human Resources in Technology,Kirtley,Melinda Gayle,27,9,0,0,0,0,2.654
Spring 2021,ART,1371,3,22958,Fundamentals of Photo/DM,Lanier,Kathryn Elizabeth,15,3,0,0,0,2,3.351
Spring 2021,PHLS,6323,1,24273,Psychopathology,Lukingbeal,Patrick Livingston,25,0,0,0,0,0,4
Spring 2021,WCL,3366,3,27492,Latin American and Latino Film,Ramirez,Marie Theresa,5,9,0,0,0,1,2.043
Spring 2021,LAW,5353,1,14991,Business Planning,Sherry,Richard,3,5,3,0,0,0,3.12
Spring 2021,TLIM,4342,32,31254,Quality Improvement Methods,Chance,Michael Dean,14,10,1,0,0,3,2.281
Spring 2021,POLS,3381,1,24311,Political Psychology,Jenke,Elizabeth,30,5,0,0,0,0,2.956
Spring 2021,COMM,4354,1,16190,Organizational Crisis Comm.,Fix,Julie B,15,15,0,0,0,0,3.345
