TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2018",ACCT,4396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Summer 2018",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Summer 2018",ACCT,7398,3,Research,Newman,"Michael Ray",,,,,,,
"Summer 2018",AFSC,3801,1,"Field Training",Hague,"Mary Catherine",,,,,,,
"Summer 2018",ANTH,7399,2,"Masters Thesis",Hutchinson,"Janice Faye",,,,,,,
"Summer 2018",ART,4398,6,"Independent Study",Beckett,"Cheryl A",,,,,,,
"Summer 2018",BCHS,6398,5,"Special Problems",Widger,"William R",,,,,,,
"Summer 2018",BCHS,6398,10,"Special Problems",Wang,Yuhong,,,,,,,
"Summer 2018",BCHS,6398,11,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Summer 2018",BCHS,6398,12,"Special Problems",Yeo,Hye-Jeong,,,,,,,
"Summer 2018",BCHS,6398,13,"Special Problems",Schwartz,"Robert J",,,,,,,
"Summer 2018",BCHS,6398,16,"Special Problems",Bark,Steven,,,,,,,
"Summer 2018",BCHS,6398,18,"Special Problems",Sen,Mehmet,,,,,,,
"Summer 2018",BCHS,8398,4,"Doctoral Research",Briggs,"James M",,,,,,,
"Summer 2018",BCHS,8398,5,"Doctoral Research",Widger,"William R",,,,,,,
"Summer 2018",BCHS,8398,10,"Doctoral Research",Ziburkus,Jokubas,,,,,,,
"Summer 2018",BCHS,8398,15,"Doctoral Research",Willson,Richard,,,,,,,
"Summer 2018",BCHS,8398,16,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Summer 2018",BCHS,8398,17,"Doctoral Research",Wang,Yuhong,,,,,,,
"Summer 2018",BCHS,8398,18,"Doctoral Research",Wang,Yuhong,,,,,,,
"Summer 2018",BCHS,8398,19,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Summer 2018",BCHS,8398,22,"Doctoral Research",Liu,Yu,,,,,,,
"Summer 2018",BCHS,8398,24,"Doctoral Research",Weihua,Zhang,,,,,,,
"Summer 2018",BCHS,8398,25,"Doctoral Research",Lin,Chin-Yo,,,,,,,
"Summer 2018",BCHS,8398,27,"Doctoral Research",Bark,Steven,,,,,,,
"Summer 2018",BCHS,8398,30,"Doctoral Research",Sen,Mehmet,,,,,,,
"Summer 2018",BCHS,8398,31,"Doctoral Research",Umetani,Michihisa,,,,,,,
"Summer 2018",BCHS,8398,8,"Doctoral Research",Fujita,Masaya,,,,,,,
"Summer 2018",BCHS,8399,12,"Doctoral Dissertation",Willson,Richard,,,,,,,
"Summer 2018",BCHS,8399,30,"Doctoral Dissertation",Fox,"George Edward",,,,,,,
"Summer 2018",BIOE,6198,13,Research,Zhang,Yingchun,,,,,,,
"Summer 2018",BIOE,8198,21,"Doctoral Research",Majd,Sheereen,,,,,,,
"Summer 2018",BIOE,8298,11,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Summer 2018",BIOE,8398,18,"Doctoral Research",Abidian,"Mohammad Reza",,,,,,,
