TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA,HELPER
Fall 2025,MIS,4397,10,Selected Topics in MIS,Netzel,Andrew,12,3,0,0,,,3.822,MIS4397
Fall 2025,MIS,4397,03,Selected Topics in MIS,Messinger,Jacob Nelson,6,3,1,1,,2,2.744,MIS4397
Fall 2025,MIS,4397,07,Selected Topics in MIS,Jones,Kevin Dwayne,13,0,0,0,,,3.975,MIS4397
Fall 2025,MIS,4397,06,Selected Topics in MIS,Jagtap,Pankaj,7,4,0,0,,1,3.306,MIS4397
Fall 2025,MIS,4397,08,Selected Topics in MIS,Wei,Wenqi,9,3,0,0,,,3.833,MIS4397
Fall 2025,MIS,7397,04,Selected Topics in MIS,Cooper,Randolph B,13,11,8,2,,4,2.711,MIS7397
Fall 2025,MIS,7397,08,Selected Topics in MIS,Gonzalez Jr,Frederick,30,0,0,0,,,4,MIS7397
Fall 2025,MIS,7397,13,Selected Topics in MIS,Netzel,Andrew,18,1,0,0,,,3.947,MIS7397
Fall 2025,MIS,7397,05,Selected Topics in MIS,Messinger,Jacob Nelson,17,1,0,0,,,3.908,MIS7397
Fall 2025,MIS,7397,02,Selected Topics in MIS,Pena,Juan F,15,1,0,0,,,3.917,MIS7397
Fall 2025,MIS,7397,03,Selected Topics in MIS,Campbell,Phillip James,13,3,0,0,,,3.689,MIS7397
Fall 2025,MIS,7397,06,Selected Topics in MIS,Hosseini,Leila,4,4,2,1,,1,2.64,MIS7397
Fall 2025,MIS,7397,12,Selected Topics in MIS,Wei,Wenqi,9,3,0,0,,,3.778,MIS7397
Fall 2025,MIS,7397,07,Selected Topics in MIS,Jagtap,Pankaj,8,0,0,0,,,3.835,MIS7397
Fall 2025,MIS,7397,09,Selected Topics in MIS,Jagtap,Pankaj,7,0,0,0,,,3.859,MIS7397
Fall 2025,MIS,7397,01,Selected Topics in MIS,Singh,Raksha B,6,0,0,0,,,4,MIS7397
Fall 2025,MIS,7397,10,Selected Topics in MIS,Messinger,Jacob Nelson,4,0,0,0,,,4,MIS7397
Fall 2025,MIS,7397,11,Selected Topics in MIS,Jones,Kevin Dwayne,4,0,0,0,,,3.918,MIS7397
Fall 2025,MIS,4477,03,Network & Security Infrastruct,Khan,Hina F,38,1,1,0,,,3.876,MIS4477
Fall 2025,MIS,4477,01,Network & Security Infrastruct,Messinger,Jacob Nelson,23,6,1,0,,,3.623,MIS4477
Fall 2025,MIS,4386,01,Busn Appls Database Mgmt II,Scamell,Richard W,15,10,6,1,,3,2.924,MIS4386
Fall 2025,MIS,7373,02,Bus Appls Database Mgt Sys I,Grimes,George M,13,8,3,2,2,,3,MIS7373
Fall 2025,MIS,7373,01,Bus Appls Database Mgt Sys I,Chandler,Carol Lee,3,1,0,0,,,3.75,MIS7373
Fall 2025,MIS,7375,02,Transaction Processing Syst I,Messinger,Jacob Nelson,17,1,0,0,,,3.871,MIS7375
Fall 2025,MIS,7375,01,Transaction Processing Syst I,Messinger,Jacob Nelson,8,1,0,0,,,3.926,MIS7375
Fall 2025,MIS,   6A41,03,MIS    6A41,Silva,Leiser O,19,3,0,1,,,3.696,MIS   6A41
Fall 2025,MIS,4379,01,Business Systems Consulting,Scott,Carl P,17,6,0,0,,,3.782,MIS4379
Fall 2025,MIS,7376,01,Systems Anal and Design,Johnson,Glynn L,12,2,0,0,,,3.857,MIS7376
Fall 2025,MIS,7376,02,Systems Anal and Design,Netzel,Andrew,5,0,0,0,,,4,MIS7376
Fall 2025,MIS,7378,01,Info.Tech Management & Control,Grimes,George M,8,1,0,0,,,3.889,MIS7378
Fall 2025,MIS,7378,02,Info.Tech Management & Control,Knighton,William B,3,0,0,0,,,4,MIS7378
Fall 2025,MIS,8397,01,Selected Topics in MIS,Cooper,Randolph B,1,4,0,0,,,3.134,MIS8397
Fall 2025,MIS,8397,02,Selected Topics in MIS,Grimes,George M,4,1,0,0,,,3.8,MIS8397
Fall 2025,MIS,7374,01,Bus Appls Database Mgt Sys II,Scamell,Richard W,2,0,0,0,,,3.835,MIS7374
Fall 2025,MECE,2334,02,Thermodynamics,Love,Holley Carole,29,42,44,4,1,5,2.667,MECE2334
Fall 2025,MECE,2334,01,Thermodynamics,Love,Holley Carole,19,18,36,2,2,2,2.624,MECE2334
Fall 2025,MECE,3369,01,Solid Mechanics,Baxevanis,Theocharis,15,57,22,4,,2,2.75,MECE3369
Fall 2025,MECE,3369,4,Solid Mechanics,Joshi,Shailendra Pramod,12,35,19,3,,1,2.715,MECE3369
Fall 2025,MECE,2361,01,Intro Mechanical Design,Chang,Christiana,31,67,67,3,,,2.683,MECE2361
Fall 2025,MECE,3345,01,Materials Science,Ryou,Jae-Hyun,60,69,21,0,3,3,3.137,MECE3345
Fall 2025,MECE,2261,01,MECE 2261,Chang,Christiana,56,70,23,1,,3,3.148,MECE2261
Fall 2025,MECE,4364,01,Heat Transfer,Liu,Dong,67,40,30,0,,1,3.227,MECE4364
Fall 2025,MECE,3336,01,Mechanics II,Franchek,Matthew,36,37,9,0,,1,3.218,MECE3336
Fall 2025,MECE,3336,02,Mechanics II,Chen,Xuemei,13,23,9,3,4,2,2.617,MECE3336
Fall 2025,MECE,3338,01,Dynamic & Control of Mech Syst,Cescon,Marzia,42,45,30,0,3,9,2.891,MECE3338
Fall 2025,MECE,4340,01,Mechanical Engr Capstone I,Chang,Christiana,54,50,15,0,,,3.286,MECE4340
Fall 2025,MECE,4331,01,Design of Machine Elements,Chen,Yi-Chao,24,50,35,4,1,4,2.689,MECE4331
Fall 2025,MECE,5397,03,Selected Topics,Chen,Tian,14,19,1,0,,,3.305,MECE5397
Fall 2025,MECE,5397,05,Selected Topics,Luan,Jingyi,21,2,0,0,,1,3.695,MECE5397
Fall 2025,MECE,5397,06,Selected Topics,Lee,Myoungkyu,9,12,0,0,,,3.523,MECE5397
Fall 2025,MECE,5397,01,Selected Topics,Zhao,Bo,11,3,2,0,,,3.48,MECE5397
Fall 2025,MECE,5397,02,Selected Topics,Chen,Zheng,3,5,2,1,,,2.969,MECE5397
Fall 2025,MECE,5397,08,Selected Topics,Chen,Muhao,1,5,0,0,,1,2.714,MECE5397
Fall 2025,MECE,5397,07,Selected Topics,Nassar,Hussein,2,3,0,0,,,3.202,MECE5397
Fall 2025,MECE,6397,07,Selected Topics,Luan,Jingyi,22,0,0,0,,,3.925,MECE6397
Fall 2025,MECE,6397,01,Selected Topics,Chen,Tian,12,6,0,0,,1,3.508,MECE6397
Fall 2025,MECE,6397,13,Selected Topics,Chen,Muhao,7,1,1,0,1,,3.3,MECE6397
Fall 2025,MECE,6397,14,Selected Topics,Nassar,Hussein,6,1,0,1,,1,3.001,MECE6397
Fall 2025,MECE,6397,02,Selected Topics,Chen,Tian,3,3,0,0,,,3.39,MECE6397
Fall 2025,MECE,6397,11,Selected Topics,Lee,Myoungkyu,6,0,0,0,,,3.67,MECE6397
Fall 2025,MECE,6397,10,Selected Topics,Lee,Myoungkyu,2,3,0,0,,,3.334,MECE6397
Fall 2025,MECE,6397,09,Selected Topics,Luan,Jingyi,4,0,0,0,,,4,MECE6397
Fall 2025,MECE,6397,08,Selected Topics,Luan,Jingyi,3,0,0,0,,,4,MECE6397
Fall 2025,MECE,6397,12,Selected Topics,Lee,Myoungkyu,0,3,0,0,,,3.22,MECE6397
Fall 2025,MECE,5367,01,Control Systm Analysis & Desgn,Song,Gangbing,18,56,9,0,,2,2.973,MECE5367
Fall 2025,MECE,3360,01,Experimental Methods,Chen,Xuemei,14,30,27,5,1,5,2.516,MECE3360
Fall 2025,MECE,3363,01,Intro To Fluid Mechanics,Floryan,Daniel,19,44,11,0,2,5,2.819,MECE3363
Fall 2025,MECE,4343,01,Thermal Design,Ghasemi,Hadi,22,30,19,0,2,5,2.748,MECE4343
Fall 2025,MECE,3400,01,Intro To Mechanics,Hallai,Julian,35,20,11,0,,4,3.153,MECE3400
Fall 2025,MECE,4341,01,Mechanical Engr Capstone II,Chang,Christiana,37,23,6,0,,,3.465,MECE4341
Fall 2025,MECE,3381,01,Finite Elements for Mech Engr,Rao,Jagannatha R,14,17,9,3,,3,2.732,MECE3381
Fall 2025,MECE,4373,01,MECE 4373,Rahman,Muhammad Maksudur,25,14,2,1,,2,3.318,MECE4373
Fall 2025,MECE,6367,01,Control System Analysis and De,Song,Gangbing,13,25,5,0,,1,3.084,MECE6367
Fall 2025,MECE,4372,01,Mechs-Cntrls-Vibrtn Lab,Song,Gangbing,11,21,10,0,1,,2.946,MECE4372
Fall 2025,MECE,4371,01,Thermal-Fluids Laboratory,Love,Holley Carole,42,0,0,0,,,4,MECE4371
Fall 2025,MECE,6388,01,Optimal Control Theory,Chen,Zheng,24,5,0,1,,,3.755,MECE6388
Fall 2025,MECE,6388,02,Optimal Control Theory,Chen,Zheng,1,4,0,0,,1,2.777,MECE6388
Fall 2025,MECE,6388,03,Optimal Control Theory,Chen,Zheng,1,0,0,0,,,4,MECE6388
Fall 2025,MECE,6345,01,Fluid Dynamics 1,Yang,Di,9,4,0,0,,2,3.09,MECE6345
Fall 2025,MECE,6345,02,Fluid Dynamics 1,Yang,Di,4,4,0,0,,2,2.833,MECE6345
Fall 2025,MECE,6345,03,Fluid Dynamics 1,Yang,Di,2,1,0,0,,,3.557,MECE6345
Fall 2025,MECE,2336,01,Mechanics I,Hammami,Farah,11,8,3,3,,2,2.827,MECE2336
Fall 2025,MECE,6363,01,Physical Metallurgy,Sun,Li,3,12,2,0,2,2,2.382,MECE6363
Fall 2025,MECE,6363,02,Physical Metallurgy,Sun,Li,2,2,0,0,,1,2.734,MECE6363
Fall 2025,MECE,6363,03,Physical Metallurgy,Sun,Li,0,0,1,0,,,2,MECE6363
Fall 2025,MECE,6384,01,Methods of Applied Math I,Chen,Yi-Chao,5,6,2,0,,1,2.976,MECE6384
Fall 2025,MECE,6384,02,Methods of Applied Math I,Chen,Yi-Chao,1,4,0,0,,3,2.083,MECE6384
Fall 2025,MECE,6384,03,Methods of Applied Math I,Chen,Yi-Chao,0,3,0,0,,1,2.168,MECE6384
Fall 2025,MECE,6333,02,Conduction and Radiation,Zhao,Bo,8,4,1,0,,,3.488,MECE6333
Fall 2025,MECE,6333,01,Conduction and Radiation,Zhao,Bo,7,3,0,0,,,3.766,MECE6333
Fall 2025,MECE,6333,03,Conduction and Radiation,Zhao,Bo,1,0,1,0,,,2.835,MECE6333
Fall 2025,MECE,8399,19,Doctoral Dissertation,Ardebili,Haleh,5,0,0,0,,,3.934,MECE8399
Fall 2025,MECE,8399,32,Doctoral Dissertation,Selvamanickam,Venkat,3,0,0,0,,,4,MECE8399
Fall 2025,MECE,8399,01,Doctoral Dissertation,Xu,Ben,2,0,0,0,,,4,MECE8399
Fall 2025,MECE,8399,28,Doctoral Dissertation,Franchek,Matthew,2,0,0,0,,,4,MECE8399
Fall 2025,MECE,8399,26,Doctoral Dissertation,Yang,Di,1,0,0,0,,,4,MECE8399
Fall 2025,MECE,8399,44,Doctoral Dissertation,Chen,Tian,1,0,0,0,,,4,MECE8399
Fall 2025,MECE,6358,01,Superconducting Ceramic Mtls,Selvamanickam,Venkat,6,7,0,0,,,3.487,MECE6358
Fall 2025,MECE,8699,24,Doctoral Dissertation,Baxevanis,Theocharis,2,0,0,0,,,4,MECE8699
Fall 2025,MECE,8699,29,Doctoral Dissertation,Franchek,Matthew,1,1,0,0,,,3.665,MECE8699
Fall 2025,MECE,8699,04,Doctoral Dissertation,Chen,Tian,1,0,0,0,,,4,MECE8699
Fall 2025,MECE,8699,21,Doctoral Dissertation,Ryou,Jae-Hyun,1,0,0,0,,,4,MECE8699
Fall 2025,MECE,8699,28,Doctoral Dissertation,Selvamanickam,Venkat,1,0,0,0,,,4,MECE8699
Fall 2025,MECE,7399,04,Masters Thesis,Song,Gangbing,1,0,0,0,,,4,MECE7399
Fall 2025,MECE,7399,06,Masters Thesis,Alba,Kamran,1,0,0,0,,,4,MECE7399
Fall 2025,MECE,7399,10,Masters Thesis,Grigoriadis,Karolos,1,0,0,0,,,4,MECE7399
Fall 2025,MECE,7399,19,Masters Thesis,Song,Gangbing,1,0,0,0,,,4,MECE7399
Fall 2025,MECE,7399,20,Masters Thesis,Xu,Ben,1,0,0,0,,,3.67,MECE7399
Fall 2025,MECE,4398,02,Independent Study,Love,Holley Carole,2,0,0,0,,,4,MECE4398
Fall 2025,MECE,4398,01,Independent Study,Love,Holley Carole,1,0,0,0,,,4,MECE4398
Fall 2025,MECE,4398,07,Independent Study,Love,Holley Carole,1,0,0,0,,,4,MECE4398
Fall 2025,MECE,6368,01,Mechanical Design Proj,Huang,Yi-Chun,1,0,0,0,,,4,MECE6368
Fall 2025,MECE,6368,02,Mechanical Design Proj,Chen,Tian,1,0,0,0,,,4,MECE6368
Fall 2025,MECE,6368,03,Mechanical Design Proj,Kulkarni,Yashashree,1,0,0,0,,,4,MECE6368
Fall 2025,MECE,3399,04,Senior Honors Thesis,Chen,Tian,1,0,0,0,,,4,MECE3399
Fall 2025,MECE,4598,01,MECE 4598,Luan,Jingyi,1,0,0,0,,,4,MECE4598
Fall 2025,MECE,6399,1,Masters Thesis,Chen,Tian,1,0,0,0,,,4,MECE6399
Fall 2025,MECE,8398,21,Doctoral Research,Song,Gangbing,0,0,0,0,,1,0,MECE8398
Fall 2025,OPTO,6173,04,Clinic Practicum III,Giannoni,Amber Gaume,23,4,0,0,,,3.852,OPTO6173
Fall 2025,OPTO,6173,01,Clinic Practicum III,Giannoni,Amber Gaume,24,2,0,0,,,3.923,OPTO6173
Fall 2025,OPTO,6173,03,Clinic Practicum III,Giannoni,Amber Gaume,20,4,0,0,1,,3.68,OPTO6173
Fall 2025,OPTO,6173,02,Clinic Practicum III,Giannoni,Amber Gaume,19,4,1,0,,,3.75,OPTO6173
Fall 2025,OPTO,6234,01,Ocular Pathology I,Ketcham,Tonya G,26,51,23,0,2,,3.006,OPTO6234
Fall 2025,OPTO,6434,01,General Pharmacology,Ketcham,Tonya G,27,52,22,0,1,,3.016,OPTO6434
Fall 2025,OPTO,5134,01,Neuroanatomy Laboratory,Cheng,Han,22,3,1,0,,,3.808,OPTO5134
Fall 2025,OPTO,5134,02,Neuroanatomy Laboratory,Cheng,Han,25,1,0,0,,,3.962,OPTO5134
Fall 2025,OPTO,5134,03,Neuroanatomy Laboratory,Cheng,Han,23,2,0,0,,,3.92,OPTO5134
Fall 2025,OPTO,5134,04,Neuroanatomy Laboratory,Cheng,Han,23,1,0,0,,,3.958,OPTO5134
Fall 2025,OPTO,5171,02,Clinic Practicum I,Berntsen,David A,13,11,2,0,,,3.423,OPTO5171
Fall 2025,OPTO,5171,04,Clinic Practicum I,Kehinde,Lucy,7,16,3,0,,,3.154,OPTO5171
Fall 2025,OPTO,5171,03,Clinic Practicum I,Berntsen,David A,16,9,0,0,,,3.64,OPTO5171
Fall 2025,OPTO,5171,01,Clinic Practicum I,Kehinde,Lucy,13,10,1,0,,,3.5,OPTO5171
Fall 2025,OPTO,5271,01,Optometry I,Lambreghts,Kimberly,64,34,3,0,,,3.539,OPTO5271
Fall 2025,OPTO,5314,01,Optics I,Marsack,Jason,55,37,9,0,,,3.455,OPTO5314
Fall 2025,OPTO,5320,01,Vision Science I,Yoon,Geunyoung,28,57,15,1,,,3.109,OPTO5320
Fall 2025,OPTO,5334,01,Neuroanat and Physio,Cheng,Han,51,38,12,0,,,3.386,OPTO5334
Fall 2025,OPTO,5344,01,Adv Physiol and Molecular Biol,Frishman,Laura J,31,47,19,4,,,3.102,OPTO5344
Fall 2025,OPTO,6163,04,Primary Opt Lab,Chandler,Moriah Adine,22,5,0,0,,,3.815,OPTO6163
Fall 2025,OPTO,6163,01,Primary Opt Lab,Chandler,Moriah Adine,19,7,0,0,,,3.731,OPTO6163
Fall 2025,OPTO,6163,02,Primary Opt Lab,Chandler,Moriah Adine,19,5,0,0,,,3.792,OPTO6163
Fall 2025,OPTO,6163,03,Primary Opt Lab,Chandler,Moriah Adine,18,6,0,0,,,3.75,OPTO6163
Fall 2025,OPTO,6190,01,Ophthalmic Optics Laboratory,Tucker,Ashley,22,4,0,0,,,3.846,OPTO6190
Fall 2025,OPTO,6190,04,Ophthalmic Optics Laboratory,Tucker,Ashley,22,3,1,0,,,3.808,OPTO6190
Fall 2025,OPTO,6190,02,Ophthalmic Optics Laboratory,Tucker,Ashley,23,2,0,0,,,3.92,OPTO6190
Fall 2025,OPTO,6190,03,Ophthalmic Optics Laboratory,Tucker,Ashley,16,5,3,0,,,3.542,OPTO6190
Fall 2025,OPTO,6219,01,Vision Science III,Das,Vallabh E,32,48,19,0,2,,3.056,OPTO6219
Fall 2025,OPTO,6311,01,Optics III,Ritchey,Eric R,54,40,6,0,1,,3.446,OPTO6311
Fall 2025,OPTO,6363,01,Primary Optometry,Meier,Kimberly,44,43,12,2,,,3.277,OPTO6363
Fall 2025,OPTO,5111,02,Optics Lab I,Nurminen,Lauri Oskari,14,12,0,0,,,3.538,OPTO5111
Fall 2025,OPTO,5111,04,Optics Lab I,Nurminen,Lauri Oskari,10,16,0,0,,,3.385,OPTO5111
Fall 2025,OPTO,5111,01,Optics Lab I,Meier,Kimberly,20,4,0,0,,,3.833,OPTO5111
Fall 2025,OPTO,5111,03,Optics Lab I,Nurminen,Lauri Oskari,12,12,0,0,,,3.5,OPTO5111
Fall 2025,OPTO,5133,01,Adv Human Anat/Hist Lab,Coulson-Thomas,Vivien J,12,12,2,0,,,3.385,OPTO5133
Fall 2025,OPTO,5133,02,Adv Human Anat/Hist Lab,Ostrin,Lisa,17,9,0,0,,,3.654,OPTO5133
Fall 2025,OPTO,5133,03,Adv Human Anat/Hist Lab,Ostrin,Lisa,17,7,0,0,,,3.708,OPTO5133
Fall 2025,OPTO,5133,04,Adv Human Anat/Hist Lab,Ostrin,Lisa,17,5,2,0,,,3.625,OPTO5133
Fall 2025,OPTO,5233,01,Adv Human Anatomy and Hist,Coulson-Thomas,Vivien J,44,34,18,4,,,3.18,OPTO5233
Fall 2025,OPTO,6132,04,Med Laboratory Proced,Garza,Janet,27,0,0,0,,,4,OPTO6132
Fall 2025,OPTO,6132,01,Med Laboratory Proced,Garza,Janet,25,1,0,0,,,3.962,OPTO6132
Fall 2025,OPTO,6132,02,Med Laboratory Proced,Garza,Janet,22,2,0,0,,,3.917,OPTO6132
Fall 2025,OPTO,6132,03,Med Laboratory Proced,Garza,Janet,18,4,1,0,,,3.739,OPTO6132
Fall 2025,OPTO,7131,01,Clinical Medicine,Pate Jr,Lloyd D,78,10,6,0,,,3.766,OPTO7131
Fall 2025,OPTO,7152,02,Pediatric Optometry II Lab,Martinez,Muriel L,14,8,0,0,,,3.636,OPTO7152
Fall 2025,OPTO,7152,04,Pediatric Optometry II Lab,Martinez,Muriel L,19,3,0,0,,,3.864,OPTO7152
Fall 2025,OPTO,7152,01,Pediatric Optometry II Lab,Martinez,Muriel L,15,5,0,0,1,,3.571,OPTO7152
Fall 2025,OPTO,7152,03,Pediatric Optometry II Lab,Martinez,Muriel L,15,6,0,0,,,3.714,OPTO7152
Fall 2025,OPTO,7230,1,Glaucoma,Marrelli,Danica J,17,46,22,0,1,,2.884,OPTO7230
Fall 2025,OPTO,7252,01,Pediatric Optometry II,Plaumann,Maureen Daley,31,44,11,0,,,3.233,OPTO7252
Fall 2025,OPTO,7336,01,Ocular Pathology III,Harrison,Wendy W,12,49,25,0,,,2.872,OPTO7336
Fall 2025,OPTO,7361,01,Geriatric Optometry,Sayah,Diane Noel,29,50,7,0,,,3.256,OPTO7361
Fall 2025,OPTO,7375,01,Contact Lens II,Dempsey,Robert L,29,51,6,0,,,3.267,OPTO7375
Fall 2025,OPTO,8338,01,Recent Developments/Round,Wheat,Joe L,11,22,1,0,,,3.275,OPTO8338
Fall 2025,OPTO,8384,01,Practice Management II,Walters,Mary Kathryn,31,1,1,0,,,3.909,OPTO8384
Fall 2025,OPTO,6312,01,Optics IV,Ritchey,Eric R,0,1,0,0,,,3,OPTO6312
Fall 2025,ECE,2201,01,Circuit Analysis I,Meh Chu,Chu,19,21,13,13,3,9,2.299,ECE2201
Fall 2025,ECE,2201,03,Circuit Analysis I,Ruchhoeft,Paul,22,25,15,6,1,8,2.614,ECE2201
Fall 2025,ECE,2201,05,Circuit Analysis I,Meh Chu,Chu,7,7,10,9,2,4,1.949,ECE2201
Fall 2025,ECE,2202,03,Circuit Analysis II,Ramachandran,Deepa,28,13,27,9,3,4,2.52,ECE2202
Fall 2025,ECE,2202,3,Circuit Analysis II,Ershad,Faheem,15,8,18,4,1,3,2.463,ECE2202
Fall 2025,ECE,2202,5,Circuit Analysis II,Ramachandran,Deepa,4,5,5,3,,,2.608,ECE2202
Fall 2025,ECE,3331,01,Program Appl in Elec Comp Engr,Le,Hung Quang,38,16,0,0,,1,3.576,ECE3331
Fall 2025,ECE,3331,4,Program Appl in Elec Comp Engr,Meh Chu,Chu,40,1,0,0,,,3.984,ECE3331
Fall 2025,ECE,3331,3,Program Appl in Elec Comp Engr,Le,Hung Quang,14,6,0,0,,1,3.555,ECE3331
Fall 2025,ECE,3331,02,Program Appl in Elec Comp Engr,Meh Chu,Chu,17,0,0,0,1,,3.778,ECE3331
Fall 2025,ECE,3441,03,Digital Logic Design,Viswanath,Padmavati Aparna,43,19,10,0,,6,3.15,ECE3441
Fall 2025,ECE,3441,01,Digital Logic Design,Sheth,Bhavin R,23,10,7,2,3,2,2.915,ECE3441
Fall 2025,ECE,3457,01,Digital Electronics,Bao,Jiming,57,17,2,0,,2,3.632,ECE3457
Fall 2025,ECE,3457,03,Digital Electronics,Bao,Jiming,19,8,0,0,1,,3.56,ECE3457
Fall 2025,ECE,3317,01,Applied Electromagnetic Waves,Jackson,David R,11,46,11,3,1,1,2.894,ECE3317
Fall 2025,ECE,3317,02,Applied Electromagnetic Waves,Long,Stuart A,6,13,0,0,1,,3.068,ECE3317
Fall 2025,ECE,4335,01,Electrical Comp Engr Design I,Contreras-Vidal,Jose Luis,93,0,0,0,,,4,ECE4335
Fall 2025,ECE,2100,02,Circuit Analysis Laboratory,Claydon,Frank J,7,7,7,0,2,,2.696,ECE2100
Fall 2025,ECE,2100,03,Circuit Analysis Laboratory,Claydon,Frank J,7,12,2,0,,2,2.957,ECE2100
Fall 2025,ECE,2100,01,Circuit Analysis Laboratory,Claydon,Frank J,8,8,2,0,3,1,2.697,ECE2100
Fall 2025,ECE,2100,4,Circuit Analysis Laboratory,Claydon,Frank J,4,6,9,0,2,1,2.349,ECE2100
Fall 2025,ECE,3436,01,Microprocessor Systems,De La Rosa-Pohl,Diana,36,8,2,0,,,3.703,ECE3436
Fall 2025,ECE,3436,03,Microprocessor Systems,Le,Hung Quang,5,25,10,0,1,3,2.591,ECE3436
Fall 2025,ECE,3355,02,Electronics,Litvinov,Dmitri,19,33,25,5,3,1,2.667,ECE3355
Fall 2025,ECE,3155,01,Electronics Laboratory,Shattuck,David P,61,19,0,0,2,1,3.678,ECE3155
Fall 2025,ECE,3337,02,Signals and Systems Analysis,Reddy,Rohith Krishna,8,22,17,1,,2,2.653,ECE3337
Fall 2025,ECE,3337,03,Signals and Systems Analysis,Csutak,Sebastian,1,5,12,1,,,2.159,ECE3337
Fall 2025,ECE,3337,5,Signals and Systems Analysis,Csutak,Sebastian,0,5,7,0,,1,2.104,ECE3337
Fall 2025,ECE,3340,01,Numerical Methods for ECE,Zheng,Jianfeng,61,15,2,0,,3,3.593,ECE3340
Fall 2025,ECE,4437,03,Embedded Microcomputer Systems,Le,Hung Quang,27,13,0,0,,,3.617,ECE4437
Fall 2025,ECE,4437,01,Embedded Microcomputer Systems,Le,Hung Quang,33,2,0,0,,,3.811,ECE4437
Fall 2025,ECE,4336,01,Electrical Comp Engr Design II,Viswanath,Padmavati Aparna,44,15,0,0,,,3.667,ECE4336
Fall 2025,ECE,6372,01,Advanced Hardware Design,Chen,Yuhua,48,10,0,0,,,3.782,ECE6372
Fall 2025,ECE,6397,2,Selected Topics,Shan,Xiaonan,35,0,0,0,,,3.991,ECE6397
Fall 2025,ECE,6397,3,Selected Topics,Nguyen,Hien V,19,0,0,0,,,3.913,ECE6397
Fall 2025,ECE,3364,01,Circuits and Systems,Shattuck,David P,17,24,2,0,,1,3.303,ECE3364
Fall 2025,ECE,6373,01,Adv Computer Arch,Fu,Xin,25,11,3,1,,1,3.399,ECE6373
Fall 2025,ECE,5451,01,Principles of Internetworking,Pan,Miao,33,7,0,0,,,3.751,ECE5451
Fall 2025,ECE,5388,01,Renewable Energy Technology,Huang,Hao,24,12,3,0,,,3.581,ECE5388
Fall 2025,ECE,4375,01,Automatic Control Systems,Provence,Robert S,14,11,13,0,,,3.018,ECE4375
Fall 2025,ECE,5127,01,Power System Analysis Lab,Viswanath,Padmavati Aparna,31,5,1,0,,,3.846,ECE5127
Fall 2025,ECE,5377,01,Power System Analysis,Viswanath,Padmavati Aparna,17,6,1,0,,,3.694,ECE5377
Fall 2025,ECE,5377,02,Power System Analysis,Viswanath,Padmavati Aparna,10,2,1,0,,,3.642,ECE5377
Fall 2025,ECE,6346,1,Vlsi Design,Joardar,Biresh Kumar,17,16,2,0,,,3.353,ECE6346
Fall 2025,ECE,5397,4,Selected Topics,Nguyen,Hien V,15,5,0,0,,,3.585,ECE5397
Fall 2025,ECE,5397,1,Selected Topics,Mayerich,David Matthew,2,1,1,0,,1,2.732,ECE5397
Fall 2025,ECE,5397,2,Selected Topics,Chen,Yuhua,4,0,0,0,,,4,ECE5397
Fall 2025,ECE,5397,3,Selected Topics,Shan,Xiaonan,2,0,0,0,,,4,ECE5397
Fall 2025,ECE,4339,02,Phy Prin of Solid State Device,Brankovic,Stanko R,16,6,2,0,,1,3.414,ECE4339
Fall 2025,ECE,4115,01,Control Systems Laboratory I,Provence,Robert S,5,15,4,0,,,2.945,ECE4115
Fall 2025,ECE,4119,01,Solid State Devices Lab,Brankovic,Stanko R,15,8,0,0,1,,3.514,ECE4119
Fall 2025,ECE,5371,01,ECE 5371,Han,Zhu,23,1,0,0,,,3.807,ECE5371
Fall 2025,ECE,6328,01,Cmos Analog Integrated Circuit,Chen,Jinghong,14,9,0,0,,1,3.445,ECE6328
Fall 2025,ECE,5335,02,State-Space Control Systems,Ortiz,James Norman,8,7,8,0,,,2.971,ECE5335
Fall 2025,ECE,6360,01,GPU/Heterogeneous Programming,Mayerich,David Matthew,11,11,1,0,,,3.377,ECE6360
Fall 2025,ECE,8399,30,Doctoral Dissertation,Shireen,Wajiha,3,0,0,0,,,3.78,ECE8399
Fall 2025,ECE,8399,01,Doctoral Dissertation,Bao,Jiming,2,0,0,0,,,4,ECE8399
Fall 2025,ECE,8399,05,Doctoral Dissertation,Chen,Jiefu,2,0,0,0,,,4,ECE8399
Fall 2025,ECE,8399,18,Doctoral Dissertation,Nguyen,Hien V,2,0,0,0,,,4,ECE8399
Fall 2025,ECE,8399,02,Doctoral Dissertation,Becker,Aaron T,1,0,0,0,,,4,ECE8399
Fall 2025,ECE,8399,03,Doctoral Dissertation,Brankovic,Stanko R,1,0,0,0,,,4,ECE8399
Fall 2025,ECE,8399,12,Doctoral Dissertation,Han,Zhu,1,0,0,0,,,4,ECE8399
Fall 2025,ECE,8399,13,Doctoral Dissertation,Jackson,David R,1,0,0,0,,,4,ECE8399
Fall 2025,ECE,8399,17,Doctoral Dissertation,Mayerich,David Matthew,1,0,0,0,,,4,ECE8399
Fall 2025,ECE,8399,19,Doctoral Dissertation,Pan,Miao,1,0,0,0,,,4,ECE8399
Fall 2025,ECE,8399,22,Doctoral Dissertation,Rajashekara,Kaushik,1,0,0,0,,,4,ECE8399
