TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA,HELPER
Fall 2025,MATH,3321,05,Engineering Mathematics,Torok,Andrei S,12,23,21,0,10,13,1.954,MATH3321
Fall 2025,MATH,3321,03,Engineering Mathematics,Wang,Min,16,11,13,11,8,5,2.032,MATH3321
Fall 2025,MATH,1332,02,Contemporary Mathematics,Chern,Haley Nicole,73,53,61,14,24,11,2.473,MATH1332
Fall 2025,MATH,1332,01,Contemporary Mathematics,Chern,Haley Nicole,48,44,53,28,45,16,1.911,MATH1332
Fall 2025,MATH,1332,03,Contemporary Mathematics,Hafeez,Shahinda,16,18,24,3,10,7,2.154,MATH1332
Fall 2025,MATH,2305,05,Discrete Mathematics,Leger,Nicholas M,11,24,27,6,14,14,1.82,MATH2305
Fall 2025,MATH,2305,01,Discrete Mathematics,Winkle,James J,7,22,17,9,7,7,1.995,MATH2305
Fall 2025,MATH,2305,02,Discrete Mathematics,Xhabli,Blerina,14,17,22,8,5,3,2.242,MATH2305
Fall 2025,MATH,2305,08,Discrete Mathematics,May,Jennifer Ruhnow,16,18,18,3,1,12,2.275,MATH2305
Fall 2025,MATH,2305,03,Discrete Mathematics,Papadakis,Emanuel Ioannis,30,13,3,2,4,5,2.912,MATH2305
Fall 2025,MATH,2305,04,Discrete Mathematics,Winkle,James J,6,10,10,4,2,2,2.304,MATH2305
Fall 2025,MATH,2305,07,Discrete Mathematics,Leger,Nicholas M,5,11,4,5,1,2,2.298,MATH2305
Fall 2025,MATH,2318,03,Linear Algebra,Sanders,Richard,29,17,23,5,4,2,2.704,MATH2318
Fall 2025,MATH,2318,09,Linear Algebra,Charon,Nicolas,30,29,6,0,5,6,2.808,MATH2318
Fall 2025,MATH,2318,05,Linear Algebra,Perepelitsa,Mikhail Antolyevic,40,11,6,3,3,9,2.861,MATH2318
Fall 2025,MATH,2318,04,Linear Algebra,Sanders,Richard,25,9,15,6,7,2,2.542,MATH2318
Fall 2025,MATH,2318,07,Linear Algebra,Perepelitsa,Mikhail Antolyevic,26,10,6,2,2,6,2.833,MATH2318
Fall 2025,MATH,2318,08,Linear Algebra,Sanchez,Anthony,10,8,7,0,4,4,2.394,MATH2318
Fall 2025,MATH,1325,02,Calc for Bus & Social Sciences,Constante,Beatrice,61,47,45,7,29,33,2.14,MATH1325
Fall 2025,MATH,1325,03,Calc for Bus & Social Sciences,Constante,Beatrice,12,5,14,4,14,3,1.802,MATH1325
Fall 2025,MATH,3363,01,Introduction To Pde,Morgan,Jeffrey,49,46,16,6,3,8,2.899,MATH3363
Fall 2025,MATH,3363,03,Introduction To Pde,Olshanskiy,Maxim Alexandrovich,26,18,12,2,,2,2.995,MATH3363
Fall 2025,MATH,3363,04,Introduction To Pde,Fitzgibbon,William E,13,20,8,0,1,5,2.759,MATH3363
Fall 2025,MATH,1351,01,Intro to Geometric Reasoning,May,Jennifer Ruhnow,46,45,28,2,6,5,2.801,MATH1351
Fall 2025,MATH,1351,02,Intro to Geometric Reasoning,Hollyer,Virginia Leigh,22,24,11,2,3,3,2.821,MATH1351
Fall 2025,MATH,4322,02,Data Science and Machine Learn,Poliak,Cathy Dawn,55,25,2,1,,1,3.532,MATH4322
Fall 2025,MATH,4322,01,Data Science and Machine Learn,Niu,Yabo,64,14,2,0,,2,3.663,MATH4322
Fall 2025,MATH,3338,01,Probability,Lutsko,Christopher,14,16,14,4,4,7,2.244,MATH3338
Fall 2025,MATH,3338,03,Probability,Azencott,Robert Guy,20,9,9,1,1,6,2.71,MATH3338
Fall 2025,MATH,3331,03,Differential Equations,Puelz,Charles E,8,21,13,5,1,1,2.578,MATH3331
Fall 2025,MATH,3331,02,Differential Equations,Xia,Mingtao,6,13,18,0,3,1,2.455,MATH3331
Fall 2025,MATH,4323,01,Data Science and Stats Learn,Wang,Wenshuang,53,21,2,0,,4,3.463,MATH4323
Fall 2025,MATH,3325,01,Transition to Advanced Math,Wu,Yingying,25,12,0,0,1,5,3.101,MATH3325
Fall 2025,MATH,3325,02,Transition to Advanced Math,Onofrei,Daniel T,8,10,5,3,4,3,2.293,MATH3325
Fall 2025,MATH,4364,01,Intro to Numerical Analysis,Pan,Tsorng-Whay,31,9,3,0,,1,3.538,MATH4364
Fall 2025,MATH,4364,02,Intro to Numerical Analysis,Mamonov,Alexander V,6,9,8,2,3,3,2.247,MATH4364
Fall 2025,MATH,2131,01,Linear Alg Labs w/MATLAB,Simmons,Mark Bryce,28,3,3,0,1,2,3.459,MATH2131
Fall 2025,MATH,2131,02,Linear Alg Labs w/MATLAB,Bin Mizan,Md Rezwan,25,4,0,0,1,1,3.602,MATH2131
Fall 2025,MATH,1100,01,Developmental Math,Chern,Haley Nicole,0,0,0,0,,29,0,MATH1100
Fall 2025,MATH,1100,02,Developmental Math,Chern,Haley Nicole,0,0,0,0,,14,0,MATH1100
Fall 2025,MATH,1100,03,Developmental Math,Chern,Haley Nicole,0,0,0,0,,11,0,MATH1100
Fall 2025,MATH,1100,04,Developmental Math,Chern,Haley Nicole,0,0,0,0,,9,0,MATH1100
Fall 2025,MATH,3333,04,Intermediate Analysis,Ott,William R,14,13,5,2,3,,2.838,MATH3333
Fall 2025,MATH,3333,01,Intermediate Analysis,Nicol,Matthew J,12,8,2,0,,1,3.276,MATH3333
Fall 2025,MATH,3330,01,Abstract Algebra,Kalantar,Mehrdad,19,18,3,0,3,5,2.826,MATH3330
Fall 2025,MATH,6397,05,Selected Topics in Math,Wang,Min,13,11,2,0,,,3.398,MATH6397
Fall 2025,MATH,6397,04,Selected Topics in Math,Mang,Andreas,14,0,0,0,,,4,MATH6397
Fall 2025,MATH,6397,02,Selected Topics in Math,Josic,Kresimir,7,0,0,0,,,3.953,MATH6397
Fall 2025,MATH,4339,02,Multivariate Statistics,Poliak,Cathy Dawn,34,9,0,0,,,3.745,MATH4339
Fall 2025,MATH,4320,01,Intro To Stochastic Processes,Ott,William R,23,12,1,0,1,3,3.184,MATH4320
Fall 2025,MATH,2450,04,Accelerated Calculus I,Nicol,Matthew J,21,6,5,3,,2,3.108,MATH2450
Fall 2025,MATH,3364,01,Intro Complex Analysis,Torok,Andrei S,4,9,9,3,2,6,1.919,MATH3364
Fall 2025,MATH,3340,01,Intro To Fixed Income Math,Timofeyev,Ilya,9,10,6,2,,3,2.612,MATH3340
Fall 2025,MATH,4389,01,Survey of Undergraduate Math,Climenhaga,Vaughn,8,11,5,3,,1,2.833,MATH4389
Fall 2025,MATH,4388,01,History of Mathematics,Ji,Shanyu,20,4,2,1,,,3.617,MATH4388
Fall 2025,MATH,6350,01,Stat. Learning and Data Mining,Ryan,John M,24,2,0,0,,,3.923,MATH6350
Fall 2025,MATH,6380,01,Programming for Data Analytics,Shastri,Dvijesh J,5,7,1,2,,,2.89,MATH6380
Fall 2025,MATH,6380,02,Programming for Data Analytics,Shastri,Dvijesh J,7,4,0,0,,,3.546,MATH6380
Fall 2025,MATH,6382,02,Probability,Haynes,Alan K,16,9,1,0,,,3.552,MATH6382
Fall 2025,MATH,6358,02,Linear Models and App,Poliak,Cathy Dawn,15,3,0,0,,,3.778,MATH6358
Fall 2025,MATH,6358,03,Linear Models and App,Poliak,Cathy Dawn,7,0,0,0,,,3.906,MATH6358
Fall 2025,MATH,5331,01,Linear Algebra W/ Applications,Etgen,Garret J,18,4,1,0,,,3.696,MATH5331
Fall 2025,MATH,4310,01,Biostatistics,Labate,Demetrio,9,7,1,1,,1,3.21,MATH4310
Fall 2025,MATH,6304,01,Theory of Matrices,Bodmann,Bernhard G,16,3,0,0,,,3.825,MATH6304
Fall 2025,MATH,6357,01,Design of Experiments,Wang,Wenshuang,19,0,0,0,,,3.965,MATH6357
Fall 2025,MATH,6370,01,Numerical Analysis,He,Yunhui,12,6,0,0,,,3.685,MATH6370
Fall 2025,MATH,4366,01,Numerical Linear Algebra,He,Jiwen,11,3,1,1,1,,3.294,MATH4366
Fall 2025,MATH,4383,01,Number Theory,Ru,Min,6,7,1,1,1,1,2.843,MATH4383
Fall 2025,MATH,6320,01,Func Real Variable,Blecher,David P,9,7,0,0,,1,3.295,MATH6320
Fall 2025,MATH,6366,01,Optimization Theory,He,Jiwen,16,1,0,0,,,3.864,MATH6366
Fall 2025,MATH,6302,01,Modern Algebra,Heier,Gordon,11,2,0,0,,2,3.267,MATH6302
Fall 2025,MATH,4335,01,Partial Diff  Equations I,Cappanera,Loic,5,6,0,1,,1,2.975,MATH4335
Fall 2025,MATH,5333,01,Analysis,Ji,Shanyu,7,5,0,0,,1,3.308,MATH5333
Fall 2025,MATH,5310,01,History of Mathematics,Ji,Shanyu,9,2,1,0,,,3.667,MATH5310
Fall 2025,MATH,3349,01,Inferential Statistics,Cao,Jian,5,1,3,1,1,,2.757,MATH3349
Fall 2025,MATH,4331,02,Intro To Real Analysis,Vershynina,Anna,2,6,0,1,,2,2.365,MATH4331
Fall 2025,MATH,4377,04,Advanced Linear Algebra I,Quaini,Annalisa,4,2,2,0,3,,2.274,MATH4377
Fall 2025,MATH,6342,01,Topology,Climenhaga,Vaughn,7,4,0,0,,,3.576,MATH6342
Fall 2025,MATH,6376,01,Num Linear Algebra,Olshanskiy,Maxim Alexandrovich,10,1,0,0,,,3.909,MATH6376
Fall 2025,MATH,5382,01,Probability,Timofeyev,Ilya,8,1,0,0,,,3.889,MATH5382
Fall 2025,MATH,6326,01,Partial Diff Equations,Jaramillo,Gabriela T,7,2,0,0,,,3.631,MATH6326
Fall 2025,MATH,6389,01,MATH 6389,Jun,Mikyoung,3,2,0,0,,,3.6,MATH6389
Fall 2025,MATH,6389,02,MATH 6389,Jun,Mikyoung,1,2,0,0,,,3.223,MATH6389
Fall 2025,MATH,6315,01,Masters Tutorial,Jun,Mikyoung,5,0,0,0,,,3.934,MATH6315
Fall 2025,MATH,6315,06,Masters Tutorial,Morgan,Jeffrey,1,0,0,0,,,4,MATH6315
Fall 2025,MATH,6308,04,Advanced Linear Algebra I,Quaini,Annalisa,2,1,0,0,,1,2.75,MATH6308
Fall 2025,MATH,6399,01,Masters Thesis,Labate,Demetrio,1,0,0,0,,,4,MATH6399
Fall 2025,MATH,6399,02,Masters Thesis,Ott,William R,1,0,0,0,,,4,MATH6399
Fall 2025,MATH,8399,15,Doctoral Dissertation,Jun,Mikyoung,0,1,0,0,,,3.33,MATH8399
Fall 2025,MATH,8399,16,Doctoral Dissertation,Quaini,Annalisa,1,0,0,0,,,4,MATH8399
Fall 2025,MATH,4396,01,Senior Research Project,Puelz,Charles E,1,0,0,0,,,4,MATH4396
Fall 2025,MATH,6312,02,Introduction to Real Analysis,Vershynina,Anna,0,0,1,0,,,1.67,MATH6312
Fall 2025,MATH,7399,01,Masters Thesis,Ott,William R,1,0,0,0,,,4,MATH7399
Fall 2025,BIOL,1306,03,Biology for Science Majors I,Cheek,Ann Oliver,73,69,70,28,19,25,2.399,BIOL1306
Fall 2025,BIOL,1306,04,Biology for Science Majors I,Dimarco,Romina,80,109,57,15,9,14,2.732,BIOL1306
Fall 2025,BIOL,1306,02,Biology for Science Majors I,Cheek,Ann Oliver,73,75,59,34,19,22,2.425,BIOL1306
Fall 2025,BIOL,1306,05,Biology for Science Majors I,Medrano,Ana I,73,84,52,22,12,37,2.386,BIOL1306
Fall 2025,BIOL,1306,01,Biology for Science Majors I,Dimarco,Romina,93,94,52,15,11,14,2.746,BIOL1306
Fall 2025,BIOL,1306,50,Biology for Science Majors I,Cheek,Ann Oliver,13,12,6,1,1,1,3.019,BIOL1306
Fall 2025,BIOL,1306,52,Biology for Science Majors I,Hanke,Marc H,8,9,10,3,1,2,2.465,BIOL1306
Fall 2025,BIOL,1306,53,Biology for Science Majors I,Sharp,Rita Evelyn,11,11,7,0,1,1,2.914,BIOL1306
Fall 2025,BIOL,1306,51,Biology for Science Majors I,Hanke,Marc H,11,8,5,1,1,4,2.556,BIOL1306
Fall 2025,BIOL,1306,54,Biology for Science Majors I,Sharp,Rita Evelyn,11,9,2,2,,4,2.762,BIOL1306
Fall 2025,BIOL,1106,01,Biol for Science Majors I(Lab),Medrano,Ana I,15,3,2,1,1,2,3.042,BIOL1106
Fall 2025,BIOL,1106,03,Biol for Science Majors I(Lab),Medrano,Ana I,22,1,1,0,,,3.875,BIOL1106
Fall 2025,BIOL,1106,04,Biol for Science Majors I(Lab),Medrano,Ana I,19,3,0,0,2,,3.487,BIOL1106
Fall 2025,BIOL,1106,05,Biol for Science Majors I(Lab),Medrano,Ana I,22,2,0,0,,,3.917,BIOL1106
Fall 2025,BIOL,1106,07,Biol for Science Majors I(Lab),Medrano,Ana I,16,2,3,0,1,2,3.084,BIOL1106
Fall 2025,BIOL,1106,08,Biol for Science Majors I(Lab),Medrano,Ana I,20,3,0,1,,,3.723,BIOL1106
Fall 2025,BIOL,1106,10,Biol for Science Majors I(Lab),Medrano,Ana I,18,4,1,0,,1,3.597,BIOL1106
Fall 2025,BIOL,1106,13,Biol for Science Majors I(Lab),Medrano,Ana I,20,4,0,0,,,3.847,BIOL1106
Fall 2025,BIOL,1106,14,Biol for Science Majors I(Lab),Medrano,Ana I,19,5,0,0,,,3.75,BIOL1106
Fall 2025,BIOL,1106,15,Biol for Science Majors I(Lab),Medrano,Ana I,16,7,0,0,,1,3.473,BIOL1106
Fall 2025,BIOL,1106,17,Biol for Science Majors I(Lab),Medrano,Ana I,12,7,2,0,,3,3.055,BIOL1106
Fall 2025,BIOL,1106,18,Biol for Science Majors I(Lab),Medrano,Ana I,16,6,1,0,,1,3.5,BIOL1106
Fall 2025,BIOL,1106,19,Biol for Science Majors I(Lab),Medrano,Ana I,16,7,0,0,,1,3.528,BIOL1106
Fall 2025,BIOL,1106,20,Biol for Science Majors I(Lab),Medrano,Ana I,15,8,0,0,1,,3.473,BIOL1106
Fall 2025,BIOL,1106,21,Biol for Science Majors I(Lab),Medrano,Ana I,19,3,0,1,,1,3.515,BIOL1106
Fall 2025,BIOL,1106,22,Biol for Science Majors I(Lab),Medrano,Ana I,16,8,0,0,,,3.625,BIOL1106
Fall 2025,BIOL,1106,23,Biol for Science Majors I(Lab),Medrano,Ana I,13,7,3,0,1,,3.319,BIOL1106
Fall 2025,BIOL,1106,25,Biol for Science Majors I(Lab),Medrano,Ana I,17,4,2,0,,1,3.528,BIOL1106
Fall 2025,BIOL,1106,26,Biol for Science Majors I(Lab),Medrano,Ana I,19,4,1,0,,,3.736,BIOL1106
Fall 2025,BIOL,1106,27,Biol for Science Majors I(Lab),Medrano,Ana I,22,2,0,0,,,3.875,BIOL1106
Fall 2025,BIOL,1106,28,Biol for Science Majors I(Lab),Medrano,Ana I,19,3,1,0,,1,3.598,BIOL1106
Fall 2025,BIOL,1106,29,Biol for Science Majors I(Lab),Medrano,Ana I,20,3,0,0,,1,3.667,BIOL1106
Fall 2025,BIOL,1106,30,Biol for Science Majors I(Lab),Medrano,Ana I,18,5,1,0,,,3.722,BIOL1106
