TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2017",ACCT,4396,2,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Summer 2017",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Summer 2017",ANTH,6392,1,"Research Practicum I",Gordon,"Andrew J",,,,,,,
"Summer 2017",ANTH,7199,2,Thesis,Bentley,"Raymond Alexander",,,,,,,
"Summer 2017",BCHS,8399,30,"Doctoral Dissertation",Fox,"George Edward",,,,,,,
"Summer 2017",BCHS,8498,8,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Summer 2017",BIOE,6198,9,Research,Mohan,Chandra,,,,,,,
"Summer 2017",BIOE,8298,8,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Summer 2017",BIOE,8398,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Summer 2017",BIOE,8399,8,"Doctoral Dissertation",Ince,"Nuri Firat",,,,,,,
"Summer 2017",BIOL,4398,1,"Independent Study",Frankino,"William A",,,,,,,
"Summer 2017",BIOL,6298,16,"Special Problems",Azevedo,Ricardo,,,,,,,
"Summer 2017",BIOL,6398,10,"Special Problems",Sater,Amy,,,,,,,
"Summer 2017",BIOL,6498,5,"Special Problems",Azevedo,Ricardo,,,,,,,
"Summer 2017",BIOL,8399,46,"Doctoral Dissertation",Zufall,"Rebecca A",,,,,,,
"Summer 2017",BTEC,6396,1,"Masters Project in BTEC",Iyer,"Rupa S",,,,,,,
"Summer 2017",CHEE,8398,1,"Doctoral Research",Conrad,"Jacinta C",,,,,,,
"Summer 2017",CHEE,8398,2,"Doctoral Research",Harold,"Michael P",,,,,,,
"Summer 2017",CHEE,8398,6,"Doctoral Research",Vekilov,Peter,,,,,,,
"Summer 2017",CHEE,8398,12,"Doctoral Research",Donnelly,"Vincent M.",,,,,,,
"Summer 2017",CHEM,7399,9,"Masters Thesis",Hoffman,"David M",,,,,,,
"Summer 2017",CHEM,8398,23,"Doctoral Research",Brgoch,Jakoah,,,,,,,
"Summer 2017",CHEM,8698,10,"Doctoral Research",Jacobson,"Allan J",,,,,,,
"Summer 2017",CIVE,6399,3,"Masters Thesis",Dawood,"Mina M.R.",,,,,,,
"Summer 2017",CNST,6396,1,"Master's Project",Kim,Kyungki,,,,,,,
"Summer 2017",COMD,6399,2,"Masters Thesis",Blake,"Margaret T",,,,,,,
"Summer 2017",COMD,7199,1,Thesis,Maher,"Lynn M",,,,,,,
"Summer 2017",COMM,6395,1,"Comprehensive Examination",Vardeman,"Jennifer E",,,,,,,
"Summer 2017",COMM,6395,2,"Comprehensive Examination",Ni,Lan,,,,,,,
"Summer 2017",COMM,6395,3,"Comprehensive Examination",Vardeman,"Jennifer E",,,,,,,
"Summer 2017",COMM,6399,5,"Masters Thesis",Vardeman,"Jennifer E",,,,,,,
"Summer 2017",COSC,4198,1,"Independent Study",Rizk,"Nouhad J",,,,,,,
"Summer 2017",COSC,4198,2,"Independent Study",Leiss,"Ernst L",,,,,,,
"Summer 2017",COSC,4198,3,"Independent Study",Ramamurthy,Uma,,,,,,,
