TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Spring 2018",BCHS,8598,21,"Doctoral Research",Liu,Yu,,,,,,,
"Spring 2018",BCHS,8698,16,"Doctoral Research",Fujita,Masaya,,,,,,,
"Spring 2018",BCHS,8698,23,"Doctoral Research",Azevedo,Ricardo,,,,,,,
"Spring 2018",BCHS,8998,12,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2018",BCHS,8998,5,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Spring 2018",BIOE,6111,1,"Grad Bioengineering Seminar","Akay PhD",Metin,,,,,,,
"Spring 2018",BIOE,6111,1,"Grad Bioengineering Seminar",Larin,Kirill,,,,,,,
"Spring 2018",BIOE,6198,17,Research,Francis,"Joseph Thachil",,,,,,,
"Spring 2018",BIOE,6198,19,Research,Naash,Muna,,,,,,,
"Spring 2018",BIOE,6298,18,Research,Francis,"Joseph Thachil",,,,,,,
"Spring 2018",BIOE,6398,9,Research,Zhang,Yingchun,,,,,,,
"Spring 2018",BIOE,6398,11,Research,Gifford,Howard,,,,,,,
"Spring 2018",BIOE,6398,12,Research,Ince,"Nuri Firat",,,,,,,
"Spring 2018",BIOE,6398,17,Research,Abidian,"Mohammad Reza",,,,,,,
"Spring 2018",BIOE,6398,22,Research,Contreras-Vidal,"Jose Luis",,,,,,,
"Spring 2018",BIOE,6399,5,"Masters Thesis",Mohan,Chandra,,,,,,,
"Spring 2018",BIOE,6399,7,"Masters Thesis",Ince,"Nuri Firat",,,,,,,
"Spring 2018",BIOE,6399,9,"Masters Thesis",Abidian,"Mohammad Reza",,,,,,,
"Spring 2018",BIOE,7399,16,"Masters Thesis",Naash,Muna,,,,,,,
"Spring 2018",BIOE,7399,21,"Masters Thesis",Contreras-Vidal,"Jose Luis",,,,,,,
"Spring 2018",BIOE,7399,8,"Masters Thesis",Ince,"Nuri Firat",,,,,,,
"Spring 2018",BIOE,8198,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Spring 2018",BIOE,8198,6,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Spring 2018",BIOE,8198,8,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Spring 2018",BIOE,8198,11,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Spring 2018",BIOE,8198,13,"Doctoral Research",Mohan,Chandra,,,,,,,
"Spring 2018",BIOE,8298,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Spring 2018",BIOE,8298,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Spring 2018",BIOE,8298,11,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Spring 2018",BIOE,8298,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Spring 2018",BIOE,8298,14,"Doctoral Research",Porter,Jason,,,,,,,
"Spring 2018",BIOE,8298,15,"Doctoral Research",Naash,Muna,,,,,,,
"Spring 2018",BIOE,8298,17,"Doctoral Research",Abidian,"Mohammad Reza",,,,,,,
"Spring 2018",BIOE,8298,18,"Doctoral Research",Francis,"Joseph Thachil",,,,,,,
"Spring 2018",BIOE,8298,20,"Doctoral Research",Majd,Sheereen,,,,,,,
"Spring 2018",BIOE,8298,22,"Doctoral Research",Merchant,"Fatima Aziz",,,,,,,
"Spring 2018",BIOE,8298,6,"Doctoral Research",Gifford,Howard,,,,,,,
"Spring 2018",BIOE,8298,9,"Doctoral Research",Mohan,Chandra,,,,,,,
"Spring 2018",BIOE,8398,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Spring 2018",BIOE,8398,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Spring 2018",BIOE,8398,11,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Spring 2018",BIOE,8398,12,"Doctoral Research",Wu,Tianfu,,,,,,,
"Spring 2018",BIOE,8398,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Spring 2018",BIOE,8398,16,"Doctoral Research",Naash,Muna,,,,,,,
"Spring 2018",BIOE,8398,18,"Doctoral Research",Das,Mini,,,,,,,
"Spring 2018",BIOE,8398,19,"Doctoral Research",Abidian,"Mohammad Reza",,,,,,,
"Spring 2018",BIOE,8398,21,"Doctoral Research",Francis,"Joseph Thachil",,,,,,,
"Spring 2018",BIOE,8398,22,"Doctoral Research",Majd,Sheereen,,,,,,,
"Spring 2018",BIOE,8398,23,"Doctoral Research",Porter,Jason,,,,,,,
"Spring 2018",BIOE,8398,6,"Doctoral Research",Gifford,Howard,,,,,,,
"Spring 2018",BIOE,8398,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Spring 2018",BIOE,8398,8,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Spring 2018",BIOE,8398,9,"Doctoral Research",Mohan,Chandra,,,,,,,
"Spring 2018",BIOE,8399,2,"Doctoral Dissertation",Larin,Kirill,,,,,,,
"Spring 2018",BIOE,8399,8,"Doctoral Dissertation",Abidian,"Mohammad Reza",,,,,,,
"Spring 2018",BIOE,8399,12,"Doctoral Dissertation",Ince,"Nuri Firat",,,,,,,
"Spring 2018",BIOE,8399,14,"Doctoral Dissertation",Mohan,Chandra,,,,,,,
"Spring 2018",BIOE,8498,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Spring 2018",BIOE,8498,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Spring 2018",BIOE,8498,11,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Spring 2018",BIOE,8498,16,"Doctoral Research",Abidian,"Mohammad Reza",,,,,,,
"Spring 2018",BIOE,8498,20,"Doctoral Research",Porter,Jason,,,,,,,
"Spring 2018",BIOE,8598,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Spring 2018",BIOE,8598,11,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Spring 2018",BIOE,8598,12,"Doctoral Research",Wu,Tianfu,,,,,,,
"Spring 2018",BIOE,8598,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Spring 2018",BIOE,8598,15,"Doctoral Research",Naash,Muna,,,,,,,
"Spring 2018",BIOE,8598,16,"Doctoral Research",Abidian,"Mohammad Reza",,,,,,,
"Spring 2018",BIOE,8598,17,"Doctoral Research",Das,Mini,,,,,,,
"Spring 2018",BIOE,8598,18,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2018",BIOE,8598,20,"Doctoral Research",Francis,"Joseph Thachil",,,,,,,
"Spring 2018",BIOE,8598,21,"Doctoral Research",Majd,Sheereen,,,,,,,
"Spring 2018",BIOE,8598,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Spring 2018",BIOE,8598,8,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Spring 2018",BIOE,8699,1,"Doctoral Dissertation","Akay PhD",Metin,,,,,,,
"Spring 2018",BIOE,8699,8,"Doctoral Dissertation",Gifford,Howard,,,,,,,
"Spring 2018",BIOE,8699,15,"Doctoral Dissertation",Mohan,Chandra,,,,,,,
"Spring 2018",BIOE,8699,16,"Doctoral Dissertation",Naash,Muna,,,,,,,
"Spring 2018",BIOE,8699,20,"Doctoral Dissertation",Merchant,"Fatima Aziz",,,,,,,
"Spring 2018",BIOE,8699,9,"Doctoral Dissertation",Ince,"Nuri Firat",,,,,,,
"Spring 2018",BIOL,3399,1,"Senior Honors Thesis",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,4396,3,"Senior Research Project",Chung,Sang-Hyuk,,,,,,,
"Spring 2018",BIOL,4396,3,"Senior Research Project",Williams,Lawrence,,,,,,,
"Spring 2018",BIOL,4397,2,"Selected Topics in Biology",Hanke,"Marc H",,,,,,,
"Spring 2018",BIOL,4398,1,"Independent Study",Ogletree-Hughes,"Monique L",,,,,,,
"Spring 2018",BIOL,4398,2,"Independent Study",Ogletree-Hughes,"Monique L",,,,,,,
"Spring 2018",BIOL,6110,1,"Biology Seminar",Sater,Amy,,,,,,,
"Spring 2018",BIOL,6198,12,"Special Problems",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,6198,19,"Special Problems",Pennings,"Steven C",,,,,,,
"Spring 2018",BIOL,6198,27,"Special Problems",Crawford,"Kerri M",,,,,,,
"Spring 2018",BIOL,6198,29,"Special Problems",Umetani,Michihisa,,,,,,,
"Spring 2018",BIOL,6198,30,"Special Problems",Graur,Dan,,,,,,,
"Spring 2018",BIOL,6298,16,"Special Problems",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,6298,27,"Special Problems",Ziburkus,Jokubas,,,,,,,
"Spring 2018",BIOL,6298,33,"Special Problems","Kelleher Meisel","Erin S",,,,,,,
"Spring 2018",BIOL,6374,5,"Cell Biology",Farmer,"Lisa M",,,,,,,
"Spring 2018",BIOL,6398,5,"Special Problems",Dryer,"Stuart E",,,,,,,
"Spring 2018",BIOL,6398,10,"Special Problems",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,6498,4,"Special Problems",Dryer,"Stuart E",,,,,,,
"Spring 2018",BIOL,6498,23,"Special Problems",Pennings,"Steven C",,,,,,,
"Spring 2018",BIOL,6498,27,"Special Problems",Ziburkus,Jokubas,,,,,,,
"Spring 2018",BIOL,6498,35,"Special Problems",Meisel,"Richard P",,,,,,,
"Spring 2018",BIOL,6598,7,"Special Problems",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,6598,24,"Special Problems",Liu,Yu,,,,,,,
"Spring 2018",BIOL,6598,33,"Special Problems","Kelleher Meisel","Erin S",,,,,,,
"Spring 2018",BIOL,6598,34,"Special Problems",Umetani,Michihisa,,,,,,,
"Spring 2018",BIOL,6598,35,"Special Problems",Crawford,"Kerri M",,,,,,,
"Spring 2018",BIOL,7124,1,"Cell Biology Seminar","Kelleher Meisel","Erin S",,,,,,,
"Spring 2018",BIOL,7124,3,"Cell Biology Seminar",Chung,Sang-Hyuk,,,,,,,
"Spring 2018",BIOL,7367,1,"Population Bio Seminar",Meisel,"Richard P",,,,,,,
"Spring 2018",BIOL,8198,18,"Doctoral Research",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,8198,26,"Doctoral Research",Bawa-Khalfe,Tasneem,,,,,,,
"Spring 2018",BIOL,8198,31,"Doctoral Research","Kelleher Meisel","Erin S",,,,,,,
"Spring 2018",BIOL,8198,32,"Doctoral Research",Meisel,"Richard P",,,,,,,
"Spring 2018",BIOL,8298,8,"Doctoral Research",Cole,"Blaine J",,,,,,,
"Spring 2018",BIOL,8298,12,"Doctoral Research",Dryer,"Stuart E",,,,,,,
"Spring 2018",BIOL,8298,13,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Spring 2018",BIOL,8298,19,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Spring 2018",BIOL,8298,24,"Doctoral Research",Dauwalder,Brigitte,,,,,,,
"Spring 2018",BIOL,8298,30,"Doctoral Research",Khurana,Seema,,,,,,,
"Spring 2018",BIOL,8298,32,"Doctoral Research",Chung,Sang-Hyuk,,,,,,,
"Spring 2018",BIOL,8298,35,"Doctoral Research",Bawa-Khalfe,Tasneem,,,,,,,
"Spring 2018",BIOL,8298,38,"Doctoral Research",McKeon,"Frank D",,,,,,,
"Spring 2018",BIOL,8398,4,"Doctoral Research",Graur,Dan,,,,,,,
"Spring 2018",BIOL,8398,11,"Doctoral Research",Sater,Amy,,,,,,,
"Spring 2018",BIOL,8398,19,"Doctoral Research",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,8398,30,"Doctoral Research",Zhang,"Shaun Xiaoliu",,,,,,,
"Spring 2018",BIOL,8398,34,"Doctoral Research",Liu,Yu,,,,,,,
"Spring 2018",BIOL,8398,37,"Doctoral Research",McKeon,"Frank D",,,,,,,
"Spring 2018",BIOL,8398,7,"Doctoral Research",Zufall,"Rebecca A",,,,,,,
"Spring 2018",BIOL,8399,27,"Doctoral Dissertation",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,8399,28,"Doctoral Dissertation",Pennings,"Steven C",,,,,,,
"Spring 2018",BIOL,8498,9,"Doctoral Research",Wiernasz,"Diane C",,,,,,,
"Spring 2018",BIOL,8498,18,"Doctoral Research",Chung,Sang-Hyuk,,,,,,,
"Spring 2018",BIOL,8498,25,"Doctoral Research",Liu,Yu,,,,,,,
"Spring 2018",BIOL,8498,32,"Doctoral Research",Lekven,Arne,,,,,,,
"Spring 2018",BIOL,8498,33,"Doctoral Research",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,8598,5,"Doctoral Research",Sater,Amy,,,,,,,
"Spring 2018",BIOL,8598,7,"Doctoral Research",Dryer,"Stuart E",,,,,,,
"Spring 2018",BIOL,8598,9,"Doctoral Research",Wiernasz,"Diane C",,,,,,,
"Spring 2018",BIOL,8598,10,"Doctoral Research",Cole,"Blaine J",,,,,,,
"Spring 2018",BIOL,8598,12,"Doctoral Research",Dauwalder,Brigitte,,,,,,,
"Spring 2018",BIOL,8598,15,"Doctoral Research",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,8598,18,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Spring 2018",BIOL,8598,24,"Doctoral Research",Khurana,Seema,,,,,,,
"Spring 2018",BIOL,8598,28,"Doctoral Research",Bawa-Khalfe,Tasneem,,,,,,,
"Spring 2018",BIOL,8598,30,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Spring 2018",BIOL,8598,31,"Doctoral Research",Meisel,"Richard P",,,,,,,
"Spring 2018",BIOL,8598,32,"Doctoral Research",Cirino,"Patrick C",,,,,,,
