TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2020,SCM,8699,2,Dissertation,Johnson,Norman A.,1,0,0,0,0,0,0,0,4
Summer 2020,MECE,8498,4,Doctoral Research,Sharma,Pradeep,0,0,0,0,0,1,0,0,0
Summer 2020,INDE,8198,6,Doctoral Research,Lin PhD,Ying,0,0,0,0,0,1,0,0,0
Summer 2020,PHCA,8698,3,Doctoral Dissertation Research,Essien,Ekere James,0,0,0,0,0,1,0,0,0
Summer 2020,SPAN,8399,9,Dissertation,Ventura,Gabriela Baeza,0,0,0,0,0,0,0,0,0
Summer 2020,CHEM,6698,8,Special Problems,Halasyamani,P Shiv,0,0,0,0,0,1,0,0,0
Summer 2020,PETR,8398,9,Doctoral Research,Wong,George K,0,0,0,0,0,2,0,0,0
Summer 2020,BIOE,8198,14,Doctoral Research,Abidian,Mohammad Reza,0,0,0,0,0,0,1,0,0
Summer 2020,CHEE,6298,15,Research,Balakotaiah,Vemuri,0,0,0,0,0,1,0,0,0
Summer 2020,COSC,8698,106,Doctoral Research,Deng,Zhigang,0,0,0,0,0,1,0,0,0
Summer 2020,ECON,8699,10,Doctoral Dissertation,Juhn,Chinhui,2,0,0,0,0,0,0,0,4
Summer 2020,CIVE,8198,9,Doctoral Research,Mo,Larry Yi-Lung,0,0,0,0,0,1,0,0,0
Summer 2020,LAW,5398,1,Special Research and Writing,Vetter,Greg R,0,0,0,0,0,1,0,0,0
Summer 2020,BIOL,1161,1,Intro To Biol Science Lab 1,Medrano,Ana I,16,2,1,0,0,3,0,1,3.213
Summer 2020,MATH,1314,1,Calc for Bus/Life Sciences,Constante,Beatrice,13,17,1,0,0,16,0,5,1.822
Summer 2020,PHYS,1301,1,Intro General Physics I,Cardoso Barato,Andre,196,67,5,0,0,21,0,6,3.403
Summer 2020,SPEC,6360,2,Individuals with Disabilities,Kolpek,Erin,19,0,0,0,0,0,0,0,4
Summer 2020,CHEE,8198,14,Doctoral Research,Robertson,Megan L,0,0,0,0,0,0,1,0,0
Summer 2020,ENGI,1331,3,Computing for Engineers,Burleson,Daniel W,28,26,2,0,0,36,0,6,1.55
Summer 2020,CHEM,8698,35,Doctoral Research,Harth,Eva M,0,0,0,0,0,7,0,0,0
Summer 2020,PETR,8399,6,Doctoral Dissertation,Lee,Kyung Jae,0,0,0,0,0,0,0,0,0
Summer 2020,HLT,3381,1,Hlt Promotn & Disease Preventn,Ripperger-Suhler,Ken,67,8,1,0,0,1,0,0,3.757
Summer 2020,ART,3374,1,Computer Imaging,Duncan,Shannon L,21,0,0,0,0,0,0,1,3.921
Summer 2020,POLS,3313,1,Intro Internatl Relatns,Vardy,Ronald V,26,4,0,0,0,9,0,3,2.741
Summer 2020,LAW,5328,2,Judicial Externship I,Powers,William,0,0,0,0,0,6,0,0,0
Summer 2020,CIS,2334,1,Information Systems Applicatns,Brown,Houghton Gregory,27,4,1,0,0,0,0,0,3.067
Summer 2020,ACCT,4331,3,Federal Income Tax-Individual,Fernandez,Ramon,8,9,0,0,0,13,0,7,2.011
Summer 2020,ENTR,3310,1,Entrepreneurship,Ortega,Carlos Alberto,90,12,1,0,0,4,0,3,3.686
Summer 2020,ATP,6302,1,Emer Mgmt & Prevntn of Injury,Yellen,Joshua B,11,0,0,0,0,0,0,0,4
Summer 2020,ARCH,6397,10,Sel Tpcs-Arc/Urbn Desgn,Mantz,Ophelia,2,2,0,0,0,0,0,0,3.418
Summer 2020,BIOE,8498,11,Doctoral Research,Shevkoplyas,Sergey,0,0,0,0,0,1,0,0,0
Summer 2020,ART,3300,1,Intermediate Drawing,Willis,William H,19,1,0,0,0,0,0,0,3.591
Summer 2020,MECE,8699,17,Doctoral Dissertation,Ghasemi,Hadi,1,0,0,0,0,0,0,0,4
Summer 2020,CNST,4302,1,Construction Law and Ethics,Ducran,Denis George,12,17,2,0,0,2,0,0,3.231
