TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Spring 2022,TLIM,4342,1,19763,Quality Improvement Methods,Terrell,John Allen,20,22,3,0,0,0,0,0,1,3.422
Spring 2022,WCL,6357,1,23263,National/Transnational Cinema,Nguyen,Duy,3,0,0,0,0,0,0,0,0,3.67
Spring 2022,KIN,4301,1,16857,Workplace Wellness,Alastuey,Lisa L,9,12,8,1,3,0,0,0,2,2.667
Spring 2022,IDNS,1132,4,21341,Calculus II SEP Workshop,Pattison,Donna,17,4,2,1,1,0,0,0,4,3.387
Spring 2022,SOCW,7367,2,16616,Social Policy Analysis,Pang,Melanie Espinosa,25,3,0,0,0,0,0,0,0,3.893
Spring 2022,POLC,6315,1,19723,Pol Res II: Mult Analysis,Buttorff,Gail J.,14,6,1,0,0,0,0,0,0,3.493
Spring 2022,BIOL,2121,2,16427,Microbiology for Science Major,Knapp,Richard D,12,8,1,0,1,0,0,0,2,3.334
Spring 2022,INDE,4111,1,17038,Industrial Engineering Seminar,Peng PhD,Jiming Ouyang,8,0,0,0,0,0,0,0,0,4
Spring 2022,OPTO,8993,1,15057,Community Health Clinic,Loayza,Cristian,0,0,0,0,0,63,0,0,0,0
Spring 2022,PSYC,6337,1,16187,Grant Writing,Neighbors,Clayton T,15,2,0,0,0,0,0,0,1,3.882
Spring 2022,ENGI,1331,27,25658,Computing for Engineers,Kota,Venkata Krishna Tulasi,3,5,3,3,4,0,0,0,3,2.018
Spring 2022,EDUC,4314,2,16508,Student Teaching Sec,Evans,Paige K,33,3,0,0,0,0,0,0,0,3.825
Spring 2022,DANC,4110,1,23723,Dance Ensemble,Beasant III III,John J,11,0,0,0,0,0,0,0,0,4
Spring 2022,CHEM,8999,12,14283,Doctoral Dissertation,Baldelli,Steve,1,0,0,0,0,1,0,0,0,2
Spring 2022,TLIM,3300,1,19730,Leadership & Innovation Fund,Evans,Gerald S,36,4,2,0,1,0,0,0,0,3.675
Spring 2022,ENGL,3351,1,17475,Am Lit Since 1865,Gonzalez,Maria C,10,1,0,2,0,0,0,0,1,3.233
Spring 2022,BIOE,8298,10,16939,Doctoral Research,Al-Ubaidi,Muayyad,0,0,0,0,0,1,0,0,0,0
Spring 2022,ARTS,3384,2,26993,Sound Art,Cone,Marcus Andrew,11,0,0,0,0,0,0,0,0,4
Spring 2022,ARCH,3332,1,25703,Advanced Digital Vocabularies,Jackson,Megan H,4,0,1,0,0,0,0,0,2,3.6
Spring 2022,ECON,7385,1,23519,Monetary Policy,Papell,David H,10,0,0,0,0,0,0,0,0,4
Spring 2022,THEA,1340,2,26437,Fundamentals of Acting,Chandrasena,Shyendra Eric,4,1,1,0,0,0,0,0,0,3.39
Spring 2022,ARTH,7381,1,25796,Grad. Art History Methods II,Steinhoff,Judith,7,0,0,0,0,0,0,0,0,3.906
Spring 2022,MUSA,6326,1,26605,Applied Double Bass,Larson,Eric Amery,1,0,0,0,0,0,0,0,0,4
Spring 2022,ENGL,1301,26,19383,First Year Writing I,Ebersole,John Ira,15,0,0,0,4,0,0,0,0,3.158
Spring 2022,MUSI,8301,1,26768,Seminar in Perform Pedagogy,Evans,Joseph,1,0,0,0,0,0,0,0,0,4
Spring 2022,ENGL,1301,50,26272,First Year Writing I,McWilliams,Brian B,7,4,2,0,4,0,0,0,2,2.666
Spring 2022,PHOP,8698,1,26581,Doctoral Research,Burns,Alan R,1,0,0,0,0,0,0,0,0,4
Spring 2022,SPAN,8399,11,19591,Dissertation,Goodin-Mayeda,Carrie Elizabeth,0,0,0,0,0,1,0,0,0,0
Spring 2022,PSYC,6498,1,18303,Special Problems,Derrick,Jaye L,2,0,0,0,0,0,0,0,0,4
Spring 2022,BIOL,4397,4,25650,Selected Topics in Biology,Frankino,William A,2,0,0,0,0,0,0,0,0,4
Spring 2022,PHOP,6257,12,19494,Research Practicum B,Burns,Alan R,0,2,0,0,0,0,0,0,0,3.33
Spring 2022,ELCS,8395,6,23336,Doctoral Thesis,Lopez,Ruth Maria,0,0,0,0,0,3,0,0,0,0
Spring 2022,LAW,5600,1,17453,Judicial Externship I,Powers,William,0,0,0,0,0,3,0,0,0,0
Spring 2022,MECE,8498,24,22361,Doctoral Research,Liu,Dong,0,0,0,0,0,2,0,0,0,0
Spring 2022,CHEE,8398,7,15618,Doctoral Research,Grabow,Lars C,0,0,0,0,0,1,0,0,0,0
Spring 2022,PHLS,7398,2,26783,Candidacy Research,Smith,Bradley,0,0,0,0,0,2,0,0,0,0
Spring 2022,CUIN,7337,1,14376,Current Issues/Soc Stud,Brower,Samuel Richard,4,0,0,0,0,0,0,0,0,4
Spring 2022,BIOE,8398,25,27210,Doctoral Research,Contreras-Vidal,Jose Luis,0,0,0,0,0,1,0,0,0,0
Spring 2022,THEA,3386,1,18823,Theatre Sound Design,Lynch,Andrew,9,0,0,0,0,0,0,0,0,3.963
Spring 2022,CIVE,8398,3,15545,Doctoral Research,Belarbi,Abdeldjelil,0,0,0,0,0,1,0,0,0,0
Spring 2022,MUSA,8320,11,18860,Doctoral Applied Music,Jones,Timothy J,1,0,0,0,0,0,0,0,0,4
Spring 2022,ECE,6466,1,26231,Integrted Circ Engr,Zagozdzon-Wosik,Wanda,7,1,0,0,0,0,0,0,0,3.71
Spring 2022,HRMA,8999,4,26949,Dissertation III in Hosp Admin,Koh,Yoon,0,0,0,0,0,1,0,0,0,0
Spring 2022,MUSA,3402,2,21712,Applied Composition,Maroney,Marcus K,3,0,0,0,0,0,0,0,0,3.78
Spring 2022,COSC,8398,127,20185,Doctoral Research,Subhlok,Jaspal,0,0,0,0,0,2,0,0,0,0
Spring 2022,CHEM,6198,6,15891,Special Problems,Zastrow,Melissa L,0,0,0,0,0,1,0,0,0,0
Spring 2022,MUSA,2300,8,19360,Applied Voice,Gianni,Alicia Marie,1,0,0,0,0,0,0,0,0,4
Spring 2022,HIST,6398,1,27201,Special Problems,Takriti,Abdel Razzaq,2,0,0,0,0,0,0,0,0,4
Spring 2022,SUBS,6330,2,26413,Pipeline Design,Ozturk,Burak,2,0,0,0,0,0,0,0,0,3.67
Spring 2022,POLS,8999,22,16672,Doctoral Dissertation,Fumurescu,Alin,0,0,0,0,0,0,1,0,0,0
Spring 2022,PHOP,6657,1,27781,Research Practicum B,Coates,Daniel R,1,0,0,0,0,0,0,0,0,4
Spring 2022,CIVE,8598,6,15562,Doctoral Research,Shaffer,Devin,0,0,0,0,0,2,0,0,0,0
Spring 2022,PHYS,8998,27,26731,Doctoral Research,Renshaw,Andrew,0,0,0,0,0,1,0,0,0,0
Spring 2022,INDE,8498,2,14726,Doctoral Research,Lin PhD,Ying,0,0,0,0,0,2,0,0,0,0
Spring 2022,ENGL,8698,1,20411,Graduate Research,Majumder,Auritro,0,0,0,0,0,1,0,0,0,0
Spring 2022,ENGL,7699,6,26750,Thesis,Nelson,Antonya,1,0,0,0,0,0,0,0,0,4
Spring 2022,CUIN,7325,1,24810,Dev & Publ Literacy Material,Jimerson,Lanette Valena,2,0,0,0,0,0,0,0,0,3.835
Spring 2022,CUIN,8399,2,20432,Doctoral Dissertation,Zhang,Jie,0,0,0,0,0,1,0,0,0,0
Spring 2022,CIVE,8198,1,15525,Doctoral Research,Glennie,Craig Len,0,0,0,0,0,1,0,0,0,0
Spring 2022,PETR,8598,9,17864,Doctoral Research,Sakhaee Pour,Ahmad,0,0,0,0,0,1,0,0,0,0
Spring 2022,LAW,5202,1,16640,Entrpr Community Dev Clinic II,Heard,Christopher D,1,0,0,0,0,0,0,0,0,3.67
Spring 2022,MARK,7365,1,19247,Intro to Digital Marketing,Lyu,Shijie,20,22,2,0,0,0,0,0,1,3.409
Spring 2022,COMD,1333,2,20717,Intro To Communicatn Disorders,Dunkelberger,Martha J,42,11,1,0,2,0,0,0,4,3.572
Spring 2022,CHEM,1112,53,17165,Fundamentals of Chm Lab,Zaitsev,Vladimir G,3,7,6,0,2,0,0,0,0,2.555
Spring 2022,PHYS,2125,5,17197,University Physics Lab I,Wood,Lowell T,4,9,8,1,0,0,0,0,1,2.682
