TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Spring 2015",ACCT,4105,1,"PPA Colloquium 1",Newman,"Michael Ray",,,,,,,
"Spring 2015",ACCT,4106,1,"PPA Colloquium 2",Newman,"Michael Ray",,,,,,,
"Spring 2015",ACCT,4108,1,"Internal Audit Colloquium",Newman,"Michael Ray",,,,,,,
"Spring 2015",ACCT,4396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Spring 2015",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Spring 2015",ACCT,8399,7,"Doctoral Dissertation",Khumawala,"Saleha B",,,,,,,
"Spring 2015",ACCT,8699,8,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Spring 2015",ACCT,8999,1,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Spring 2015",ACCT,8999,2,"Doctoral Dissertation",Newberry,"Kaye J",,,,,,,
"Spring 2015",ACCT,8999,3,"Doctoral Dissertation",Khumawala,"Saleha B",,,,,,,
"Spring 2015",ACCT,8999,5,"Doctoral Dissertation",Gamble,"George O",,,,,,,
"Spring 2015",ANTH,6399,1,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Spring 2015",ANTH,6399,2,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Spring 2015",ANTH,7399,1,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Spring 2015",ANTH,7399,3,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Spring 2015",ANTH,7399,7,"Masters Thesis",Hutchinson,"Janice Faye",,,,,,,
"Spring 2015",BCHS,6113,1,"Graduate Biochemistry Seminar",Gao,Xiaolian,,,,,,,
"Spring 2015",BCHS,6298,1,"Special Problems",Briggs,"James M",,,,,,,
"Spring 2015",BCHS,6298,22,"Special Problems",Gustafsson,Jan-Ake,,,,,,,
