TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2019",AAS,3356,1,"Africana Thought & Philosophy",Allen,"Charles Edward",11,0,0,0,0,1,3.88
"Summer 2019",AAS,2320,2,"Intro To African American Stdy",Edwards,"Crystal Latanya",12,6,5,6,1,4,2.755
"Summer 2019",AAS,6311,1,"Afr-Amer Soc & Phil Fndtns",Conyers,"James l",13,0,0,0,0,1,4
"Summer 2019",AAS,2320,1,"Intro To African American Stdy",Thompson,"Kevin Bernard",20,5,1,2,0,3,3.512
"Summer 2019",AAS,3354,1,"AF Nation'st Thought Ethics/US",Conyers,"James l",25,0,0,0,0,1,4
"Summer 2019",ACCT,5330,1,"Advanced Accounting",Ramaswamy,Vinita,1,5,2,3,0,0,2.454
"Summer 2019",ACCT,5368,1,"Intermediate Accounting II",Yampuler,Michael,6,1,2,0,1,2,3.067
"Summer 2019",ACCT,5335,1,"Financial Statement Auditing",Kuruvilla,Mohan,6,1,4,1,0,0,3.028
"Summer 2019",ACCT,4335,2,"Financial Statement Auditing",Kuruvilla,Mohan,6,5,5,6,3,1,2.266
"Summer 2019",ACCT,4335,1,"Financial Statement Auditing",Kuruvilla,Mohan,7,7,7,3,0,1,2.805
"Summer 2019",ACCT,3367,2,"Intermediate Accounting I",Kuruvilla,Mohan,7,21,11,6,3,14,2.575
"Summer 2019",ACCT,2332,3,"Acct Principles 2-Managerial",Newman,"Michael Ray",8,5,0,0,0,0,3.641
"Summer 2019",ACCT,7375,1,"Corporate Taxation",Fernandez,Ramon,9,18,1,0,0,1,3.404
"Summer 2019",ACCT,3367,1,"Intermediate Accounting I",Kuruvilla,Mohan,10,14,15,8,3,5,2.473
"Summer 2019",ACCT,3366,1,"Financial Reporting Frameworks",Harris,"Kathleen L",11,21,7,7,3,9,2.646
"Summer 2019",ACCT,4331,2,"Federal Income Tax-Individual",Fernandez,Ramon,11,23,5,0,0,0,3.264
"Summer 2019",ACCT,3366,2,"Financial Reporting Frameworks",Harris,"Kathleen L",11,24,9,2,7,8,2.547
"Summer 2019",ACCT,3368,1,"Intermediate Accounting II",Yampuler,Michael,12,13,17,1,1,0,2.795
"Summer 2019",ACCT,2332,1,"Acct Principles 2-Managerial",Weber,"Catherine K",14,13,8,5,2,1,2.801
"Summer 2019",ACCT,4331,1,"Federal Income Tax-Individual",Fernandez,Ramon,14,19,6,0,0,0,3.298
"Summer 2019",ACCT,3377,1,"Cost Accounting",Serrato,"Darlene Marie  Bohac",15,14,1,0,0,1,3.445
"Summer 2019",ACCT,7330,1,"Advanced Accounting",Ramaswamy,Vinita,15,15,3,0,0,1,3.394
"Summer 2019",ACCT,7397,1,"Selected Topics in Accounting",Evetts,"Nancy Zalmanek",16,4,0,0,0,0,3.8
"Summer 2019",ACCT,2331,2,"Acct Principles I - Financial",Sykes,"Mary Reeves",17,8,11,3,1,1,2.991
"Summer 2019",ACCT,2332,2,"Acct Principles 2-Managerial",Weber,"Catherine K",20,20,15,2,1,2,3.022
"Summer 2019",ACCT,2331,3,"Acct Principles I - Financial",Sykes,"Mary Reeves",21,9,10,2,1,1,3.131
"Summer 2019",ACCT,3368,2,"Intermediate Accounting II",Yampuler,Michael,21,19,9,0,2,2,3.131
