TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Spring 2016",ACCT,4105,1,"PPA Colloquium 1",Newman,"Michael Ray",,,,,,,
"Spring 2016",ACCT,4106,1,"PPA Colloquium 2",Newman,"Michael Ray",,,,,,,
"Spring 2016",ACCT,4108,1,"Internal Audit Colloquium",Newman,"Michael Ray",,,,,,,
"Spring 2016",ACCT,4396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Spring 2016",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Spring 2016",ACCT,8999,1,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Spring 2016",ACCT,8999,2,"Doctoral Dissertation",Newberry,"Kaye J",,,,,,,
"Spring 2016",ACCT,8999,3,"Doctoral Dissertation",Khumawala,"Saleha B",,,,,,,
"Spring 2016",ACCT,8999,5,"Doctoral Dissertation",Gamble,"George O",,,,,,,
"Spring 2016",ACCT,8999,6,"Doctoral Dissertation",Muslu,Volkan,,,,,,,
"Spring 2016",ACCT,8999,8,"Doctoral Dissertation",Lu,Tong,,,,,,,
"Spring 2016",ANTH,6399,6,"Masters Thesis",Widmer,"Randolph J",,,,,,,
"Spring 2016",ANTH,6399,8,"Masters Thesis",McNeal,"Keith E.",,,,,,,
"Spring 2016",ANTH,7399,5,"Masters Thesis",Widmer,"Randolph J",,,,,,,
"Spring 2016",ANTH,7399,8,"Masters Thesis",McNeal,"Keith E.",,,,,,,
"Spring 2016",ARTH,6399,1,"Master's Thesis",Zalman,Sandra,,,,,,,
"Spring 2016",BCHS,6113,1,"Graduate Biochemistry Seminar",Gao,Xiaolian,,,,,,,
"Spring 2016",BCHS,6198,1,"Special Problems",Briggs,"James M",,,,,,,
"Spring 2016",BCHS,6198,9,"Special Problems",Liu,Yu,,,,,,,
"Spring 2016",BCHS,6298,5,"Special Problems",Willson,Richard,,,,,,,
"Spring 2016",BCHS,6298,20,"Special Problems",Bark,Steven,,,,,,,
"Spring 2016",BCHS,6298,24,"Special Problems",Wang,Yuhong,,,,,,,
"Spring 2016",BCHS,6398,11,"Special Problems",Willson,Richard,,,,,,,
"Spring 2016",BCHS,6398,12,"Special Problems",Briggs,"James M",,,,,,,
"Spring 2016",BCHS,6398,13,"Special Problems",Fujita,Masaya,,,,,,,
"Spring 2016",BCHS,6398,15,"Special Problems",Schwartz,"Robert J",,,,,,,
"Spring 2016",BCHS,6398,19,"Special Problems",Gustafsson,Jan-Ake,,,,,,,
"Spring 2016",BCHS,6498,16,"Special Problems",Schwartz,"Robert J",,,,,,,
"Spring 2016",BCHS,6498,17,"Special Problems",Weihua,Zhang,,,,,,,
"Spring 2016",BCHS,6498,18,"Special Problems",Bark,Steven,,,,,,,
"Spring 2016",BCHS,6498,19,"Special Problems",Azevedo,Ricardo,,,,,,,
"Spring 2016",BCHS,6498,21,"Special Problems",Sen,Mehmet,,,,,,,
"Spring 2016",BCHS,6598,13,"Special Problems",Liu,Yu,,,,,,,
"Spring 2016",BCHS,6598,14,"Special Problems",Gustafsson,Jan-Ake,,,,,,,
"Spring 2016",BCHS,6598,3,"Special Problems",Fujita,Masaya,,,,,,,
"Spring 2016",BCHS,7399,1,"Masters Thesis",Fox,"George Edward",,,,,,,
"Spring 2016",BCHS,8198,1,"Doctoral Research",Fox,"Robert O",,,,,,,
"Spring 2016",BCHS,8198,15,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Spring 2016",BCHS,8198,16,"Doctoral Research",Bark,Steven,,,,,,,
"Spring 2016",BCHS,8198,2,"Doctoral Research",Gao,Xiaolian,,,,,,,
"Spring 2016",BCHS,8298,1,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2016",BCHS,8298,16,"Doctoral Research",Fujita,Masaya,,,,,,,
"Spring 2016",BCHS,8298,20,"Doctoral Research",Fox,"Robert O",,,,,,,
"Spring 2016",BCHS,8298,21,"Doctoral Research",Gao,Xiaolian,,,,,,,
"Spring 2016",BCHS,8298,24,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Spring 2016",BCHS,8298,25,"Doctoral Research",Weihua,Zhang,,,,,,,
"Spring 2016",BCHS,8298,26,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Spring 2016",BCHS,8298,27,"Doctoral Research",Bark,Steven,,,,,,,
"Spring 2016",BCHS,8299,10,"Doctoral Dissertation",Colbert,"Anne D",,,,,,,
"Spring 2016",BCHS,8398,16,"Doctoral Research",Zhang,"Shaun Xiaoliu",,,,,,,
"Spring 2016",BCHS,8398,19,"Doctoral Research",Wang,Yuhong,,,,,,,
"Spring 2016",BCHS,8398,20,"Doctoral Research",Weihua,Zhang,,,,,,,
"Spring 2016",BCHS,8399,10,"Doctoral Dissertation",Fox,"George Edward",,,,,,,
"Spring 2016",BCHS,8399,11,"Doctoral Dissertation",Briggs,"James M",,,,,,,
"Spring 2016",BCHS,8498,16,"Doctoral Research",Weihua,Zhang,,,,,,,
"Spring 2016",BCHS,8498,18,"Doctoral Research",Bark,Steven,,,,,,,
"Spring 2016",BCHS,8498,6,"Doctoral Research",Wang,Yuhong,,,,,,,
"Spring 2016",BCHS,8498,7,"Doctoral Research",Zhang,"Shaun Xiaoliu",,,,,,,
"Spring 2016",BCHS,8598,16,"Doctoral Research",Bark,Steven,,,,,,,
"Spring 2016",BCHS,8598,18,"Doctoral Research",Gao,Xiaolian,,,,,,,
"Spring 2016",BCHS,8698,7,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2016",BCHS,8698,14,"Doctoral Research",Briggs,"James M",,,,,,,
"Spring 2016",BCHS,8698,16,"Doctoral Research",Fujita,Masaya,,,,,,,
"Spring 2016",BCHS,8698,21,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Spring 2016",BCHS,8698,22,"Doctoral Research",Fox,"Robert O",,,,,,,
"Spring 2016",BCHS,8699,1,"Doctoral Dissertation",Fox,"George Edward",,,,,,,
"Spring 2016",BCHS,8699,12,"Doctoral Dissertation",Briggs,"James M",,,,,,,
"Spring 2016",BCHS,8998,12,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2016",BCHS,8998,17,"Doctoral Research",Fox,"Robert O",,,,,,,
"Spring 2016",BCHS,8998,5,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Spring 2016",BIOE,6121,1,"Graduate Bioengr Seminar","Akay PhD",Metin,,,,,,,
"Spring 2016",BIOE,6198,6,Research,Omurtag,Ahmet,,,,,,,
"Spring 2016",BIOE,6198,12,Research,Ince,"Nuri Firat",,,,,,,
"Spring 2016",BIOE,6198,13,Research,Mohan,Chandra,,,,,,,
"Spring 2016",BIOE,6298,2,Research,Larin,Kirill,,,,,,,
