TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Spring 2017",ACCT,4105,1,"PPA Colloquium 1",Newman,"Michael Ray",,,,,,,
"Spring 2017",ACCT,4106,1,"PPA Colloquium 2",Newman,"Michael Ray",,,,,,,
"Spring 2017",ACCT,4108,1,"Internal Audit Colloquium",Newman,"Michael Ray",,,,,,,
"Spring 2017",ACCT,4396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Spring 2017",ACCT,7105,1,"MS/Accountancy Colloquium",Newman,"Michael Ray",,,,,,,
"Spring 2017",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Spring 2017",ACCT,8999,1,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Spring 2017",ACCT,8999,2,"Doctoral Dissertation",Newberry,"Kaye J",,,,,,,
"Spring 2017",ACCT,8999,8,"Doctoral Dissertation",Lu,Tong,,,,,,,
"Spring 2017",ACCT,8999,10,"Doctoral Dissertation",Meade,Janet,,,,,,,
"Spring 2017",ANTH,6392,5,"Research Practicum I",Gordon,"Andrew J",,,,,,,
"Spring 2017",ANTH,6399,1,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Spring 2017",ANTH,6399,2,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Spring 2017",ANTH,6399,4,"Masters Thesis",Gordon,"Andrew J",,,,,,,
"Spring 2017",ANTH,7399,3,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Spring 2017",ANTH,7399,4,"Masters Thesis",Gordon,"Andrew J",,,,,,,
"Spring 2017",ANTH,7399,5,"Masters Thesis",Widmer,"Randolph J",,,,,,,
"Spring 2017",ARCH,6397,15,"Sel Tpcs-Arc/Urbn Desgn",Froehlich,Dietmar,,,,,,,
"Spring 2017",ARCH,6397,16,"Sel Tpcs-Arc/Urbn Desgn",Froehlich,Dietmar,,,,,,,
"Spring 2017",ARCH,6397,17,"Sel Tpcs-Arc/Urbn Desgn",Froehlich,Dietmar,,,,,,,
"Spring 2017",ARCH,6397,18,"Sel Tpcs-Arc/Urbn Desgn",Froehlich,Dietmar,,,,,,,
"Spring 2017",ARCH,6397,19,"Sel Tpcs-Arc/Urbn Desgn",Froehlich,Dietmar,,,,,,,
"Spring 2017",ARCH,6398,2,"Special Problems",Froehlich,Dietmar,,,,,,,
"Spring 2017",ARCH,7601,1,"Architecture Design Studio VI",Froehlich,Dietmar,,,,,,,
"Spring 2017",ART,6394,1,"Sel Tops in Contemporary Art",Meza,Abinadi,,,,,,,
"Spring 2017",ARTH,7398,1,"Ind Grad Stdy Art Hist","Nevitt Jr","Hugh R",,,,,,,
"Spring 2017",BCHS,6113,1,"Graduate Biochemistry Seminar",Gao,Xiaolian,,,,,,,
"Spring 2017",BCHS,6198,4,"Special Problems",Widger,"William R",,,,,,,
"Spring 2017",BCHS,6198,11,"Special Problems",Weihua,Zhang,,,,,,,
"Spring 2017",BCHS,6198,12,"Special Problems",Sen,Mehmet,,,,,,,
"Spring 2017",BCHS,6198,13,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Spring 2017",BCHS,6298,13,"Special Problems",Widger,"William R",,,,,,,
"Spring 2017",BCHS,6298,15,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Spring 2017",BCHS,6398,8,"Special Problems",Widger,"William R",,,,,,,
"Spring 2017",BCHS,6398,18,"Special Problems",Wang,Yuhong,,,,,,,
"Spring 2017",BCHS,6398,21,"Special Problems",Sen,Mehmet,,,,,,,
"Spring 2017",BCHS,6398,22,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Spring 2017",BCHS,6398,23,"Special Problems",Weihua,Zhang,,,,,,,
"Spring 2017",BCHS,6498,8,"Special Problems",Yeo,Hye-Jeong,,,,,,,
"Spring 2017",BCHS,6498,10,"Special Problems",Willson,Richard,,,,,,,
"Spring 2017",BCHS,6498,17,"Special Problems",Weihua,Zhang,,,,,,,
"Spring 2017",BCHS,6498,19,"Special Problems",Azevedo,Ricardo,,,,,,,
