TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2016",BIOE,8598,14,"Doctoral Research",Abidian,"Mohammad Reza",,,,,,,
"Summer 2016",BIOE,8598,15,"Doctoral Research",Naash,Muna,,,,,,,
"Summer 2016",BIOE,8598,16,"Doctoral Research",Kakadiaris,"Ioannis A.",,,,,,,
"Summer 2016",BIOE,8598,17,"Doctoral Research",Willson,Richard,,,,,,,
"Summer 2016",BIOE,8598,18,"Doctoral Research",Porter,Jason,,,,,,,
"Summer 2016",BIOE,8598,19,"Doctoral Research",Merchant,"Fatima Aziz",,,,,,,
"Summer 2016",BIOE,8598,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Summer 2016",BIOE,8598,20,"Doctoral Research",Das,Mini,,,,,,,
"Summer 2016",BIOE,8598,6,"Doctoral Research",Gifford,Howard,,,,,,,
"Summer 2016",BIOE,8598,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Summer 2016",BIOE,8598,8,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Summer 2016",BIOE,8598,9,"Doctoral Research",Mohan,Chandra,,,,,,,
"Summer 2016",BIOL,4298,2,"Independent Study",Williams,Lawrence,,,,,,,
"Summer 2016",BIOL,6298,7,"Special Problems",Sater,Amy,,,,,,,
"Summer 2016",BIOL,6298,10,"Special Problems",Dryer,"Stuart E",,,,,,,
"Summer 2016",BIOL,6298,12,"Special Problems",Roman,"Gregg W",,,,,,,
"Summer 2016",BIOL,6298,20,"Special Problems",Cole,"Blaine J",,,,,,,
"Summer 2016",BIOL,6298,26,"Special Problems",Weihua,Zhang,,,,,,,
"Summer 2016",BIOL,6298,35,"Special Problems",Bawa-Khalfe,Tasneem,,,,,,,
"Summer 2016",BIOL,6298,36,"Special Problems",Crawford,"Kerri M",,,,,,,
"Summer 2016",BIOL,6298,38,"Special Problems","Kelleher Meisel","Erin S",,,,,,,
"Summer 2016",BIOL,6298,39,"Special Problems",Chung,Sang-Hyuk,,,,,,,
"Summer 2016",BIOL,6398,30,"Special Problems",Azevedo,Ricardo,,,,,,,
"Summer 2016",BIOL,6498,4,"Special Problems",Dryer,"Stuart E",,,,,,,
"Summer 2016",BIOL,6498,5,"Special Problems",Azevedo,Ricardo,,,,,,,
"Summer 2016",BIOL,6498,7,"Special Problems",Roman,"Gregg W",,,,,,,
"Summer 2016",BIOL,6498,1,"Special Problems",Cooper,"Timothy F",,,,,,,
"Summer 2016",BIOL,6498,16,"Special Problems",Sater,Amy,,,,,,,
"Summer 2016",BIOL,6498,24,"Special Problems",Weihua,Zhang,,,,,,,
"Summer 2016",BIOL,6498,34,"Special Problems",Bawa-Khalfe,Tasneem,,,,,,,
"Summer 2016",BIOL,6498,35,"Special Problems",Crawford,"Kerri M",,,,,,,
"Summer 2016",BIOL,6498,37,"Special Problems","Kelleher Meisel","Erin S",,,,,,,
"Summer 2016",BIOL,6498,38,"Special Problems",Chung,Sang-Hyuk,,,,,,,
"Summer 2016",BIOL,6498,39,"Special Problems",Cole,"Blaine J",,,,,,,
"Summer 2016",BIOL,8198,3,"Doctoral Research",Chung,Sang-Hyuk,,,,,,,
"Summer 2016",BIOL,8298,7,"Doctoral Research",Dryer,"Stuart E",,,,,,,
"Summer 2016",BIOL,8298,16,"Doctoral Research",Pennings,"Steven C",,,,,,,
"Summer 2016",BIOL,8298,17,"Doctoral Research",Sater,Amy,,,,,,,
"Summer 2016",BIOL,8298,19,"Doctoral Research",Lin,Chin-Yo,,,,,,,
"Summer 2016",BIOL,8298,20,"Doctoral Research",Chung,Sang-Hyuk,,,,,,,
"Summer 2016",BIOL,8298,21,"Doctoral Research",Khurana,Seema,,,,,,,
"Summer 2016",BIOL,8298,22,"Doctoral Research",Khurana,Seema,,,,,,,
"Summer 2016",BIOL,8298,25,"Doctoral Research",Zufall,"Rebecca A",,,,,,,
"Summer 2016",BIOL,8298,26,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Summer 2016",BIOL,8298,27,"Doctoral Research",Meisel,"Richard P",,,,,,,
"Summer 2016",BIOL,8298,28,"Doctoral Research",Liu,Yu,,,,,,,
"Summer 2016",BIOL,8298,29,"Doctoral Research",Fujita,Masaya,,,,,,,
"Summer 2016",BIOL,8298,40,"Doctoral Research","Kelleher Meisel","Erin S",,,,,,,
"Summer 2016",BIOL,8298,41,"Doctoral Research",Bawa-Khalfe,Tasneem,,,,,,,
"Summer 2016",BIOL,8398,21,"Doctoral Research",Chung,Sang-Hyuk,,,,,,,
"Summer 2016",BIOL,8399,46,"Doctoral Dissertation",Zufall,"Rebecca A",,,,,,,
"Summer 2016",BIOL,8498,7,"Doctoral Research",Sater,Amy,,,,,,,
"Summer 2016",BIOL,8498,10,"Doctoral Research",Pennings,"Steven C",,,,,,,
"Summer 2016",BIOL,8498,18,"Doctoral Research",Dryer,"Stuart E",,,,,,,
"Summer 2016",BIOL,8498,19,"Doctoral Research",Lin,Chin-Yo,,,,,,,
"Summer 2016",BIOL,8498,23,"Doctoral Research",Khurana,Seema,,,,,,,
"Summer 2016",BIOL,8498,24,"Doctoral Research",Khurana,Seema,,,,,,,
"Summer 2016",BIOL,8498,3,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
