TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2021,LAW,5600,1,14518,Judicial Externship I,Powers,William,0,0,0,0,0,6,0,0,0,0
Summer 2021,ECE,8398,3,12386,Doctoral Research,Yao,Yan,0,0,0,0,0,1,0,0,0,0
Summer 2021,PEP,6309,1,13323,Policies & Govt of Sport Org.,Hawkins,Billy J,7,0,0,0,0,0,0,0,0,4
Summer 2021,PCOL,8399,2,15128,Doctoral Dissertation,Cuny,Gregory D,1,0,0,0,0,0,0,0,0,4
Summer 2021,PSYC,6336,2,16050,Directed Rsch in Social Psyc,Neighbors,Clayton T,2,0,0,0,0,0,0,0,0,4
Summer 2021,CHEM,8398,15,11436,Doctoral Research,Do,Loi H,0,0,0,0,0,2,0,0,0,0
Summer 2021,ENRG,4398,1,19736,Indep Stdy-Enrgy & Sustainblty,Hallmark,Terrell L,0,1,0,0,0,0,0,0,0,3
Summer 2021,GEOL,8399,9,19625,Doctoral Dissertation,Choi,Yunsoo,1,0,0,0,0,0,0,0,0,4
Summer 2021,BIOL,6355,1,15902,Introduction to Health Systems,Valier,Helen K,59,0,0,0,0,0,0,0,0,3.983
Summer 2021,LAW,5328,1,13715,Judicial Externship I,Worrell,Carey Ann,0,0,0,0,0,6,0,0,0,0
Summer 2021,BIOL,1310,1,15719,General Biology 1,O'Bryant,Zaven Keith,16,25,15,15,14,0,0,0,2,2.153
Summer 2021,ATP,6191,1,14006,Clinical Experience I,Harrison,Layci,15,1,0,0,1,0,0,0,1,3.706
Summer 2021,MATH,8398,3,19720,Doctoral Research,Cappanera,Loic,0,0,0,0,0,0,1,0,0,0
Summer 2021,RELS,3337,1,18886,Theologies from the Margins,Pegoda,Andrew Joseph,4,2,2,0,0,0,0,0,1,3.209
Summer 2021,CHEM,1112,17,15051,Fundamentals of Chm Lab,Zaitsev,Vladimir G,9,6,0,0,2,0,0,0,0,3.157
Summer 2021,MATH,8399,1,12923,Doctoral Dissertation,Ott,William R,1,0,0,0,0,0,0,0,0,4
Summer 2021,HRMA,3341,1,14826,Hospitality Managerial Acct,Ramirez,Arlene D,10,6,5,2,1,0,0,0,2,2.958
Summer 2021,PHAR,5691,2,13995,Drug Information,Ordonez,Nancy D,2,0,0,0,0,0,0,0,0,4
Summer 2021,CNST,3351,1,18758,Construction Estimating II,Suman,JC,6,11,9,1,0,0,0,0,0,2.839
Summer 2021,LAW,5229,2,14551,Judicial Externship II,Archer,Anna M,0,0,0,0,0,2,0,0,0,0
Summer 2021,PSYC,6352,3,14495,Directed Rsch in I/O Psyc,Eisenberger,Robert W,1,0,0,0,0,0,0,0,0,4
Summer 2021,ECON,4390,4,18640,Economics Internship,Pinto,Pablo M,15,0,0,0,0,0,0,0,0,4
Summer 2021,CUIN,4375,1,18551,Classroom Management,Thompson,Alan M,28,0,0,0,0,0,0,0,0,4
Summer 2021,HDCS,4380,1,18747,Merchandising,Gatterson,Beverly,9,0,0,0,1,0,0,0,0,3.534
Summer 2021,COSC,6353,101,15668,Software Design,Singh,Raj Kumar,9,3,0,0,0,0,0,0,0,3.833
Summer 2021,PHOP,6567,6,16100,Research Practicum A,Patel,Nimesh Bhikhu,0,1,0,0,0,0,0,0,0,3
Summer 2021,NUTR,4352,1,14829,Child and Adolescent Nutrition,Vollrath,Kirstin,37,42,13,1,3,0,0,0,4,3.077
