TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA
Spring 2019,IDNS,2197,15,Top-Natrl Sci & Mth,Cerna,Eduardo,23,7,3,0,0,3,3.636
Spring 2019,IDNS,2197,15,Top-Natrl Sci & Mth,Hamilton,Andrew L,23,7,3,0,0,3,3.636
Spring 2019,IDNS,2197,16,Top-Natrl Sci & Mth,Hamilton,Andrew L,19,6,9,2,0,2,3.167
Spring 2019,IDNS,2197,16,Top-Natrl Sci & Mth,Brown,Beverly M,19,6,9,2,0,2,3.167
Spring 2019,IDNS,2197,16,Top-Natrl Sci & Mth,Cerna,Eduardo,19,6,9,2,0,2,3.167
Spring 2019,IDNS,2197,17,Top-Natrl Sci & Mth,Brown,Beverly M,23,7,7,1,0,1,3.394
Spring 2019,IDNS,2197,17,Top-Natrl Sci & Mth,Cerna,Eduardo,23,7,7,1,0,1,3.394
Spring 2019,IDNS,2197,17,Top-Natrl Sci & Mth,Hamilton,Andrew L,23,7,7,1,0,1,3.394
Spring 2019,IDNS,2197,18,Top-Natrl Sci & Mth,Hamilton,Andrew L,11,6,5,2,0,7,3.125
Spring 2019,IDNS,2197,18,Top-Natrl Sci & Mth,Cerna,Eduardo,11,6,5,2,0,7,3.125
Spring 2019,IDNS,2197,18,Top-Natrl Sci & Mth,Brown,Beverly M,11,6,5,2,0,7,3.125
Spring 2019,IDNS,2197,19,Top-Natrl Sci & Mth,Cerna,Eduardo,32,4,1,0,0,1,3.758
Spring 2019,IDNS,2197,19,Top-Natrl Sci & Mth,Brown,Beverly M,32,4,1,0,0,1,3.758
Spring 2019,IDNS,2197,19,Top-Natrl Sci & Mth,Hamilton,Andrew L,32,4,1,0,0,1,3.758
