TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Fall 2019",MARK,3336,3,"Introduction to Marketing",Ahearne,Michael,236,156,28,1,3,5,3.427
"Fall 2019",ECE,3366,1,"Intro To Digital Signal Proc",Sheth,"Bhavin R.",14,8,2,0,0,0,3.459
"Fall 2019",SOCW,7397,2,"Selected Topics in Social Work",Boyd,"Reiko K",28,2,0,0,0,0,3.911
"Fall 2019",MATH,1431,5,"Calculus I",Constante,Beatrice,181,100,77,42,67,31,2.606
"Fall 2019",LAW,5314,10,"Lawyering Skills & Strategy I","Ten Cate",Irene,3,11,1,0,0,0,3.199
"Fall 2019",ELCS,8355,3,"Policy Pol & Gov of Education",Lopez,"Ruth Maria",8,1,0,0,0,0,3.779
"Fall 2019",FINA,4320,4,"Investment Management",Vasu,"Rajkamal Kamaladevi",34,19,4,1,0,0,3.471
"Fall 2019",GENB,4350,5,"Business Law and Ethics",Currie,Daniel,112,12,3,1,0,2,3.826
"Fall 2019",HDFS,2317,8,"Human Dev and Interventions",Rab,Saira,26,4,1,3,1,0,3.495
"Fall 2019",MATH,6398,5,"Special Problems",Mamonov,"Alexander V",0,0,0,0,0,0,0
"Fall 2019",COSC,2440,7,"Computer Org & Architecture",Long,"Kevin B",56,16,6,0,2,3,3.55
"Fall 2019",CUIN,3350,2,"Knowing/Learning Science-Math",Segura,"Perri F",23,3,0,0,0,0,3.821
"Fall 2019",ENGL,1303,22,"First Year Writing I",Hannah,Jennifer,13,6,2,1,2,3,3.125
"Fall 2019",MARK,4376,1,"Sales CRM",Suki,"Yara D",24,2,0,1,0,1,3.741
"Fall 2019",LAW,5397,5,"Selected Topics",Michaels,"Andrew Charles",3,16,0,0,0,0,3.193
"Fall 2019",PSYC,3310,3,"Indstrl-Orgnztnl Psy",Witt,"Lawrence A",12,15,7,0,0,1,3.137
"Fall 2019",HDCS,3300,1,"Org Decisions",Hitchman,"Cal M",32,15,12,1,5,5,3.021
"Fall 2019",CHEM,1111,78,"Fundamentals of Chm Lab",Zaitsev,"Vladimir G",3,14,1,0,1,1,2.965
"Fall 2019",PSYC,3325,9,"Psychology of Personality",Raines,Elizabeth,29,25,15,8,4,0,2.848
"Fall 2019",SCM,"   6A01",4,"Production & Operations Mgt",Sahin,Funda,7,1,1,0,0,0,3.63
"Fall 2019",SCLT,3340,30,"Geography for GSC",Burns,Maria,63,6,0,0,0,7,3.918
"Fall 2019",ENGL,1304,55,"First Year Writing II",Sicinski,"Michael J",15,2,0,0,1,2,3.612
"Fall 2019",PSYC,3339,2,"Intro To Clinical Psychology",Vujanovic,"Anka Anna",28,19,2,0,0,0,3.49
"Fall 2019",ECE,5388,1,"Renewable Energy Technology",Phillips,"Desiree Lyn",10,14,2,1,0,0,3.21
"Fall 2019",ENGL,4396,1,"SR Experience Seminar Topics",Aboul-Ela,Hosam,8,8,0,0,1,2,3.216
"Fall 2019",PSYC,3350,9,"Intro to Cognitive Psychology",Santacroce,Lindsay,33,36,2,1,7,1,3.089
"Fall 2019",MANA,4385,2,"Intro to Strategic Management",Parks,"Cyrus Brohier",22,13,6,0,3,3,3.137
"Fall 2019",CHEM,6698,30,"Special Problems",Wu,Judy,0,0,0,0,0,0,0
"Fall 2019",HRMA,3345,5,"Wine Appreciation",Jarvis,"Nathan Alexander",9,5,0,1,0,0,3.489
"Fall 2019",MIS,3360,3,"Systems Analysis and Design",Skinner,"Richard James",24,31,10,0,1,1,3.167
"Fall 2019",COMM,2310,1,"Writing for Print and Digital",Crixell,"Charles A",35,40,5,1,2,4,3.281
"Fall 2019",THEA,1331,1,"Introduction To Theatre",Brincks,Alan,42,6,3,1,1,0,3.61
"Fall 2019",LAW,5488,1,"Constitutional Law",Knake,"Renee N",5,24,2,0,0,0,3.086
"Fall 2019",ARLD,6310,1,"Fundraising for the Arts",Hays,"Carolyn Jane",1,5,0,0,0,0,3.222
"Fall 2019",ARCH,6359,1,"Modern Architecture & Urbanism",Dawood,Azra,6,7,0,0,0,0,3.436
"Fall 2019",ART,3384,1,"Sound Art",Cone,"Marcus Andrew",14,0,0,0,0,0,4
"Fall 2019",SCM,"   6A01",2,"Production & Operations Mgt",Sahin,Funda,19,9,2,0,0,0,3.523
"Fall 2019",OPTO,5133,3,"Adv Human Anat/Hist Lab",Coulson-Thomas,"Vivien J",15,9,2,0,0,0,3.398
"Fall 2019",TMTH,3360,6,"Applied Technical Statistics",Tellegen,Margaret,9,10,4,2,9,12,2.235
"Fall 2019",PETR,2111,2,"Petroleum Petrophysics Lab",Myers,"Michael Tolbert",8,0,0,0,0,0,4
"Fall 2019",ENGL,1303,24,"First Year Writing I",Sicinski,"Michael J",14,10,2,0,0,1,3.449
"Fall 2019",CUIN,4315,4,"Assessment of Children",Wilson,Jahnette,10,14,10,1,0,1,2.886
"Fall 2019",ART,3313,1,Silkscreen,Masterson,"Patrick D",13,0,0,0,0,1,3.975
"Fall 2019",PHCA,7180,2,Seminar,Thornton,"James D",6,0,0,0,0,0,4
"Fall 2019",BIOL,3132,1,"Elementary Microbiology Lab",Knapp,"Richard D",6,10,5,2,0,1,2.898
"Fall 2019",SPAN,2301,5,"Intermediate Spanish I","Felker Centeno","Ana Emilia",8,8,2,4,1,0,2.826
"Fall 2019",CHEM,1111,7,"Fundamentals of Chm Lab",Zaitsev,"Vladimir G",3,11,1,0,2,2,2.784
"Fall 2019",TLIM,4371,30,"Leading Change in the Wrkplace",Harlan,"Pamela Kay",11,7,1,0,0,0,3.578
"Fall 2019",MUSA,6142,3,"Graduate Recital III",Evans,Joseph,1,0,0,0,0,0,4
"Fall 2019",HON,4315,1,"Artists and Their Regions",Rainbow,"Jesse J.",21,1,0,0,0,0,3.94
"Fall 2019",ECE,8399,15,"Doctoral Dissertation",Shih,Wei-Chuan,2,0,0,0,0,0,4
"Fall 2019",CHEM,1111,50,"Fundamentals of Chm Lab",Zaitsev,"Vladimir G",8,6,3,1,0,1,3.148
"Fall 2019",OPTO,6231,1,"Corneal Disease",Bergmanson,"Jan Pg",0,0,0,0,0,0,0
"Fall 2019",HRMA,4397,1,"Selected Topics Hosp Mgt",Johnson,"Tucker A",7,8,1,1,0,0,3.216
