TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
Spring 2020,CNST,3351,2,Construction Estimating II,Siddiqui,Muhammad Ali,8,9,0,0,0,1,0,3.259
Spring 2020,CNST,4302,1,Construction Law and Ethics,Ducran,Denis George,8,41,3,0,0,19,2,2.286
Spring 2020,CNST,3210,1,Safety for Industrial Projects,Zayas,Frederick A,9,5,1,0,0,2,1,2.871
Spring 2020,CNST,4335,1,Capital Projects Development,Bolander,Larry A,10,17,1,0,0,9,0,2.482
Spring 2020,CNST,1325,1,Process & Industrial Construct,Ponnusamy,Ravi Chandran,10,17,0,0,0,3,0,2.758
Spring 2020,CNST,2351,2,Construction Estimating I,Liggin,Gregory G,10,19,0,0,0,13,0,2.205
Spring 2020,CNST,4331,2,Construction Management II,Hogan,James Eugene,11,13,0,0,0,5,0,2.723
Spring 2020,CNST,3265,1,Construction Layout & Site Dvp,Moghaddam,Hassan,12,11,2,0,0,13,0,2.219
Spring 2020,CNST,1315,1,Project Drawings and Graphics,Clark,Peter J,12,13,2,0,0,4,4,2.758
Spring 2020,CNST,1361,30,Construction Management I,Beadle,Dwight D,13,1,0,0,0,1,0,3.667
Spring 2020,CNST,3355,1,Strength of Construction Mtrls,Senouci,Ahmed,14,16,1,0,0,25,2,1.71
Spring 2020,CNST,3265,2,Construction Layout & Site Dvp,Sikes,Andrew Lonnie,15,17,0,0,0,4,0,3.083
Spring 2020,CNST,2341,1,Construction Documents,Vecera,Robert Gerard,17,32,2,0,0,24,1,2.222
Spring 2020,CNST,2345,1,Contract Doc Capital Projects,Beadle,Dwight D,18,9,0,0,0,4,0,3.094
Spring 2020,CNST,1330,1,Graphics I,Lyon,Eva Yaneth,22,24,4,0,0,3,1,2.953
Spring 2020,CNST,3301,1,Constructn Equipment & Methods,Cluff,Rodney R,25,32,4,0,0,13,0,2.645
Spring 2020,CNST,4315,1,Steel Construction,Chang,Chi Chung,26,36,0,0,0,8,0,3.033
Spring 2020,CNST,3331,1,Constructn Plan and Scheduling,Weintraub,Marvin Stanley,28,17,0,0,0,4,0,3.26
Spring 2020,CNST,4385,1,Field Operations Capital Proj,Shepard,Mark Cullom,30,9,0,0,0,6,0,3.223
Spring 2020,CNST,4341,1,Project Controls,Radwan,Amr,30,22,0,0,0,7,0,3.113
Spring 2020,CNST,4331,1,Construction Management II,Sulehri,Hassan,31,3,0,0,0,0,1,3.676
Spring 2020,CNST,2351,1,Construction Estimating I,Liggin,Gregory G,33,21,0,0,0,13,1,2.826
Spring 2020,CNST,4345,1,Reinforced Concrete Structures,Chang,Chi Chung,40,6,1,0,0,1,0,3.681
Spring 2020,CNST,3351,1,Construction Estimating II,Siddiqui,Muhammad Ali,40,13,1,0,0,3,0,3.48
Spring 2020,CNST,3155,1,Const Materials & Testing,Meyer,Joseph Ray,42,23,0,0,0,5,0,3.39
Spring 2020,CNST,1361,1,Construction Management I,Shepard,Mark Cullom,43,18,3,0,0,15,1,2.933
Spring 2020,CNST,3372,1,Soil Mechanics & Foundations,Meyer,Joseph Ray,58,12,0,0,0,4,0,3.626
Spring 2020,CNST,3205,1,Construction Safety Management,Hart,Lee J,58,15,0,0,0,2,1,3.551
Spring 2020,CNST,1301,1,Constructn Materials & Methods,Senouci,Ahmed,60,30,4,0,0,5,1,3.341
Spring 2020,COMD,7392,1,Adv Pract Sp & Lang Dis,Thiessen,Amber L,10,2,0,0,0,0,0,3.833
Spring 2020,COMD,2338,3,Phonetics,Townsend,Alayna,12,13,0,0,0,4,0,3.023
Spring 2020,COMD,4489,1,Clinical Procedures,Cizek,Laura S,13,2,0,0,0,0,0,3.823
Spring 2020,COMD,5343,1,Aural Rehabilitation for SLPA,King,Sara,13,13,1,0,0,3,0,3.1
Spring 2020,COMD,2338,2,Phonetics,Townsend,Alayna,14,9,0,0,0,7,0,2.8
Spring 2020,COMD,2339,1,Language Development,Castilla-Earls,Anny,14,15,1,0,0,8,0,2.59
Spring 2020,COMD,5442,1,SLPA Externship II,James,Kay M,15,0,0,0,0,0,0,4
Spring 2020,COMD,5241,1,Applied Prof Ethics-SLPA,James,Kay M,15,0,0,0,0,0,0,4
Spring 2020,COMD,3385,1,Speech Science,Joshi,Ashwini,15,4,0,0,0,0,0,3.755
Spring 2020,COMD,5345,1,SP/Lang Dis. in Children-SLPA,Geurin,Angela C,20,6,0,0,0,3,0,3.379
Spring 2020,COMD,2376,1,Anatomy for Communication,Daniels,Stephanie K,21,11,0,0,0,2,0,3.422
Spring 2020,COMD,3371,2,Speech Devel & Dis in Children,Dunkelberger,Martha J,22,0,0,0,0,0,0,4
Spring 2020,COMD,3301,1,History/Culture of Deaf,Brittain,Terrell,22,9,0,0,0,6,1,2.931
Spring 2020,COMD,3383,3,Language Disorders in Children,Ivey,Michelle L,23,5,0,0,0,1,0,3.61
Spring 2020,COMD,3383,2,Language Disorders in Children,Ross,Byron L,23,8,0,0,0,1,0,3.646
Spring 2020,COMD,4333,1,Neuroscience for COMD,Blake,Margaret T,25,6,0,0,0,3,0,3.422
Spring 2020,COMD,2338,1,Phonetics,Schaff,Carrie Allyson,28,1,1,0,0,0,0,3.845
Spring 2020,COMD,4382,1,Aural Rehabilitation,Andrews,Chereece N,30,0,0,0,0,2,0,3.719
Spring 2020,COMD,6321,1,Swallowing Disorders,Daniels,Stephanie K,31,4,0,0,0,0,0,3.791
Spring 2020,COMD,4382,2,Aural Rehabilitation,Andrews,Chereece N,32,1,0,0,0,0,0,3.95
Spring 2020,COMD,4333,2,Neuroscience for COMD,Ronderos,Juliana,32,1,0,0,0,2,0,3.686
Spring 2020,COMD,6326,1,Motor Speech Disorders,Maher,Lynn M,33,2,0,0,0,0,0,3.83
Spring 2020,COMD,6230,1,Autism Spectrum Disorders,Ross,Byron L,34,4,0,0,0,0,0,3.86
Spring 2020,COMD,7221,1,Fluency Disorders,Johnson,Kia,34,4,0,0,0,0,0,3.782
Spring 2020,COMD,3385,2,Speech Science,Joshi,Ashwini,35,4,0,0,0,2,0,3.603
Spring 2020,COMD,3371,1,Speech Devel & Dis in Children,Dunkelberger,Martha J,38,0,0,0,0,0,0,3.991
Spring 2020,COMD,6240,1,Augment. & Altern. Communicatn,Thiessen,Amber L,41,3,0,0,0,0,0,3.902
Spring 2020,COMD,7270,1,Graduate Seminar in SLP,Ivey,Michelle L,42,2,0,0,0,0,0,3.947
Spring 2020,COMD,1333,1,Intro To Communicatn Disorders,Dunkelberger,Martha J,60,1,0,0,0,2,1,3.857
Spring 2020,COMM,2310,7,Writing for Print and Digital,Butler,Bryan C,1,14,2,0,0,6,1,2.188
Spring 2020,COMM,3369,3,Strategic Comm. Writing,Taylor,Kris A,3,11,3,0,0,2,0,2.736
Spring 2020,COMM,4331,1,Persuasion,Buck,Suzanne,3,18,2,0,0,10,1,2.088
Spring 2020,COMM,2310,19,Writing for Print and Digital,Crixell,Charles A,4,10,1,0,0,0,2,3.024
Spring 2020,COMM,4360,2,Media Planning & Placement,Guest,Tammy,5,13,1,0,0,3,0,2.803
Spring 2020,COMM,3311,4,Editing Print & Digital Media,Crixell,Charles A,5,17,2,0,0,3,0,2.766
Spring 2020,COMM,6371,1,Public Relations Theory,Vardeman,Jennifer E,6,5,0,0,0,0,1,3.195
Spring 2020,COMM,3369,2,Strategic Comm. Writing,Taylor,Kris A,7,5,0,0,0,4,0,2.584
Spring 2020,COMM,2310,15,Writing for Print and Digital,Andre,Jennifer A,7,7,0,0,0,1,2,2.759
Spring 2020,COMM,4397,4,Selected Topics Communication,Waldron,Michael D,7,7,0,0,0,2,0,3.166
Spring 2020,COMM,3311,1,Editing Print & Digital Media,Crixell,Charles A,7,11,1,0,0,3,2,2.864
Spring 2020,COMM,3311,2,Editing Print & Digital Media,Crixell,Charles A,7,15,0,0,0,1,0,3.042
Spring 2020,COMM,3340,1,Health Campaigns,Xiao,Zhiwen,8,6,0,0,0,2,0,2.999
Spring 2020,COMM,3360,4,Strategic Comm. Principles,Choi,Ho Joon,8,9,0,0,0,0,1,3.393
Spring 2020,COMM,4303,3,Communication Law & Ethics,Perin,Monica Wilch,9,4,2,0,0,16,1,1.491
Spring 2020,COMM,4363,3,Integrated Comm. Campaigns,Clark,Thomas R,9,5,0,0,0,6,0,2.429
Spring 2020,COMM,2310,13,Writing for Print and Digital,gladstone,mark,9,5,0,0,0,6,0,2.567
Spring 2020,COMM,2310,11,Writing for Print and Digital,Fuller,Annette M,9,6,1,0,0,0,1,3.216
Spring 2020,COMM,3377,1,Strategic PR Planning,Fix,Julie B,9,10,1,0,0,2,0,2.928
Spring 2020,COMM,4372,1,"Media, Power, and Society",Archer,Allison Michelle Nam,9,16,1,0,0,4,0,2.856
Spring 2020,COMM,3324,1,Photojournalism I,Carson,Richard J,10,1,0,0,0,1,1,2.605
Spring 2020,COMM,4386,1,"Immigration, Hispanics & Data",Harlow,Summer D,10,2,0,0,0,4,1,2.793
Spring 2020,COMM,2310,17,Writing for Print and Digital,Andre,Jennifer A,10,4,0,0,0,3,0,2.667
Spring 2020,COMM,4314,1,Social Issues in Journalism,Camaj,Lindita,10,5,1,0,0,0,2,3.418
Spring 2020,COMM,3361,1,Advertising Copywriting,Clark,Thomas R,10,11,0,0,0,6,0,2.517
Spring 2020,COMM,4360,1,Media Planning & Placement,Kelley,Larry D.,10,13,0,0,0,4,1,2.901
Spring 2020,COMM,3315,1,News and Social Media,Young,Jessica Ranea,11,8,1,0,0,1,0,3.255
Spring 2020,COMM,4397,3,Selected Topics Communication,Hamzah,Sahar Riyad,12,0,0,0,0,0,0,4
Spring 2020,COMM,2326,1,Intro to Sports Broadcasting,Trupiano,Jerome,12,0,0,0,0,0,0,4
Spring 2020,COMM,4397,1,Selected Topics Communication,Northup,Christopher Temple,12,0,0,0,0,0,0,4
Spring 2020,COMM,4361,1,Adv. Campaign Competition,Thorp,Charles Arthur,12,0,0,0,0,0,1,4
Spring 2020,COMM,4361,1,Adv. Campaign Competition,El Hage,Simon,12,0,0,0,0,0,1,4
Spring 2020,COMM,4361,1,Adv. Campaign Competition,Kelley,Larry D.,12,0,0,0,0,0,1,4
Spring 2020,COMM,4328,1,Brdcst/Film Drmtic Writ,Vaughan,Thomas Michael,13,0,0,0,0,0,0,4
Spring 2020,COMM,3359,1,Sports Media & Communication,DeWalt,Ashley Louis,13,1,1,0,0,1,0,3.353
Spring 2020,COMM,4381,1,Digital Cinematography,Houk,Keith R,13,2,0,0,0,0,0,3.889
Spring 2020,COMM,4397,5,Selected Topics Communication,Ireri,Jackson Kioko,13,6,0,0,0,1,1,3.333
Spring 2020,COMM,3360,3,Strategic Comm. Principles,Ashley,Laura B,13,7,0,0,0,0,0,3.508
Spring 2020,COMM,4365,1,Digital PR and Advertising,Choi,Ho Joon,13,11,0,0,0,1,0,3.374
Spring 2020,COMM,3302,1,E-Health and Telemedicine,McCombs,Shawn,14,0,0,0,0,0,0,4
Spring 2020,COMM,3324,3,Photojournalism I,Carson,Richard J,14,1,0,0,0,5,0,2.684
Spring 2020,COMM,3315,2,News and Social Media,Harlow,Summer D,14,3,0,0,0,2,1,3.369
Spring 2020,COMM,3326,3,Graphics Applications,Economou-Clarke,Ann M,14,5,0,0,0,1,0,3.567
Spring 2020,COMM,2327,1,Introduction to Screen Writing,Leydon,Joseph P,15,2,0,0,0,3,0,3.3
Spring 2020,COMM,3312,1,Future of Global Journalism,Hellmueller,Lea C,15,2,0,0,0,0,1,3.63
Spring 2020,COMM,3383,1,Non-linear Editing,Houk,Keith R,15,3,0,0,0,4,1,3.121
Spring 2020,COMM,3368,3,Principles of Public Relations,Ashley,Laura B,15,3,0,0,0,0,1,3.888
Spring 2020,COMM,2328,1,Broadcast Writing Basics,Griffin,Veronica R,15,5,0,0,0,1,0,3.587
Spring 2020,COMM,3360,1,Strategic Comm. Principles,Choi,Ho Joon,15,8,0,0,0,2,0,3.32
Spring 2020,COMM,2310,21,Writing for Print and Digital,Crixell,Charles A,15,9,0,0,0,0,0,3.501
Spring 2020,COMM,3316,2,Electronic News,Kaufman,Elizabeth R,16,1,0,0,0,0,0,3.864
Spring 2020,COMM,4363,1,Integrated Comm. Campaigns,Clark,Thomas R,16,2,0,0,0,4,1,3.043
Spring 2020,COMM,3361,2,Advertising Copywriting,Clark,Thomas R,16,4,0,0,0,6,2,2.714
Spring 2020,COMM,4368,1,Public Relations Campaigns,Fix,Julie B,16,9,0,0,0,1,0,3.513
Spring 2020,COMM,4384,1,Strategic Comm Applications,Gonzalez,David De Jesus,17,0,0,0,0,0,0,4
Spring 2020,COMM,3326,1,Graphics Applications,Economou-Clarke,Ann M,17,3,0,0,0,1,0,3.682
Spring 2020,COMM,3377,2,Strategic PR Planning,Tinsley,Priscilla T,17,5,0,0,0,3,0,3.214
Spring 2020,COMM,3360,5,Strategic Comm. Principles,Huang,Yan,17,8,1,0,0,4,0,3.045
Spring 2020,COMM,4366,1,Advertising Account Planning,Kelley,Larry D.,17,8,1,0,0,6,0,2.896
Spring 2020,COMM,2328,2,Broadcast Writing Basics,Griffin,Veronica R,18,0,0,0,0,1,1,3.685
Spring 2020,COMM,3317,3,Multimedia Journalism,Madrid-Morales,Daniel,18,2,1,0,0,0,0,3.825
Spring 2020,COMM,2322,1,Television Production I,Crowe,Craig Warren,18,11,2,0,0,2,0,3.333
Spring 2020,COMM,3382,1,TV II & Sports Production,Crowe,Craig Warren,19,1,0,0,0,0,0,3.884
Spring 2020,COMM,2370,1,Introductn to Motion Pictures,Leydon,Joseph P,19,3,0,0,0,0,0,3.864
Spring 2020,COMM,4397,2,Selected Topics Communication,Leydon,Joseph P,19,5,0,0,0,1,0,3.64
Spring 2020,COMM,3332,1,Effective Meeting Management,Hudson-Gillan,Gail,19,7,0,0,0,6,0,2.849
Spring 2020,COMM,3360,2,Strategic Comm. Principles,Huang,Yan,19,9,0,0,0,2,0,3.4
Spring 2020,COMM,2331,1,Relational Communication,Hudson-Gillan,Gail,19,10,1,0,0,7,0,2.883
Spring 2020,COMM,1302,1,Intro To Comm Theory,Lee,Jaesub,19,19,3,0,0,9,0,2.76
Spring 2020,COMM,3353,1,Information & Comm Tech I,Liu,Youmei,19,25,0,0,0,6,1,3.013
Spring 2020,COMM,3317,4,Multimedia Journalism,Smith,Camilo Hannibal,20,0,0,0,0,0,1,4
Spring 2020,COMM,3325,1,Sports Journalism,Creech,Jennifer Dial,20,0,0,0,0,0,0,4
Spring 2020,COMM,4303,4,Communication Law & Ethics,Lindenberger,Michael A,20,12,0,0,0,7,1,2.949
Spring 2020,COMM,3324,2,Photojournalism I,Carson,Richard J,21,0,0,0,0,1,0,3.713
Spring 2020,COMM,3316,1,Electronic News,Kaufman,Elizabeth R,21,1,0,0,0,0,1,3.925
Spring 2020,COMM,3374,1,Strategic Social Media,Williams,Alexandria Simone,21,3,0,0,0,2,1,3.31
Spring 2020,COMM,3321,1,Single Camera Studio Productn,Houk,Keith R,21,3,0,0,0,1,0,3.707
Spring 2020,COMM,3358,1,Leadership Comm & Organizatn,Lee,Jaesub,22,0,0,0,0,1,0,3.612
Spring 2020,COMM,3369,1,Strategic Comm. Writing,Emery II,Philip M,22,1,0,0,0,0,0,3.856
Spring 2020,COMM,3319,1,Preproduction Management,Hamzah,Sahar Riyad,22,1,0,0,0,0,1,3.942
Spring 2020,COMM,3370,2,History of Cinema,Northup,Christopher Temple,22,3,4,1,0,0,0,3.544
Spring 2020,COMM,4370,1,Social Aspects of Film,Leydon,Joseph P,22,6,0,0,0,2,0,3.544
Spring 2020,COMM,4382,1,Advanced Non-Linear Editing,Hamzah,Sahar Riyad,23,0,0,0,0,0,0,3.986
Spring 2020,COMM,4355,1,Organizational Comm,Liu,Wenlin,23,7,0,0,0,1,0,3.603
Spring 2020,COMM,4371,1,American Cinema: The Directors,Jowett,Garth Samuel,24,0,0,0,0,3,3,3.519
Spring 2020,COMM,4367,1,Issues Management,Tinsley,Priscilla T,24,3,0,0,0,0,0,3.889
Spring 2020,COMM,1301,3,Media and Society,Leydon,Joseph P,24,4,0,0,0,2,0,3.644
Spring 2020,COMM,1301,1,Media and Society,Olson,Beth M,24,42,2,0,0,22,1,2.269
Spring 2020,COMM,3320,1,Audio Production,Schneider,Paul L,25,0,0,0,0,0,0,4
Spring 2020,COMM,1333,1,Interpersonal Comm,Hudson-Gillan,Gail,25,7,0,0,0,3,0,3.438
Spring 2020,COMM,4375,1,Propaganda & Mass Comm,Jowett,Garth Samuel,26,0,0,0,0,2,1,3.667
Spring 2020,COMM,4357,1,Intercultural Comm. & Orgs.,Liu,Wenlin,26,7,0,0,0,1,0,3.458
Spring 2020,COMM,3368,1,Principles of Public Relations,Tinsley,Priscilla T,27,4,0,0,0,2,0,3.616
Spring 2020,COMM,4354,1,Organizational Crisis Comm.,Fix,Julie B,28,1,0,0,0,0,1,3.943
Spring 2020,COMM,4383,1,Documentary Filmmaking,Hamzah,Sahar Riyad,29,0,0,0,0,0,0,3.954
Spring 2020,COMM,3368,2,Principles of Public Relations,Stanley,Stuart Wayne,29,0,0,0,0,0,1,3.977
Spring 2020,COMM,4377,1,Understanding Publics,Ni,Lan,29,4,0,0,0,1,0,3.668
Spring 2020,COMM,1301,4,Media and Society,Williams,Alexandria Simone,29,13,2,0,0,5,1,3.171
Spring 2020,COMM,4303,5,Communication Law & Ethics,Barkley,Michael,30,7,0,0,0,2,0,3.573
Spring 2020,COMM,4303,2,Communication Law & Ethics,Kirkland,Steven Earl,31,17,5,0,0,7,1,2.803
Spring 2020,COMM,3380,1,Electronic Field Production,Crowe,Craig Warren,36,0,0,0,0,0,0,3.991
Spring 2020,COMM,2310,1,Writing for Print and Digital,Crixell,Charles A,39,32,1,0,0,4,2,3.294
Spring 2020,COMM,3304,1,Multicultural Health Comm,Xiao,Zhiwen,40,3,0,0,0,0,0,3.848
Spring 2020,COMM,2300,1,Communication Research Methods,Lyn,Robyn,46,0,0,0,0,0,0,4
Spring 2020,COMM,4378,1,Social Impact of Info Tech,Gonzalez,David De Jesus,49,0,0,0,0,0,0,4
Spring 2020,COMM,4303,1,Communication Law & Ethics,Barkley,Michael,51,22,0,0,0,1,1,3.595
Spring 2020,COMM,3383,2,Non-linear Editing,Crowe,Craig Warren,59,11,0,0,0,3,5,3.487
Spring 2020,COMM,3370,1,History of Cinema,Houk,Keith R,59,14,0,0,0,8,0,3.251
Spring 2020,COMM,1303,1,Writing for Communicators,Lyn,Robyn,89,0,0,0,0,0,1,3.87
Spring 2020,COMM,1303,3,Writing for Communicators,Lyn,Robyn,92,0,0,0,0,0,3,3.874
Spring 2020,COMM,1301,2,Media and Society,Lyn,Robyn,96,0,0,0,0,0,3,3.918
Spring 2020,COMM,1303,2,Writing for Communicators,Lyn,Robyn,98,0,0,0,0,0,2,3.96
Spring 2020,COMM,2356,1,Business & Professional Comm,Buck,Suzanne,102,77,13,0,0,56,15,2.406
Spring 2020,COMM,2320,1,Fundamentals Media Production,Crowe,Craig Warren,169,23,3,0,0,1,2,3.713
Spring 2020,CORE,1101,1,College Success,Banjeglav,Tatjana,11,0,0,0,0,0,0,4
Spring 2020,CORE,1101,2,College Success,Banjeglav,Tatjana,16,0,0,0,0,0,0,3.979
Spring 2020,COSC,2430,4,Programming and Data Structure,Rizk,Nouhad J,5,4,4,0,0,13,5,1.139
Spring 2020,COSC,4353,1,Software Design,Subramaniam,Venkat,6,8,0,0,0,10,0,1.959
Spring 2020,COSC,4364,2,Numerical Methods,Johnsson,Lennart,6,10,0,0,0,16,4,1.463
Spring 2020,COSC,2430,7,Programming and Data Structure,Rizk,Nouhad J,7,12,2,0,0,34,4,0.924
Spring 2020,COSC,6377,1,Computer Networks,Gnawali,Omprakash D,8,6,0,0,0,1,0,2.961
Spring 2020,COSC,2306,1,Data Programming,Toti,Giulia,9,3,2,0,0,6,4,1.6
Spring 2020,COSC,1430,8,Introduction to Programming,Rincon Castro,Carlos Alberto,9,5,1,0,0,18,5,1
Spring 2020,COSC,1306,1,Computer Science & Program,Huang,Shou-Hsuan Stephen,9,11,4,0,0,36,7,0.947
Spring 2020,COSC,6351,1,Software Engineering,Alipour,Mohammad Amin,10,1,0,0,0,1,0,3.583
Spring 2020,COSC,6373,1,Computer Vision,Shah,Shishir,11,0,0,0,0,3,0,2.889
Spring 2020,COSC,4349,1,Inter. Game Art & Animation,Donatelli,Vincent M,11,6,0,0,0,1,1,3.333
Spring 2020,COSC,2440,4,Computer Org & Architecture,Shi,Weidong,11,18,1,0,0,23,4,1.716
Spring 2020,COSC,6385,1,Computer Architecture,Gabriel,Edgar,12,0,0,0,0,6,0,2.439
Spring 2020,COSC,4359,1,Intermediate Game Development,Yun,Changhoon,12,0,0,0,0,0,0,3.692
Spring 2020,COSC,6380,1,Digital Image Processing,Mantini,Pranav,12,0,0,0,0,0,0,4
Spring 2020,COSC,6336,1,Natural Language Processing,Solorio Martinez,Thamar Ivette,12,3,0,0,0,6,1,2.45
Spring 2020,COSC,6364,1,Adv Numerical Analysis,Wu,Panruo,15,8,0,0,0,4,0,3.111
Spring 2020,COSC,4370,1,Interactive Computer Graphics,Deng,Zhigang,15,9,0,0,0,5,0,2.739
Spring 2020,COSC,4368,1,Artificial Intelligence,Eick,Christoph F,16,21,3,0,0,22,6,1.97
Spring 2020,COSC,3320,2,Algorithms and Data Structures,Leiss,Ernst L,16,50,4,0,0,33,4,2.031
Spring 2020,COSC,6323,1,Statistical Method in Research,Pavlidis,Ioannis T,17,5,0,0,0,3,0,3.294
Spring 2020,COSC,4332,1,Medical Robotics & Image Inter,Tsekos,Nikolaos V,17,8,0,0,0,4,0,3.241
Spring 2020,COSC,1306,3,Computer Science & Program,Hilford,Victoria,18,11,0,0,0,9,4,2.453
Spring 2020,COSC,3340,1,Intro. to Automata and Comp.,Cheng,Kam-Hoi,18,17,6,0,0,37,2,1.553
Spring 2020,COSC,2430,1,Programming and Data Structure,Rincon Castro,Carlos Alberto,19,12,1,0,0,20,11,1.588
Spring 2020,COSC,4315,1,Programming Languages and Para,Ordonez,Carlos,21,16,1,0,0,15,3,2.261
Spring 2020,COSC,1306,6,Computer Science & Program,Subhlok,Jaspal,21,18,1,0,0,34,7,1.764
Spring 2020,COSC,4337,1,Data Science II,Vilalta,Ricardo,22,6,0,0,0,4,0,3.158
Spring 2020,COSC,1430,3,Introduction to Programming,Chen,Guoning,24,15,4,0,0,35,12,1.52
Spring 2020,COSC,3380,1,Design File and Database Syst,Ramamurthy,Uma,25,30,0,0,0,21,0,2.351
Spring 2020,COSC,6353,2,Software Design,Singh,Raj Kumar,26,0,0,0,0,0,0,4
Spring 2020,COSC,4351,1,Fundamentals of Software Engr,Hilford,Victoria,26,7,1,0,1,0,1,3.509
Spring 2020,COSC,3371,1,Cybersecurity,Laszka,Aron,27,27,3,0,0,11,1,2.817
Spring 2020,COSC,1306,2,Computer Science & Program,Hilford,Victoria,28,14,8,0,0,20,5,2.293
Spring 2020,COSC,3380,2,Design File and Database Syst,Ramamurthy,Uma,30,22,0,0,0,26,0,2.267
Spring 2020,COSC,4354,1,Software Development Practices,Subramaniam,Venkat,34,1,0,0,0,0,1,3.915
Spring 2020,COSC,1430,5,Introduction to Programming,Rincon Castro,Carlos Alberto,34,13,1,0,0,28,10,1.937
Spring 2020,COSC,3360,1,Operating Systems,Paris,Jehan-Francois,35,23,4,0,0,41,7,1.877
Spring 2020,COSC,4351,2,Fundamentals of Software Engr,Singh,Raj Kumar,35,25,2,0,0,8,0,3.105
Spring 2020,COSC,1306,7,Computer Science & Program,Biediger,Daniel Edward,36,18,2,0,0,14,5,2.373
Spring 2020,COSC,3360,2,Operating Systems,Paris,Jehan-Francois,37,18,3,0,0,50,7,1.715
Spring 2020,COSC,1430,1,Introduction to Programming,Toti,Giulia,37,28,2,0,0,10,8,2.344
Spring 2020,COSC,6368,1,Artificial Intelligence,Vilalta,Ricardo,38,10,0,0,0,2,1,3.433
Spring 2020,COSC,4393,1,Digital Image Processing,Mantini,Pranav,43,20,1,0,0,6,8,3.245
Spring 2020,COSC,6376,1,Cloud Computing,Shi,Weidong,44,0,0,0,0,0,0,3.828
Spring 2020,COSC,4377,1,Intro To Computer Networks,Long,Kevin B,51,40,1,0,0,22,0,2.786
Spring 2020,COSC,4353,2,Software Design,Singh,Raj Kumar,59,9,0,0,0,3,0,3.667
Spring 2020,COSC,2440,1,Computer Org & Architecture,Long,Kevin B,62,19,0,0,0,13,3,3.211
Spring 2020,COSC,3320,1,Algorithms and Data Structures,Leiss,Ernst L,68,25,2,0,0,14,8,3.057
Spring 2020,CUIN,3317,2,Kindergarten/Elem Curr & Instr,Edgar,Teresa A,9,8,0,0,0,3,0,2.967
Spring 2020,CUIN,4315,8,Assessment of Children,Topek,Lauren Shane,10,8,0,0,0,1,0,3.101
Spring 2020,CUIN,8318,10,Issues in Urban Education,Hausmann,Robert Carl,11,0,0,0,0,0,0,4
Spring 2020,CUIN,7369,1,Affective Learning and Instru,Freiberg,Harvey Jerome,11,0,0,0,0,0,0,4
Spring 2020,CUIN,8381,1,Research Methods,Handoko,Erwin,11,0,0,0,0,0,0,4
Spring 2020,CUIN,3310,1,Bilingual Education,Avellaneda,Eulises,11,1,0,0,0,1,1,3.59
Spring 2020,CUIN,3351,1,Class Interact Science-Math,Latiolais,Cheryl S,11,2,1,0,0,3,0,2.923
Spring 2020,CUIN,4315,4,Assessment of Children,Harris,Deborah,11,10,0,0,0,0,0,3.349
Spring 2020,CUIN,7361,2,Master Reading Teacher,Hale,Margaret Ann,12,0,0,0,0,0,0,4
Spring 2020,CUIN,8365,1,Org Psych in Health Sci Ed,Hausmann,Robert Carl,12,0,0,0,0,0,0,4
Spring 2020,CUIN,3350,2,Knowing/Learning Science-Math,Latiolais,Cheryl S,12,1,0,0,0,0,0,3.948
Spring 2020,CUIN,6320,1,Tech in Learning Environments,Dogan,Bulent,12,1,0,0,0,0,1,3.619
Spring 2020,CUIN,8366,1,Acad Writing for Doctoral Cand,Sursavage,Mark Daniel,13,0,0,0,0,0,0,4
Spring 2020,CUIN,4315,6,Assessment of Children,Alba,Celeste,13,5,0,0,0,0,0,3.612
Spring 2020,CUIN,7340,1,Issues in Math Education,Chauvot,Jennifer B,14,0,0,0,0,0,0,4
Spring 2020,CUIN,7390,3,Instructional Design,Gronseth,Susie L B,14,1,0,0,0,0,0,3.646
Spring 2020,CUIN,1101,2,Step 1-Teaching Science & Math,Mateer,Ramona Caravella,15,0,0,0,0,0,1,3.75
Spring 2020,CUIN,8370,1,Intro to Educational Research,Zhang,Jie,15,1,0,0,0,0,0,3.938
Spring 2020,CUIN,4397,2,Selected Topics in C&I,Harlow,Laura Michelle,15,1,0,0,0,0,1,3.834
Spring 2020,CUIN,3351,2,Class Interact Science-Math,Manuel,Mariam A,15,2,0,0,0,0,1,3.267
Spring 2020,CUIN,4315,3,Assessment of Children,Wilson,Jahnette,15,3,0,0,0,2,0,3.368
Spring 2020,CUIN,3333,3,Differentiating Diverse Learn,Cooper,Jane McIntosh,15,5,0,0,0,4,0,3.098
Spring 2020,CUIN,7316,1,Design Online Educ Resources,Jones,Chad M,16,0,0,0,0,0,0,3.979
Spring 2020,CUIN,3111,12,Educational Tech Elem Teachers,Nguyen,Phuong Thi Mai,16,1,0,0,0,1,0,3.631
Spring 2020,CUIN,7304,3,Professional Seminar II,Ortiz,Christina M,16,1,0,0,0,1,1,3.367
Spring 2020,CUIN,3312,1,Educational Technology,Zhang,Haoyue,16,3,1,0,0,3,0,2.96
Spring 2020,CUIN,4337,1,Soc Stud in Middle Grades Gen,Brower,Samuel Richard,16,3,0,0,0,6,0,2.854
