TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Fall 2020,PHLS,7393,5,Internship and Practicum,Margulis,Milena A,1,0,0,0,0,0,0,0,4
Fall 2020,MATH,8398,33,Doctoral Research,Haynes,Alan K,0,0,0,0,0,1,0,0,0
Fall 2020,ARTH,7398,2,Ind Grad Stdy Art Hist,Koontz,Rex A,1,0,0,0,0,0,0,0,3.67
Fall 2020,BCHS,6230,2,Grad Biochem Lab Rotation I,Schwartz,Robert J,5,0,0,0,0,0,0,0,4
Fall 2020,MUSI,6112,2,Chamber Music - Woodwind,Bertman,David Garry,1,0,0,0,0,0,0,0,4
Fall 2020,PSYC,7399,22,Masters Thesis,Grigorenko,Elena L,0,0,0,0,0,0,0,0,0
Fall 2020,GEOL,8398,39,Doctoral Research,Wang,Yuxuan,0,0,0,0,0,2,0,0,0
Fall 2020,ECE,8398,39,Doctoral Research,Contreras-Vidal,Jose Luis,0,0,0,0,0,2,0,0,0
Fall 2020,BIOL,6698,5,Special Problems,Zufall,Rebecca A,0,0,0,0,0,1,0,0,0
Fall 2020,HIST,8999,12,Doctoral Dissertation,Perales,Monica,0,0,0,0,0,1,0,0,0
Fall 2020,ECON,8399,2,Doctoral Dissertation,Maheshri,Vikram,0,0,0,0,0,1,0,0,0
Fall 2020,THEA,6171,1,Techniques and Styles,Niederer,Barbara,1,0,0,0,0,0,0,0,4
Fall 2020,HON,4398,7,Independent Study,Sirrieh,Rita Evelyn,1,0,0,0,0,0,0,0,4
Fall 2020,HRMA,6364,3,Hosp. Managerial Accounting,Ramirez,Arlene D,0,1,0,0,0,0,0,0,3.33
Fall 2020,MUSA,6142,6,Graduate Recital III,Hester,Timothy E,0,0,0,0,0,0,0,0,0
Fall 2020,MUSI,6112,2,Chamber Music - Woodwind,Pradervand,Dana S,1,0,0,0,0,0,0,0,4
Fall 2020,PHCA,6398,1,SP- Outcomes Research,Aparasu,Rajender R,2,0,0,0,0,0,0,0,4
Fall 2020,PEP,8699,2,Doctoral Dissertation,Lee,Dong Hun,1,0,0,0,0,0,0,0,4
Fall 2020,THEA,6396,2,Selected Topics Theatre,Christy,Alison L,3,0,0,0,0,0,0,0,4
Fall 2020,GEOL,8999,21,Doctoral Dissertation,Castagna,John P,0,0,0,0,0,1,0,0,0
Fall 2020,MUSI,6106,5,Grad Large Ensemble,Kollar,Jamey Aaron,1,0,0,0,0,0,0,0,4
Fall 2020,INDE,8598,2,Doctoral Research,Lee,Tae Woo,0,0,0,0,0,1,0,0,0
Fall 2020,PSYC,6498,17,Special Problems,Tamber-Rosenau,Benjamin J,2,0,0,0,0,0,0,0,4
Fall 2020,ARCH,6355,2,Houston Architecture,Fox,Stephen,1,0,0,0,0,0,0,0,4
Fall 2020,ARCH,6398,3,Special Problems,Race,Bruce Alan,1,0,0,0,0,0,0,0,3.67
Fall 2020,PSYC,7399,7,Masters Thesis,Kosten,Therese A,0,0,0,0,0,1,0,0,0
Fall 2020,IDNS,1102,1,Physics 1302 Workshop,Pattison,Donna,23,5,0,0,0,1,0,2,3.678
Fall 2020,COMM,2310,15,Writing for Print and Digital,Andre,Jennifer A,10,9,1,0,0,4,0,0,2.848
Fall 2020,OPTO,6132,4,Med Laboratory Proced,Logan,Anna-Kaye M,21,3,0,0,0,0,0,0,3.875
Fall 2020,ELCS,6301,3,Leadership for Equity,Davis,Kenneth D,15,1,0,0,0,0,0,3,3.876
Fall 2020,MSCI,4398,1,Independent Study,Bolanos,Ricardo,4,1,0,0,0,0,0,0,3.8
Fall 2020,HRMA,1301,2,Hospitality Technology,Lee,Minwoo,35,12,2,0,0,12,0,0,2.802
Fall 2020,MECT,3360,1,Automated Manufacturing System,Zhu,Weihang,7,23,6,0,0,20,0,1,1.637
Fall 2020,MECE,4341,1,Mechanical Engr Capstone II,Chang,Christiana,59,16,0,0,0,3,0,0,3.549
Fall 2020,SOC,3312,3,Sociology of Deviance,Nelson,Steven M,28,13,1,0,0,5,0,5,2.849
Fall 2020,MANA,4331,1,Current Issues Human Res Mgmt,Walker,William A,36,6,1,0,0,2,0,1,3.674
Fall 2020,SCLT,4389,30,Practicum in Supply Chain,Kidd,Margaret A,19,8,2,0,0,0,0,0,3.5
Fall 2020,COMM,3382,1,TV II & Sports Production,Crowe,Craig Warren,10,1,0,0,0,0,0,0,3.789
Fall 2020,MUSI,4114,1,Chamber Music - Brass,Bertman,David Garry,4,0,0,0,0,0,0,0,4
Fall 2020,BIOL,1153,9,Pre-Nursing Microbio Lab,Knapp,Richard D,6,8,1,0,0,4,0,2,2.302
Fall 2020,PSYC,4321,11,Abnormal Psychology,Sumlin,Eric Dwayne,22,9,3,0,0,2,0,1,3.342
Fall 2020,WCL,4354,1,Global South Before WWII,Ramirez,Marie Theresa,7,3,0,0,0,0,0,0,3.733
Fall 2020,MUSI,4112,1,Chamber Music - Woodwind,Pradervand,Dana S,8,0,0,0,0,0,0,0,4
Fall 2020,ENGL,1303,53,First Year Writing I,Jones,Philip R,10,3,0,0,0,2,0,1,2.722
Fall 2020,PHYS,8698,7,Doctoral Research,Cherdack,Daniel David,0,0,0,0,0,1,0,0,0
Fall 2020,PHAR,5111,2,Leadership and IPE,Varkey,Divya A,53,2,0,0,0,0,0,0,3.964
Fall 2020,MECT,6345,1,Mat Select for Energy Sources,Robles Hernandez,Francisco C,4,0,0,0,0,0,0,1,3.753
Fall 2020,MECE,2361,3,Intro Mechanical Design,Chang,Christiana,0,3,1,0,0,10,0,0,0.786
Fall 2020,GEOL,1330,19,Physical Geology,Wu,Jonathan En Lin,12,12,3,0,0,17,0,0,1.83
Fall 2020,ENGL,2360,50,Western World Lit I--Honors,Liddell,Robert B,30,17,0,0,0,3,0,1,3.244
