catoid,catalog_title,classification,page_number,coid,course_title
52,2024-2025 Undergraduate Catalog,undergraduate,1,267687,ACCT 2301 -  Principles of Financial Accounting
52,2024-2025 Undergraduate Catalog,undergraduate,1,267688,ACCT 2302 -  Principles of Managerial Accounting
52,2024-2025 Undergraduate Catalog,undergraduate,1,267689,ACCT 3377 -  Cost Accounting
52,2024-2025 Undergraduate Catalog,undergraduate,1,267690,ACCT 3366 -  Financial Reporting Frameworks
52,2024-2025 Undergraduate Catalog,undergraduate,1,267691,ACCT 3367 -  Intermediate Accounting I
52,2024-2025 Undergraduate Catalog,undergraduate,1,267692,ACCT 3368 -  Intermediate Accounting II
52,2024-2025 Undergraduate Catalog,undergraduate,1,267693,ACCT 3371 -  Accounting Information Systems
52,2024-2025 Undergraduate Catalog,undergraduate,1,267696,ACCT 4198 -  Independent Study
52,2024-2025 Undergraduate Catalog,undergraduate,1,267698,ACCT 4330 -  Advanced Accounting
52,2024-2025 Undergraduate Catalog,undergraduate,1,267699,ACCT 4331 -  Federal Income Tax
52,2024-2025 Undergraduate Catalog,undergraduate,2,267700,ACCT 4332 -  Corporate Taxation
52,2024-2025 Undergraduate Catalog,undergraduate,2,267701,ACCT 4335 -  Financial Statement Auditing
52,2024-2025 Undergraduate Catalog,undergraduate,2,267702,ACCT 4396 -  Accounting Internship
52,2024-2025 Undergraduate Catalog,undergraduate,2,267704,ACCT 4375 -  Internal Audit and Entity Control Environment
52,2024-2025 Undergraduate Catalog,undergraduate,2,267706,ACCT 4378 -  Oil and Gas Accounting I
52,2024-2025 Undergraduate Catalog,undergraduate,2,267707,ACCT 4379 -  Enterprise Risk Management
52,2024-2025 Undergraduate Catalog,undergraduate,2,267708,ACCT 4380 -  Control & Security of Financial Information: Theory and Practice
52,2024-2025 Undergraduate Catalog,undergraduate,2,267709,ACCT 4397 -  Selected Topics in Accounting
52,2024-2025 Undergraduate Catalog,undergraduate,2,267710,ACCT 4398 -  Independent Study
52,2024-2025 Undergraduate Catalog,undergraduate,2,267711,ACCT 5330 -  Advanced Accounting
52,2024-2025 Undergraduate Catalog,undergraduate,3,267712,ACCT 5331 -  Federal Income Tax
