catoid,catalog_title,classification,page_number,coid,course_title
37,2020-2021 Graduate Catalog,graduate,1,178176,ACCT 7385 - Fraud Examination
37,2020-2021 Graduate Catalog,graduate,1,178079,ARCH 6198 - Special Problems
37,2020-2021 Graduate Catalog,graduate,1,178081,ARCH 6398 - Special Problems
37,2020-2021 Graduate Catalog,graduate,1,178090,ARCH 6301 - Visual Studies I
37,2020-2021 Graduate Catalog,graduate,1,178091,ARCH 6302 - Visual Studies II
37,2020-2021 Graduate Catalog,graduate,1,178094,ARCH 6324 - High Rise Structures
37,2020-2021 Graduate Catalog,graduate,1,178099,ARCH 6329 - Building Systems Integration
37,2020-2021 Graduate Catalog,graduate,1,178101,ARCH 6331 - Computer Aided Design in Arch
37,2020-2021 Graduate Catalog,graduate,1,178103,ARCH 6333 - Adv Computer Modeling in Arch
37,2020-2021 Graduate Catalog,graduate,1,178104,ARCH 6335 - Computer Visualizatn for Arch
37,2020-2021 Graduate Catalog,graduate,2,178105,ARCH 6338 - Graphic Realization in Design
37,2020-2021 Graduate Catalog,graduate,2,178106,ARCH 6340 - Architectural History Survey I
37,2020-2021 Graduate Catalog,graduate,2,178107,ARCH 6341 - Architectural History Survey II
37,2020-2021 Graduate Catalog,graduate,2,178108,ARCH 6342 - Shape of the City
37,2020-2021 Graduate Catalog,graduate,2,178109,ARCH 6343 - Latin America Architecture
37,2020-2021 Graduate Catalog,graduate,2,178112,ARCH 6347 - Evolution of Architectural Interiors
37,2020-2021 Graduate Catalog,graduate,2,178115,ARCH 6351 - Criticism in Architecture
37,2020-2021 Graduate Catalog,graduate,2,178116,"ARCH 6352 - Wright, Mies, and Corbusier"
37,2020-2021 Graduate Catalog,graduate,2,178117,ARCH 6353 - Postmodern Arch Since 1950
37,2020-2021 Graduate Catalog,graduate,2,178118,ARCH 6354 - The Culture of Architecture
37,2020-2021 Graduate Catalog,graduate,3,178119,ARCH 6355 - Houston Architecture
37,2020-2021 Graduate Catalog,graduate,3,178120,ARCH 6356 - City as Palimpsest: Paris
37,2020-2021 Graduate Catalog,graduate,3,178121,ARCH 6359 - Modern Architecture & Urbanism
37,2020-2021 Graduate Catalog,graduate,3,178122,ARCH 6360 - Practice of Arch
37,2020-2021 Graduate Catalog,graduate,3,178123,ARCH 6361 - Integrated Practice: Material Representation and Detailing
37,2020-2021 Graduate Catalog,graduate,3,178126,ARCH 6366 - Materials and Methods
