catoid,catalog_title,classification,page_number,coid,course_title
44,2022-2023 Undergraduate Catalog,undergraduate,1,209813,ACCT 2301 -  Principles of Financial Accounting
44,2022-2023 Undergraduate Catalog,undergraduate,1,209814,ACCT 2302 -  Principles of Managerial Accounting
44,2022-2023 Undergraduate Catalog,undergraduate,1,209815,ACCT 3377 -  Cost Accounting
44,2022-2023 Undergraduate Catalog,undergraduate,1,209816,ACCT 3366 -  Financial Reporting Frameworks
44,2022-2023 Undergraduate Catalog,undergraduate,1,209817,ACCT 3367 -  Intermediate Accounting I
44,2022-2023 Undergraduate Catalog,undergraduate,1,209818,ACCT 3368 -  Intermediate Accounting II
44,2022-2023 Undergraduate Catalog,undergraduate,1,209819,ACCT 3371 -  Accounting Information Systems
44,2022-2023 Undergraduate Catalog,undergraduate,1,209822,ACCT 4198 -  Independent Study
44,2022-2023 Undergraduate Catalog,undergraduate,1,209824,ACCT 4330 -  Advanced Accounting
44,2022-2023 Undergraduate Catalog,undergraduate,1,209825,ACCT 4331 -  Federal Income Tax-Individual
44,2022-2023 Undergraduate Catalog,undergraduate,2,209826,ACCT 4332 -  Corporate Taxation
44,2022-2023 Undergraduate Catalog,undergraduate,2,209827,ACCT 4335 -  Financial Statement Auditing
44,2022-2023 Undergraduate Catalog,undergraduate,2,209828,ACCT 4396 -  Accounting Internship
44,2022-2023 Undergraduate Catalog,undergraduate,2,209830,ACCT 4375 -  Internal Audit and Entity Control Environment
44,2022-2023 Undergraduate Catalog,undergraduate,2,209832,ACCT 4378 -  Oil and Gas Accounting I
44,2022-2023 Undergraduate Catalog,undergraduate,2,209833,ACCT 4379 -  Enterprise Risk Management
44,2022-2023 Undergraduate Catalog,undergraduate,2,209834,ACCT 4380 -  Control & Security of Financial Information: Theory and Practice
44,2022-2023 Undergraduate Catalog,undergraduate,2,209835,ACCT 4397 -  Selected Topics in Accounting
44,2022-2023 Undergraduate Catalog,undergraduate,2,209836,ACCT 4398 -  Independent Study
44,2022-2023 Undergraduate Catalog,undergraduate,2,209837,ACCT 5330 -  Advanced Accounting
44,2022-2023 Undergraduate Catalog,undergraduate,3,209838,ACCT 5331 -  Federal Income Tax - Individual
44,2022-2023 Undergraduate Catalog,undergraduate,3,209839,ACCT 5332 -  Corporate Taxation
44,2022-2023 Undergraduate Catalog,undergraduate,3,209840,ACCT 5335 -  Financial Statement Auditing
44,2022-2023 Undergraduate Catalog,undergraduate,3,209841,ACCT 5337 -  Management Accounting
44,2022-2023 Undergraduate Catalog,undergraduate,3,209842,ACCT 5367 -  Intermediate Accounting I
44,2022-2023 Undergraduate Catalog,undergraduate,3,209843,ACCT 5368 -  Intermediate Accounting II
44,2022-2023 Undergraduate Catalog,undergraduate,3,209844,ACCT 5371 -  Accounting Information Systems
44,2022-2023 Undergraduate Catalog,undergraduate,3,209845,ACCT 5376 -  Advanced Financial Statement Auditing
44,2022-2023 Undergraduate Catalog,undergraduate,3,209846,ACCT 5377 -  Government and Nonprofit Accounting
44,2022-2023 Undergraduate Catalog,undergraduate,3,209847,ACCT 5397 -  Selected Topics in Accounting
44,2022-2023 Undergraduate Catalog,undergraduate,4,209849,AAS 2320 -  Intro To African American Stdy
44,2022-2023 Undergraduate Catalog,undergraduate,4,209851,AAS 2330 -  Black Liberation Theology
44,2022-2023 Undergraduate Catalog,undergraduate,4,209852,AAS 3301 -  Hip Hop History and Culture
44,2022-2023 Undergraduate Catalog,undergraduate,4,209853,AAS 3307 -  Africana Spiritual Transformation
44,2022-2023 Undergraduate Catalog,undergraduate,4,209854,AAS 3310 -  Afr Amer Exper Through Theatre
44,2022-2023 Undergraduate Catalog,undergraduate,4,209855,AAS 3330 -  African American Oral History
44,2022-2023 Undergraduate Catalog,undergraduate,4,209856,AAS 3340 -  African Amer Sociolinguistics
44,2022-2023 Undergraduate Catalog,undergraduate,4,209857,AAS 3348 -  African Americans and the Law
44,2022-2023 Undergraduate Catalog,undergraduate,4,209858,AAS 3350 -  Slavery and Race Relations
44,2022-2023 Undergraduate Catalog,undergraduate,4,209859,AAS 3354 -  African Nationalist Thought and Ethics in the US
44,2022-2023 Undergraduate Catalog,undergraduate,5,209860,AAS 3356 -  Africana Thought & Philosophy
44,2022-2023 Undergraduate Catalog,undergraduate,5,209861,AAS 3379 -  Africana Oratory
44,2022-2023 Undergraduate Catalog,undergraduate,5,209862,AAS 4300 -  African Philosophy
44,2022-2023 Undergraduate Catalog,undergraduate,5,209863,AAS 4330 -  The Black Church in America
44,2022-2023 Undergraduate Catalog,undergraduate,5,209864,AAS 4370 -  Sem. African American Studies
44,2022-2023 Undergraduate Catalog,undergraduate,5,209865,AAS 4373 -  Black Leaders of 20Th Century
44,2022-2023 Undergraduate Catalog,undergraduate,5,209866,AAS 4377 -  Seminar On W.E.B. Dubois
44,2022-2023 Undergraduate Catalog,undergraduate,5,209868,AFSC 1201 -  Foundations of the USAF I
44,2022-2023 Undergraduate Catalog,undergraduate,5,209869,AFSC 1202 -  Foundations of the USAF II
44,2022-2023 Undergraduate Catalog,undergraduate,5,209870,AFSC 2201 -  Evolution of Air Power I
44,2022-2023 Undergraduate Catalog,undergraduate,6,209871,AFSC 2202 -  Evolution of Air Power II
44,2022-2023 Undergraduate Catalog,undergraduate,6,209872,AFSC 3301 -  Air Force Leadership Studies I
44,2022-2023 Undergraduate Catalog,undergraduate,6,209873,AFSC 3302 -  Air Force Leadership Studies II
44,2022-2023 Undergraduate Catalog,undergraduate,6,209874,AFSC 3801 -  Field Training
44,2022-2023 Undergraduate Catalog,undergraduate,6,209875,AFSC 4301 -  National Security Affairs I
44,2022-2023 Undergraduate Catalog,undergraduate,6,209876,AFSC 4302 -  National Security Affairs II
44,2022-2023 Undergraduate Catalog,undergraduate,6,209881,SGNL 1301 -  Elementary Sign Language I
44,2022-2023 Undergraduate Catalog,undergraduate,6,209882,SGNL 1302 -  Elementary Sign Language II
44,2022-2023 Undergraduate Catalog,undergraduate,6,209884,SGNL 2301 -  Intermediate Sign Language I
44,2022-2023 Undergraduate Catalog,undergraduate,6,209885,SGNL 2302 -  Intermediate Sign Language II
44,2022-2023 Undergraduate Catalog,undergraduate,7,209887,ASLI 2335 -  Privilege & Equity in ASL Interpreting
44,2022-2023 Undergraduate Catalog,undergraduate,7,209888,ASLI 3430 -  Consecutive Interpreting and Translation
44,2022-2023 Undergraduate Catalog,undergraduate,7,209889,ASLI 3333 -  Simultaneous Interpreting: Foundational Skills
44,2022-2023 Undergraduate Catalog,undergraduate,7,209891,ASLI 3460 -  Advanced American Sign Language
44,2022-2023 Undergraduate Catalog,undergraduate,7,209892,ASLI 4335 -  Advanced Interpreting Techniques and Skills in ASL/English
