catoid,catalog_title,classification,page_number,coid,course_title
53,2024-2025 Graduate Catalog,graduate,1,275879,ARCH 6198 - Special Problems
53,2024-2025 Graduate Catalog,graduate,1,275881,ARCH 6398 - Special Problems
53,2024-2025 Graduate Catalog,graduate,1,275890,ARCH 6301 - Visual Studies I
53,2024-2025 Graduate Catalog,graduate,1,275891,ARCH 6302 - Visual Studies II
53,2024-2025 Graduate Catalog,graduate,1,275894,ARCH 6324 - High Rise Structures
53,2024-2025 Graduate Catalog,graduate,1,275899,ARCH 6329 - Building Systems Integration
53,2024-2025 Graduate Catalog,graduate,1,275901,ARCH 6331 - Computer Aided Design in Arch
53,2024-2025 Graduate Catalog,graduate,1,275903,ARCH 6333 - Adv Computer Modeling in Arch
53,2024-2025 Graduate Catalog,graduate,1,275904,ARCH 6335 - Computer Visualizatn for Arch
53,2024-2025 Graduate Catalog,graduate,1,275905,ARCH 6338 - Graphic Realization in Design
53,2024-2025 Graduate Catalog,graduate,2,275906,ARCH 6340 - Architectural History Survey I
53,2024-2025 Graduate Catalog,graduate,2,275907,ARCH 6341 - Architectural History Survey II
53,2024-2025 Graduate Catalog,graduate,2,275908,ARCH 6342 - Shape of the City
53,2024-2025 Graduate Catalog,graduate,2,275909,ARCH 6343 - Latin America Architecture
53,2024-2025 Graduate Catalog,graduate,2,275912,ARCH 6347 - Evolution of Architectural Interiors
53,2024-2025 Graduate Catalog,graduate,2,275915,ARCH 6351 - Criticism in Architecture
53,2024-2025 Graduate Catalog,graduate,2,275916,"ARCH 6352 - Wright, Mies, and Corbusier"
53,2024-2025 Graduate Catalog,graduate,2,275917,ARCH 6353 - Postmodern Arch Since 1950
53,2024-2025 Graduate Catalog,graduate,2,275918,ARCH 6354 - The Culture of Architecture
53,2024-2025 Graduate Catalog,graduate,2,275919,ARCH 6355 - Houston Architecture
53,2024-2025 Graduate Catalog,graduate,3,275920,ARCH 6356 - City as Palimpsest: Paris
53,2024-2025 Graduate Catalog,graduate,3,275921,ARCH 6359 - Modern Architecture & Urbanism
53,2024-2025 Graduate Catalog,graduate,3,275922,ARCH 6360 - Practice of Arch
53,2024-2025 Graduate Catalog,graduate,3,275923,ARCH 6361 - Integrated Practice: Material Representation and Detailing
53,2024-2025 Graduate Catalog,graduate,3,275926,ARCH 6366 - Materials and Methods
53,2024-2025 Graduate Catalog,graduate,3,275928,ARCH 6373 - Urban Environments
53,2024-2025 Graduate Catalog,graduate,3,275929,"ARCH 6375 - Capitalism, Architecture, and the City"
53,2024-2025 Graduate Catalog,graduate,3,275930,ARCH 6376 - Urban Determinants
53,2024-2025 Graduate Catalog,graduate,3,275932,ARCH 6378 - Hist Preservation
53,2024-2025 Graduate Catalog,graduate,3,275933,ARCH 6380 - Architecture Plus Film
53,2024-2025 Graduate Catalog,graduate,4,275934,ARCH 6393 - Master’s Project Preparation
53,2024-2025 Graduate Catalog,graduate,4,275935,ARCH 6397 - Sel Tpcs-Arc/Urbn Desgn
53,2024-2025 Graduate Catalog,graduate,4,275942,ARCH 6600 - Architecture Design Studio I
53,2024-2025 Graduate Catalog,graduate,4,275943,ARCH 6601 - Architecture Design Studio II
53,2024-2025 Graduate Catalog,graduate,4,275944,ARCH 6602 - Arch Design/Build Workshop
