catoid,catalog_title,classification,page_number,coid,course_title
33,2019-2020 Graduate Catalog,graduate,1,156799,ARCH 6198 - Special Problems
33,2019-2020 Graduate Catalog,graduate,1,156801,ARCH 6398 - Special Problems
33,2019-2020 Graduate Catalog,graduate,1,156803,ARCH 6598 - Special Problems
33,2019-2020 Graduate Catalog,graduate,1,156804,ARCH 6698 - Special Problems
33,2019-2020 Graduate Catalog,graduate,1,156810,ARCH 6301 - Visual Studies I
33,2019-2020 Graduate Catalog,graduate,1,156811,ARCH 6302 - Visual Studies II
33,2019-2020 Graduate Catalog,graduate,1,156812,ARCH 6320 - Technology I
33,2019-2020 Graduate Catalog,graduate,1,156813,ARCH 6321 - Technology 2
33,2019-2020 Graduate Catalog,graduate,1,156814,ARCH 6324 - High Rise Structures
33,2019-2020 Graduate Catalog,graduate,1,156815,ARCH 6325 - Conceptual Structural Systems
33,2019-2020 Graduate Catalog,graduate,2,156816,ARCH 6326 - Conceptual Environmental Sys
33,2019-2020 Graduate Catalog,graduate,2,156817,ARCH 6327 - Quantitative Structural System
33,2019-2020 Graduate Catalog,graduate,2,156818,ARCH 6328 - Quantitative Environmental Sys
33,2019-2020 Graduate Catalog,graduate,2,156819,ARCH 6329 - Building Systems Integration
33,2019-2020 Graduate Catalog,graduate,2,156821,ARCH 6331 - Computer Aided Design in Arch
33,2019-2020 Graduate Catalog,graduate,2,156823,ARCH 6333 - Adv Computer Modeling in Arch
33,2019-2020 Graduate Catalog,graduate,2,156824,ARCH 6335 - Computer Visualizatn for Arch
33,2019-2020 Graduate Catalog,graduate,2,156825,ARCH 6338 - Graphic Realization in Design
33,2019-2020 Graduate Catalog,graduate,2,156826,ARCH 6340 - Architectural History Survey I
33,2019-2020 Graduate Catalog,graduate,2,156827,ARCH 6341 - Architectural History Survey II
33,2019-2020 Graduate Catalog,graduate,3,156828,ARCH 6342 - Shape of the City
33,2019-2020 Graduate Catalog,graduate,3,156829,ARCH 6343 - Latin America Architecture
