catoid,catalog_title,classification,page_number,coid,course_title
34,2019-2020 Undergraduate Catalog,undergraduate,1,164989,ACCT 2331 -  Accounting Principles 1 - Financial
34,2019-2020 Undergraduate Catalog,undergraduate,1,164990,ACCT 2332 -  Accounting Principles 2 -Managerial
34,2019-2020 Undergraduate Catalog,undergraduate,1,164991,ACCT 3377 -  Cost Accounting
34,2019-2020 Undergraduate Catalog,undergraduate,1,164992,ACCT 3366 -  Financial Reporting Frameworks
34,2019-2020 Undergraduate Catalog,undergraduate,1,164993,ACCT 3367 -  Intermediate Accounting I
34,2019-2020 Undergraduate Catalog,undergraduate,1,164994,ACCT 3368 -  Intermediate Accounting II
34,2019-2020 Undergraduate Catalog,undergraduate,1,164995,ACCT 3371 -  Accounting Information Systems
34,2019-2020 Undergraduate Catalog,undergraduate,1,164996,ACCT 3399 -  Senior Honors Thesis
34,2019-2020 Undergraduate Catalog,undergraduate,1,164997,ACCT 4399 -  Senior Honors Thesis
34,2019-2020 Undergraduate Catalog,undergraduate,1,164998,ACCT 4198 -  Independent Study
34,2019-2020 Undergraduate Catalog,undergraduate,2,165000,ACCT 4330 -  Advanced Accounting
34,2019-2020 Undergraduate Catalog,undergraduate,2,165001,ACCT 4331 -  Federal Income Tax-Individual
34,2019-2020 Undergraduate Catalog,undergraduate,2,165002,ACCT 4332 -  Corporate Taxation
34,2019-2020 Undergraduate Catalog,undergraduate,2,165003,ACCT 4335 -  Financial Statement Auditing
34,2019-2020 Undergraduate Catalog,undergraduate,2,165004,ACCT 4396 -  Accounting Internship
34,2019-2020 Undergraduate Catalog,undergraduate,2,165005,ACCT 4344 -  Financial Statement Analysis
34,2019-2020 Undergraduate Catalog,undergraduate,2,165006,ACCT 4375 -  Internal Audit and Entity Control Environment
34,2019-2020 Undergraduate Catalog,undergraduate,2,165007,ACCT 4377 -  Government and Nonprofit Accounting
34,2019-2020 Undergraduate Catalog,undergraduate,2,165008,ACCT 4378 -  Oil and Gas Accounting I
34,2019-2020 Undergraduate Catalog,undergraduate,2,165009,ACCT 4379 -  Enterprise Risk Management
34,2019-2020 Undergraduate Catalog,undergraduate,3,165010,ACCT 4380 -  Control & Security of Financial Information: Theory and Practice
34,2019-2020 Undergraduate Catalog,undergraduate,3,165011,ACCT 4397 -  Selected Topics in Accounting
34,2019-2020 Undergraduate Catalog,undergraduate,3,165012,ACCT 4398 -  Independent Study
34,2019-2020 Undergraduate Catalog,undergraduate,3,165013,ACCT 5330 -  Advanced Accounting
34,2019-2020 Undergraduate Catalog,undergraduate,3,165014,ACCT 5331 -  Federal Income Tax - Individual
34,2019-2020 Undergraduate Catalog,undergraduate,3,165015,ACCT 5332 -  Corporate Taxation
34,2019-2020 Undergraduate Catalog,undergraduate,3,165016,ACCT 5335 -  Financial Statement Auditing
34,2019-2020 Undergraduate Catalog,undergraduate,3,165017,ACCT 5337 -  Management Accounting
34,2019-2020 Undergraduate Catalog,undergraduate,3,165018,ACCT 5367 -  Intermediate Accounting 1
34,2019-2020 Undergraduate Catalog,undergraduate,3,165019,ACCT 5368 -  Intermediate Accounting 2
34,2019-2020 Undergraduate Catalog,undergraduate,4,165020,ACCT 5371 -  Accounting Information Systems
34,2019-2020 Undergraduate Catalog,undergraduate,4,165021,ACCT 5376 -  Advanced Financial Statement Auditing
34,2019-2020 Undergraduate Catalog,undergraduate,4,165022,ACCT 5377 -  Government and Nonprofit Accounting
34,2019-2020 Undergraduate Catalog,undergraduate,4,165023,ACCT 5397 -  Selected Topics in Accounting
