catoid,catalog_title,classification,page_number,coid,course_title
40,2021-2022 Graduate Catalog,graduate,1,185054,ARCH 6198 - Special Problems
40,2021-2022 Graduate Catalog,graduate,1,185056,ARCH 6398 - Special Problems
40,2021-2022 Graduate Catalog,graduate,1,185065,ARCH 6301 - Visual Studies I
40,2021-2022 Graduate Catalog,graduate,1,185066,ARCH 6302 - Visual Studies II
40,2021-2022 Graduate Catalog,graduate,1,185069,ARCH 6324 - High Rise Structures
40,2021-2022 Graduate Catalog,graduate,1,185074,ARCH 6329 - Building Systems Integration
40,2021-2022 Graduate Catalog,graduate,1,185076,ARCH 6331 - Computer Aided Design in Arch
40,2021-2022 Graduate Catalog,graduate,1,185078,ARCH 6333 - Adv Computer Modeling in Arch
40,2021-2022 Graduate Catalog,graduate,1,185079,ARCH 6335 - Computer Visualizatn for Arch
40,2021-2022 Graduate Catalog,graduate,1,185080,ARCH 6338 - Graphic Realization in Design
40,2021-2022 Graduate Catalog,graduate,2,185081,ARCH 6340 - Architectural History Survey I
40,2021-2022 Graduate Catalog,graduate,2,185082,ARCH 6341 - Architectural History Survey II
40,2021-2022 Graduate Catalog,graduate,2,185083,ARCH 6342 - Shape of the City
40,2021-2022 Graduate Catalog,graduate,2,185084,ARCH 6343 - Latin America Architecture
40,2021-2022 Graduate Catalog,graduate,2,185087,ARCH 6347 - Evolution of Architectural Interiors
40,2021-2022 Graduate Catalog,graduate,2,185090,ARCH 6351 - Criticism in Architecture
40,2021-2022 Graduate Catalog,graduate,2,185091,"ARCH 6352 - Wright, Mies, and Corbusier"
40,2021-2022 Graduate Catalog,graduate,2,185092,ARCH 6353 - Postmodern Arch Since 1950
40,2021-2022 Graduate Catalog,graduate,2,185093,ARCH 6354 - The Culture of Architecture
40,2021-2022 Graduate Catalog,graduate,2,185094,ARCH 6355 - Houston Architecture
40,2021-2022 Graduate Catalog,graduate,3,185095,ARCH 6356 - City as Palimpsest: Paris
40,2021-2022 Graduate Catalog,graduate,3,185096,ARCH 6359 - Modern Architecture & Urbanism
40,2021-2022 Graduate Catalog,graduate,3,185097,ARCH 6360 - Practice of Arch
40,2021-2022 Graduate Catalog,graduate,3,185098,ARCH 6361 - Integrated Practice: Material Representation and Detailing
40,2021-2022 Graduate Catalog,graduate,3,185101,ARCH 6366 - Materials and Methods
40,2021-2022 Graduate Catalog,graduate,3,185103,ARCH 6373 - Urban Environments
40,2021-2022 Graduate Catalog,graduate,3,185104,"ARCH 6375 - Capitalism, Architecture, and the City"
40,2021-2022 Graduate Catalog,graduate,3,185105,ARCH 6376 - Urban Determinants
40,2021-2022 Graduate Catalog,graduate,3,185107,ARCH 6378 - Hist Preservation
40,2021-2022 Graduate Catalog,graduate,3,185108,ARCH 6380 - Architecture Plus Film
40,2021-2022 Graduate Catalog,graduate,4,185109,ARCH 6393 - Master’s Project Preparation
40,2021-2022 Graduate Catalog,graduate,4,185110,ARCH 6397 - Sel Tpcs-Arc/Urbn Desgn
40,2021-2022 Graduate Catalog,graduate,4,185117,ARCH 6600 - Architecture Design Studio I
40,2021-2022 Graduate Catalog,graduate,4,185118,ARCH 6601 - Architecture Design Studio II
40,2021-2022 Graduate Catalog,graduate,4,185119,ARCH 6602 - Arch Design/Build Workshop
40,2021-2022 Graduate Catalog,graduate,4,185120,ARCH 6603 - Architecture Design Studio III
