catoid,catalog_title,classification,page_number,coid,course_title
41,2021-2022 Undergraduate Catalog,undergraduate,1,193244,ACCT 2301 -  Principles of Financial Accounting
41,2021-2022 Undergraduate Catalog,undergraduate,1,193245,ACCT 2302 -  Principles of Managerial Accounting
41,2021-2022 Undergraduate Catalog,undergraduate,1,193246,ACCT 3377 -  Cost Accounting
41,2021-2022 Undergraduate Catalog,undergraduate,1,193247,ACCT 3366 -  Financial Reporting Frameworks
41,2021-2022 Undergraduate Catalog,undergraduate,1,193248,ACCT 3367 -  Intermediate Accounting I
41,2021-2022 Undergraduate Catalog,undergraduate,1,193249,ACCT 3368 -  Intermediate Accounting II
41,2021-2022 Undergraduate Catalog,undergraduate,1,193250,ACCT 3371 -  Accounting Information Systems
41,2021-2022 Undergraduate Catalog,undergraduate,1,193253,ACCT 4198 -  Independent Study
41,2021-2022 Undergraduate Catalog,undergraduate,1,193255,ACCT 4330 -  Advanced Accounting
41,2021-2022 Undergraduate Catalog,undergraduate,1,193256,ACCT 4331 -  Federal Income Tax-Individual
41,2021-2022 Undergraduate Catalog,undergraduate,2,193257,ACCT 4332 -  Corporate Taxation
41,2021-2022 Undergraduate Catalog,undergraduate,2,193258,ACCT 4335 -  Financial Statement Auditing
41,2021-2022 Undergraduate Catalog,undergraduate,2,193259,ACCT 4396 -  Accounting Internship
41,2021-2022 Undergraduate Catalog,undergraduate,2,193261,ACCT 4375 -  Internal Audit and Entity Control Environment
41,2021-2022 Undergraduate Catalog,undergraduate,2,193263,ACCT 4378 -  Oil and Gas Accounting I
41,2021-2022 Undergraduate Catalog,undergraduate,2,193264,ACCT 4379 -  Enterprise Risk Management
41,2021-2022 Undergraduate Catalog,undergraduate,2,193265,ACCT 4380 -  Control & Security of Financial Information: Theory and Practice
41,2021-2022 Undergraduate Catalog,undergraduate,2,193266,ACCT 4397 -  Selected Topics in Accounting
41,2021-2022 Undergraduate Catalog,undergraduate,2,193267,ACCT 4398 -  Independent Study
41,2021-2022 Undergraduate Catalog,undergraduate,2,193268,ACCT 5330 -  Advanced Accounting
41,2021-2022 Undergraduate Catalog,undergraduate,3,193269,ACCT 5331 -  Federal Income Tax - Individual
41,2021-2022 Undergraduate Catalog,undergraduate,3,193270,ACCT 5332 -  Corporate Taxation
41,2021-2022 Undergraduate Catalog,undergraduate,3,193271,ACCT 5335 -  Financial Statement Auditing
41,2021-2022 Undergraduate Catalog,undergraduate,3,193272,ACCT 5337 -  Management Accounting
41,2021-2022 Undergraduate Catalog,undergraduate,3,193273,ACCT 5367 -  Intermediate Accounting I
41,2021-2022 Undergraduate Catalog,undergraduate,3,193274,ACCT 5368 -  Intermediate Accounting II
41,2021-2022 Undergraduate Catalog,undergraduate,3,193275,ACCT 5371 -  Accounting Information Systems
41,2021-2022 Undergraduate Catalog,undergraduate,3,193276,ACCT 5376 -  Advanced Financial Statement Auditing
41,2021-2022 Undergraduate Catalog,undergraduate,3,193277,ACCT 5377 -  Government and Nonprofit Accounting
41,2021-2022 Undergraduate Catalog,undergraduate,3,193278,ACCT 5397 -  Selected Topics in Accounting
41,2021-2022 Undergraduate Catalog,undergraduate,4,193280,AAS 2320 -  Intro To African American Stdy
41,2021-2022 Undergraduate Catalog,undergraduate,4,193282,AAS 2330 -  Black Liberation Theology
41,2021-2022 Undergraduate Catalog,undergraduate,4,193283,AAS 3301 -  Hip Hop History and Culture
41,2021-2022 Undergraduate Catalog,undergraduate,4,193284,AAS 3307 -  Africana Spiritual Transformation
41,2021-2022 Undergraduate Catalog,undergraduate,4,193285,AAS 3310 -  Afr Amer Exper Through Theatre
41,2021-2022 Undergraduate Catalog,undergraduate,4,193286,AAS 3330 -  African American Oral History
41,2021-2022 Undergraduate Catalog,undergraduate,4,193287,AAS 3340 -  African Amer Sociolinguistics
41,2021-2022 Undergraduate Catalog,undergraduate,4,193288,AAS 3348 -  African Americans and the Law
41,2021-2022 Undergraduate Catalog,undergraduate,4,193289,AAS 3350 -  Slavery and Race Relations
41,2021-2022 Undergraduate Catalog,undergraduate,4,193290,AAS 3354 -  African Nationalist Thought and Ethics in the US
41,2021-2022 Undergraduate Catalog,undergraduate,5,193291,AAS 3356 -  Africana Thought & Philosophy
41,2021-2022 Undergraduate Catalog,undergraduate,5,193292,AAS 3379 -  Africana Oratory
41,2021-2022 Undergraduate Catalog,undergraduate,5,193293,AAS 4300 -  African Philosophy
41,2021-2022 Undergraduate Catalog,undergraduate,5,193294,AAS 4330 -  The Black Church in America
41,2021-2022 Undergraduate Catalog,undergraduate,5,193295,AAS 4370 -  Sem. African American Studies
41,2021-2022 Undergraduate Catalog,undergraduate,5,193296,AAS 4373 -  Black Leaders of 20Th Century
41,2021-2022 Undergraduate Catalog,undergraduate,5,193297,AAS 4377 -  Seminar On W.E.B. Dubois
41,2021-2022 Undergraduate Catalog,undergraduate,5,193298,AAS 4440 -  Model African Union Seminar
41,2021-2022 Undergraduate Catalog,undergraduate,5,193299,AFSC 1201 -  Foundations of the USAF I
41,2021-2022 Undergraduate Catalog,undergraduate,5,193300,AFSC 1202 -  Foundations of the USAF II
41,2021-2022 Undergraduate Catalog,undergraduate,6,193301,AFSC 2201 -  Evolution of Air Power I
41,2021-2022 Undergraduate Catalog,undergraduate,6,193302,AFSC 2202 -  Evolution of Air Power II
41,2021-2022 Undergraduate Catalog,undergraduate,6,193303,AFSC 3301 -  Air Force Leadership Studies I
41,2021-2022 Undergraduate Catalog,undergraduate,6,193304,AFSC 3302 -  Air Force Leadership Studies II
41,2021-2022 Undergraduate Catalog,undergraduate,6,193305,AFSC 3801 -  Field Training
41,2021-2022 Undergraduate Catalog,undergraduate,6,193306,AFSC 4301 -  National Security Affairs I
41,2021-2022 Undergraduate Catalog,undergraduate,6,193307,AFSC 4302 -  National Security Affairs II
41,2021-2022 Undergraduate Catalog,undergraduate,6,193312,SGNL 1301 -  Elementary Sign Language I
41,2021-2022 Undergraduate Catalog,undergraduate,6,193313,SGNL 1302 -  Elementary Sign Language II
41,2021-2022 Undergraduate Catalog,undergraduate,6,193315,SGNL 2301 -  Intermediate Sign Language I
41,2021-2022 Undergraduate Catalog,undergraduate,7,193316,SGNL 2302 -  Intermediate Sign Language II
41,2021-2022 Undergraduate Catalog,undergraduate,7,193318,ASLI 2335 -  Privilege & Equity in ASL Interpreting
41,2021-2022 Undergraduate Catalog,undergraduate,7,193319,ASLI 3430 -  Consecutive Interpreting and Translation
41,2021-2022 Undergraduate Catalog,undergraduate,7,193320,ASLI 3333 -  Simultaneous Interpreting: Foundational Skills
41,2021-2022 Undergraduate Catalog,undergraduate,7,193322,ASLI 3460 -  Advanced American Sign Language
41,2021-2022 Undergraduate Catalog,undergraduate,7,193323,ASLI 4335 -  Advanced Interpreting Techniques and Skills in ASL/English
41,2021-2022 Undergraduate Catalog,undergraduate,7,193324,ASLI 4346 -  American Sign Language Transliteration and Educational Interpreting
41,2021-2022 Undergraduate Catalog,undergraduate,7,193326,ASLI 4368 -  Comparative study of ASL and English Linguistics
41,2021-2022 Undergraduate Catalog,undergraduate,7,193327,ASLI 4397 -  Selected Topics in American Sign Language Interpreting
41,2021-2022 Undergraduate Catalog,undergraduate,7,193328,ASLI 4398 -  Independent Study: Tri-lingual Interpreting
41,2021-2022 Undergraduate Catalog,undergraduate,8,193329,ASLI 4489 -  Service Learning - Internship
41,2021-2022 Undergraduate Catalog,undergraduate,8,193330,ANTH 2346 -  Introduction to Anthropology
41,2021-2022 Undergraduate Catalog,undergraduate,8,193331,ANTH 2301 -  Introduction to Physical Anthropology
41,2021-2022 Undergraduate Catalog,undergraduate,8,193332,ANTH 2351 -  Introduction to Cultural Anthropology
41,2021-2022 Undergraduate Catalog,undergraduate,8,193333,ANTH 2302 -  Introduction to Archeology
41,2021-2022 Undergraduate Catalog,undergraduate,8,193334,ANTH 2304 -  Intro To Language and Culture
41,2021-2022 Undergraduate Catalog,undergraduate,8,193335,ANTH 2395 -  Selected Topics in Cultural Anthropology
41,2021-2022 Undergraduate Catalog,undergraduate,8,193336,ANTH 3304 -  Demographic Anthropology
41,2021-2022 Undergraduate Catalog,undergraduate,8,193337,ANTH 3305 -  Psych Anthropology
41,2021-2022 Undergraduate Catalog,undergraduate,8,193338,ANTH 3306 -  Sex & Culture
41,2021-2022 Undergraduate Catalog,undergraduate,9,193340,ANTH 3312 -  Mex-Amer Culture
41,2021-2022 Undergraduate Catalog,undergraduate,9,193342,ANTH 3316 -  Society and Culture of India
41,2021-2022 Undergraduate Catalog,undergraduate,9,193343,ANTH 3324 -  People & Culture of Latin Amer
41,2021-2022 Undergraduate Catalog,undergraduate,9,193344,ANTH 3338 -  Peoples of Africa
41,2021-2022 Undergraduate Catalog,undergraduate,9,193345,ANTH 3341 -  Cultural Ecology
41,2021-2022 Undergraduate Catalog,undergraduate,9,193346,ANTH 3342 -  Food and Culture
